model,test_name,t_s_mean,t_s_std,t_s_req_mean,t_s_req_std,peak_ts_mean,peak_ts_std,peak_ts_req_mean,peak_ts_req_std,ttfr_mean,ttfr_std,est_ppt_mean,est_ppt_std,e2e_ttft_mean,e2e_ttft_std
nvidia/Qwen3.6-35B-A3B-NVFP4,pp2048 (c4),6383.9263405432985,69.04091488430171,1795.1033714701455,318.96189946649224,,,,,1184.2032745092486,172.82026963201452,1172.177010953116,172.82026963201446,1184.2032745092486,172.82026963201452
nvidia/Qwen3.6-35B-A3B-NVFP4,tg128 (c4),212.6570474089489,4.6978537494165735,65.99804827073147,5.540951020645139,290.3333333333333,15.084944665313014,72.91666666666667,5.267167697686828,,,,,,
nvidia/Qwen3.6-35B-A3B-NVFP4,ctx_pp @ d4096 (c4),6345.653211300977,188.8332443704685,1799.2808420899473,356.40026670918553,,,,,2365.1497567382953,383.86237981452416,2353.485854032139,383.8623798145243,2365.1497567382953,383.86237981452416
nvidia/Qwen3.6-35B-A3B-NVFP4,ctx_tg @ d4096 (c4),177.02786651060003,8.536577763394376,61.789793721576814,7.173814671069953,311.3333333333333,30.554141381415967,79.08333333333333,8.597076376432991,,,,,,
nvidia/Qwen3.6-35B-A3B-NVFP4,pp2048 @ d4096 (c4),2173.3087428033327,25.017186711073396,582.7745317611908,64.98848967713201,,,,,3565.114607801661,351.8947698636934,3553.4507050955053,351.89476986369334,3565.114607801661,351.8947698636934
nvidia/Qwen3.6-35B-A3B-NVFP4,tg128 @ d4096 (c4),182.89207270430742,9.47203908887958,62.04950740104684,7.913938220060599,304.0,13.490737563232042,76.41666666666667,5.75120760265954,,,,,,
nvidia/Qwen3.6-35B-A3B-NVFP4,ctx_pp @ d8192 (c4),6538.0580184763385,62.76565101686593,1726.4469306302883,151.22302349217898,,,,,4793.182121434559,381.24468045183727,4779.598871866862,381.24468045183727,4793.478992922853,380.7201659593185
nvidia/Qwen3.6-35B-A3B-NVFP4,ctx_tg @ d8192 (c4),171.42702248436578,10.869488638020307,61.713480788357025,11.925959173025909,302.6666666666667,6.548960901462833,76.08333333333333,7.421346837932377,,,,,,
nvidia/Qwen3.6-35B-A3B-NVFP4,pp2048 @ d8192 (c4),1291.264727204896,0.25753851150198026,335.5870357369178,20.574117308306885,,,,,6137.807617972915,350.46364833463446,6124.224368405218,350.46364833463446,6137.807617972915,350.46364833463446
nvidia/Qwen3.6-35B-A3B-NVFP4,tg128 @ d8192 (c4),178.62146254705536,4.246468066928042,62.535832205053765,9.078538478347959,305.6666666666667,12.036980056845191,77.41666666666667,6.034046919126683,,,,,,
nvidia/Qwen3.6-35B-A3B-NVFP4,ctx_pp @ d16384 (c4),6201.966101176625,53.11450685206845,1589.6122496143319,64.95798572527768,,,,,10339.171249962723,404.1726614360156,10324.686971881116,404.1726614360156,10339.171249962723,404.1726614360156
nvidia/Qwen3.6-35B-A3B-NVFP4,ctx_tg @ d16384 (c4),171.97692974129754,7.17001637135501,60.07041722525056,8.976063129550734,305.0,8.602325267042627,77.5,4.924428900898052,,,,,,
nvidia/Qwen3.6-35B-A3B-NVFP4,pp2048 @ d16384 (c4),675.9765165008472,2.462238521677042,172.7337626219472,6.084121930264537,,,,,11885.043555754237,402.10393857111467,11870.559277672632,402.10393857111467,11885.043555754237,402.10393857111467
nvidia/Qwen3.6-35B-A3B-NVFP4,tg128 @ d16384 (c4),173.50831965877146,1.9436037074229213,62.179693549433274,9.535894213983243,309.6666666666667,30.26916289265731,79.08333333333333,9.30464340471406,,,,,,
nvidia/Qwen3.6-35B-A3B-NVFP4,ctx_pp @ d32768 (c4),5338.396709514824,24.8776463878021,1400.4752268513341,87.66071760959441,,,,,23496.66048629054,1375.6251163341965,23485.34851408719,1375.6251163341967,23496.66048629054,1375.6251163341965
nvidia/Qwen3.6-35B-A3B-NVFP4,ctx_tg @ d32768 (c4),89.11512894332905,2.537579083173387,45.49503552278053,13.271150815677379,258.6666666666667,4.4969125210773475,65.58333333333333,5.514501085521901,,,,,,
nvidia/Qwen3.6-35B-A3B-NVFP4,pp2048 @ d32768 (c4),312.08510136229626,1.0008204663407456,79.92699035051422,1.9874262674034828,,,,,25650.187194502603,623.0623487935574,25638.875222299244,623.0623487935574,25650.187194502603,623.0623487935574
nvidia/Qwen3.6-35B-A3B-NVFP4,tg128 @ d32768 (c4),138.88742190752114,4.2084542863073455,52.98278646468061,10.22131268741274,267.6666666666667,16.73983937265296,69.0,5.0990195135927845,,,,,,
