model,test_name,t_s_mean,t_s_std,t_s_req_mean,t_s_req_std,peak_ts_mean,peak_ts_std,peak_ts_req_mean,peak_ts_req_std,ttfr_mean,ttfr_std,est_ppt_mean,est_ppt_std,e2e_ttft_mean,e2e_ttft_std
nvidia/Qwen3.6-35B-A3B-NVFP4,ctx_pp @ d32768 (c5),5297.677832214591,6.175395246662204,1379.70595606043,455.70218588651693,,,,,25719.3287139448,5986.997113968337,25704.06138061857,5986.997113968337,25719.3287139448,5986.997113968337
nvidia/Qwen3.6-35B-A3B-NVFP4,ctx_tg @ d32768 (c5),33.096087354869006,0.15974096944408694,27.27363408187971,16.46553642807092,261.6666666666667,8.379870059984356,53.733333333333334,2.7438820836342233,,,,,,
nvidia/Qwen3.6-35B-A3B-NVFP4,pp2048 @ d32768 (c5),307.0811825265909,0.23006990522261936,72.5331509326477,13.998419149729504,,,,,29164.0227388901,4764.404727433854,29148.75540556387,4764.404727433854,29164.0227388901,4764.404727433854
nvidia/Qwen3.6-35B-A3B-NVFP4,tg128 @ d32768 (c5),41.98885064571764,0.2995144621774257,30.4934529634391,16.473582947103747,283.0,11.045361017187261,57.06666666666667,2.6948510575210314,,,,,,
nvidia/Qwen3.6-35B-A3B-NVFP4,ctx_pp @ d32768 (c10),5278.687934784547,3.537354771934682,923.9447324378289,517.4591973011903,,,,,43661.56885966969,16011.593411569756,43648.34159558327,16011.593411569756,43661.56885966969,16011.593411569756
nvidia/Qwen3.6-35B-A3B-NVFP4,ctx_tg @ d32768 (c10),24.663987997148553,0.06926604271892352,12.47638825853577,11.208706435682984,357.3333333333333,15.542057635833022,38.1,2.103172207246314,,,,,,
nvidia/Qwen3.6-35B-A3B-NVFP4,pp2048 @ d32768 (c10),305.853051161063,0.23597440980762752,47.199191515714254,21.65686334070805,,,,,50384.6699513495,15955.99362897429,50371.44268726308,15955.993628974287,50384.6699513495,15955.99362897429
nvidia/Qwen3.6-35B-A3B-NVFP4,tg128 @ d32768 (c10),25.48687134851986,0.0695840973307413,14.149311842704892,11.80419645805868,387.0,15.297058540778355,39.4,2.2449944320643653,,,,,,
nvidia/Qwen3.6-35B-A3B-NVFP4,ctx_pp @ d65535 (c5),4125.622241206945,2.456429552631637,1356.3530036827838,635.5638576785794,,,,,57667.88716927792,20695.058361708754,57652.60573867709,20695.05836170875,57667.88716927792,20695.058361708754
nvidia/Qwen3.6-35B-A3B-NVFP4,ctx_tg @ d65535 (c5),11.210720925597675,0.016302790470134,15.52342922111116,15.097528954650235,217.66666666666666,8.73053390247253,47.86666666666667,2.445858177045886,,,,,,
nvidia/Qwen3.6-35B-A3B-NVFP4,pp2048 @ d65535 (c5),123.43577478995981,0.04835658569152536,35.098964499891586,13.646683071207697,,,,,65339.48570014908,18411.60495677162,65324.204269548274,18411.604956771618,65339.48570014908,18411.60495677162
nvidia/Qwen3.6-35B-A3B-NVFP4,tg128 @ d65535 (c5),12.056941655698017,0.04110356384333432,17.74858125330864,16.164559518264436,229.33333333333334,8.055363982396381,47.733333333333334,2.462158041682585,,,,,,
nvidia/Qwen3.6-35B-A3B-NVFP4,ctx_pp @ d65535 (c10),4107.05713954739,6.886928904025074,898.7957037579112,626.4727649722621,,,,,100116.0126638754,44335.49906236046,100101.83770596054,44335.49906236046,100116.0126638754,44335.49906236046
nvidia/Qwen3.6-35B-A3B-NVFP4,ctx_tg @ d65535 (c10),9.217806153585139,0.01126035050121697,6.299932908690111,8.742432476070157,276.3333333333333,2.494438257849294,33.13333333333333,3.2013885876114583,,,,,,
nvidia/Qwen3.6-35B-A3B-NVFP4,pp2048 @ d65535 (c10),122.90816581777342,0.01682507687259447,23.929540248406063,14.35138377574365,,,,,108941.19360962261,43668.09800130002,108927.01865170775,43668.09800130002,108941.19360962261,43668.09800130002
