2026-08-30T02:11:32Z 0, 208, [N/A], 4.57, 38 | 4746 832
2026-08-30T02:11:37Z 0, 208, [N/A], 4.46, 38 | 5314 832
2026-08-30T02:11:42Z 0, 208, [N/A], 4.59, 38 | 5788 832
2026-08-30T02:11:47Z 0, 2398, [N/A], 8.23, 38 | 6331 832
2026-08-30T02:11:52Z 0, 2398, [N/A], 10.53, 39 | 8202 832
2026-08-30T02:11:57Z 0, 2398, [N/A], 12.44, 40 | 43454 831
2026-08-30T02:12:02Z 33, 2398, [N/A], 12.15, 40 | 49678 831
2026-08-30T02:12:07Z 0, 2398, [N/A], 10.61, 40 | 34586 831
2026-08-30T02:12:12Z 96, 2398, [N/A], 68.94, 49 | 34708 831
2026-08-30T02:12:17Z 96, 2398, [N/A], 78.52, 57 | 34680 831
2026-08-30T02:12:22Z 0, 2398, [N/A], 11.31, 45 | 34680 831
2026-08-30T02:12:27Z 0, 2398, [N/A], 17.12, 45 | 35068 831
2026-08-30T02:12:32Z 95, 2398, [N/A], 18.97, 47 | 33634 831
2026-08-30T02:12:37Z 0, 2398, [N/A], 18.07, 44 | 35074 831
2026-08-30T02:12:42Z 0, 2398, [N/A], 19.07, 44 | 35370 831
2026-08-30T02:12:48Z 0, 2398, [N/A], 11.10, 44 | 35407 831
2026-08-30T02:12:53Z 84, 2398, [N/A], 13.87, 44 | 35483 831
2026-08-30T02:12:58Z 93, 2398, [N/A], 14.58, 45 | 35484 831
2026-08-30T02:13:03Z 0, 2398, [N/A], 13.90, 44 | 35458 831
2026-08-30T02:13:08Z 55, 2398, [N/A], 12.15, 43 | 35488 831
2026-08-30T02:13:13Z 0, 2398, [N/A], 12.94, 43 | 35533 831
2026-08-30T02:13:18Z 7, 2398, [N/A], 13.88, 43 | 35539 831
2026-08-30T02:13:23Z 4, 2398, [N/A], 13.86, 43 | 35591 831
2026-08-30T02:13:28Z 62, 2398, [N/A], 29.26, 46 | 34380 831
2026-08-30T02:13:33Z 62, 2398, [N/A], 29.05, 48 | 35894 831
2026-08-30T02:13:38Z 96, 2398, [N/A], 15.64, 46 | 36026 831
2026-08-30T02:13:43Z 0, 2398, [N/A], 11.16, 45 | 33277 831
2026-08-30T02:13:48Z 0, 2398, [N/A], 11.21, 45 | 36442 831
2026-08-30T02:13:53Z 8, 2398, [N/A], 12.01, 45 | 48498 831
2026-08-30T02:13:58Z 0, 2398, [N/A], 22.48, 45 | 49320 831
2026-08-30T02:14:03Z 15, 2398, [N/A], 12.95, 45 | 70462 831
2026-08-30T02:14:08Z 0, 2398, [N/A], 11.14, 44 | 104973 831
2026-08-30T02:14:13Z 95, 2392, [N/A], 69.23, 58 | 104826 831
2026-08-30T02:14:18Z 68, 2398, [N/A], 66.60, 58 | 104654 831
2026-08-30T02:14:23Z 96, 2411, [N/A], 44.60, 59 | 104522 831
2026-08-30T02:14:29Z 96, 2411, [N/A], 66.37, 63 | 104395 831
2026-08-30T02:14:34Z 20, 2398, [N/A], 70.82, 56 | 104582 831
2026-08-30T02:14:39Z 96, 2398, [N/A], 62.57, 61 | 104439 831
2026-08-30T02:14:44Z 96, 2392, [N/A], 67.48, 63 | 104356 831
2026-08-30T02:14:49Z 96, 2411, [N/A], 28.66, 57 | 104827 831
2026-08-30T02:14:54Z 96, 2411, [N/A], 28.05, 56 | 104776 831
2026-08-30T02:14:59Z 96, 2411, [N/A], 27.72, 56 | 104737 831
2026-08-30T02:15:04Z 96, 2411, [N/A], 44.40, 59 | 104725 831
2026-08-30T02:15:09Z 96, 2411, [N/A], 53.49, 60 | 104738 831
2026-08-30T02:15:14Z 96, 2411, [N/A], 44.04, 59 | 104732 831
2026-08-30T02:15:19Z 96, 2411, [N/A], 45.21, 60 | 104718 831
2026-08-30T02:15:25Z 91, 2411, [N/A], 37.47, 59 | 102888 831
2026-08-30T02:15:30Z 96, 2411, [N/A], 44.75, 63 | 102784 831
2026-08-30T02:15:35Z 96, 2411, [N/A], 36.85, 60 | 102856 831
2026-08-30T02:15:40Z 96, 2405, [N/A], 47.83, 60 | 102808 831
2026-08-30T02:15:45Z 96, 2411, [N/A], 41.28, 59 | 102901 831
2026-08-30T02:15:50Z 96, 2411, [N/A], 27.80, 59 | 102886 830
2026-08-30T02:15:55Z 96, 2411, [N/A], 45.36, 63 | 102885 830
2026-08-30T02:16:00Z 96, 2411, [N/A], 30.38, 59 | 103049 830
2026-08-30T02:16:05Z 96, 2411, [N/A], 27.90, 59 | 103052 830
2026-08-30T02:16:10Z 96, 2411, [N/A], 45.40, 61 | 103032 830
2026-08-30T02:16:15Z 96, 2398, [N/A], 52.86, 64 | 103020 830
2026-08-30T02:16:21Z 96, 2392, [N/A], 55.23, 65 | 105300 830
2026-08-30T02:16:26Z 96, 2392, [N/A], 44.37, 64 | 105314 830
2026-08-30T02:16:31Z 81, 2398, [N/A], 49.72, 65 | 102435 830
2026-08-30T02:16:36Z 96, 2405, [N/A], 36.54, 62 | 104020 830
2026-08-30T02:16:41Z 96, 2411, [N/A], 37.62, 62 | 103884 830
2026-08-30T02:16:46Z 74, 2411, [N/A], 35.83, 60 | 103728 830
2026-08-30T02:16:51Z 96, 2411, [N/A], 34.83, 61 | 103687 830
2026-08-30T02:16:56Z 95, 2411, [N/A], 31.06, 59 | 103597 830
2026-08-30T02:17:01Z 0, 2411, [N/A], 12.71, 56 | 105339 830
2026-08-30T02:17:06Z 0, 2411, [N/A], 12.56, 55 | 105840 830
2026-08-30T02:17:11Z 0, 2411, [N/A], 12.45, 54 | 106170 830
2026-08-30T02:17:16Z 0, 2398, [N/A], 12.12, 52 | 107307 830
2026-08-30T02:17:21Z 0, 2398, [N/A], 12.06, 51 | 107263 830
2026-08-30T02:17:26Z 0, 2398, [N/A], 11.75, 50 | 107279 830
2026-08-30T02:17:31Z 0, 2398, [N/A], 11.70, 50 | 107213 830
2026-08-30T02:17:36Z 0, 2398, [N/A], 11.66, 49 | 107160 830
2026-08-30T02:17:41Z 0, 2398, [N/A], 11.58, 48 | 107145 830
2026-08-30T02:17:46Z 0, 2398, [N/A], 11.50, 48 | 107074 830
2026-08-30T02:17:52Z 0, 2398, [N/A], 11.46, 47 | 107016 830
2026-08-30T02:17:57Z 0, 2398, [N/A], 11.50, 48 | 110316 830
2026-08-30T02:18:02Z 96, 2398, [N/A], 46.02, 58 | 109995 830
2026-08-30T02:18:07Z 96, 2398, [N/A], 25.27, 52 | 109861 830
2026-08-30T02:18:12Z 96, 2411, [N/A], 26.22, 53 | 109794 830
2026-08-30T02:18:17Z 96, 2411, [N/A], 26.17, 54 | 109081 830
2026-08-30T02:18:22Z 96, 2411, [N/A], 26.46, 54 | 108930 830
2026-08-30T02:18:27Z 96, 2411, [N/A], 43.79, 55 | 108803 830
2026-08-30T02:18:32Z 96, 2411, [N/A], 26.53, 55 | 108739 830
2026-08-30T02:18:37Z 96, 2392, [N/A], 40.23, 54 | 108774 830
2026-08-30T02:18:42Z 96, 2411, [N/A], 27.15, 56 | 108732 830
2026-08-30T02:18:47Z 96, 2411, [N/A], 35.13, 57 | 109235 830
2026-08-30T02:18:52Z 96, 2411, [N/A], 27.07, 57 | 109199 830
2026-08-30T02:18:57Z 96, 2411, [N/A], 27.37, 57 | 109207 830
2026-08-30T02:19:03Z 96, 2411, [N/A], 27.15, 57 | 109205 830
2026-08-30T02:19:08Z 96, 2405, [N/A], 49.37, 61 | 110148 830
2026-08-30T02:19:13Z 0, 2411, [N/A], 12.77, 56 | 110300 830
2026-08-30T02:19:18Z 96, 2411, [N/A], 28.51, 58 | 110259 830
2026-08-30T02:19:23Z 96, 2398, [N/A], 50.27, 62 | 110716 830
2026-08-30T02:19:28Z 96, 2398, [N/A], 43.58, 62 | 110689 830
2026-08-30T02:19:33Z 96, 2411, [N/A], 28.69, 59 | 110691 830
2026-08-30T02:19:38Z 96, 2392, [N/A], 50.86, 62 | 110706 830
2026-08-30T02:19:43Z 96, 2398, [N/A], 43.81, 64 | 110685 830
2026-08-30T02:19:48Z 96, 2411, [N/A], 28.74, 60 | 110679 830
2026-08-30T02:19:54Z 0, 2411, [N/A], 12.88, 57 | 110699 830
2026-08-30T02:19:59Z 96, 2392, [N/A], 53.31, 65 | 111928 830
2026-08-30T02:20:04Z 96, 2392, [N/A], 51.91, 65 | 111975 830
2026-08-30T02:20:09Z 96, 2398, [N/A], 34.21, 63 | 111967 830
2026-08-30T02:20:14Z 96, 2411, [N/A], 33.82, 62 | 111987 830
2026-08-30T02:20:19Z 96, 2379, [N/A], 57.12, 66 | 111968 830
2026-08-30T02:20:24Z 96, 2398, [N/A], 52.18, 67 | 111961 830
2026-08-30T02:20:29Z 96, 2398, [N/A], 46.13, 66 | 111957 830
2026-08-30T02:20:34Z 96, 2398, [N/A], 34.44, 64 | 111946 830
2026-08-30T02:20:39Z 96, 2398, [N/A], 34.29, 64 | 111956 830
2026-08-30T02:20:44Z 58, 2372, [N/A], 66.82, 69 | 111972 830
2026-08-30T02:20:49Z 96, 2392, [N/A], 52.55, 67 | 111956 830
2026-08-30T02:20:54Z 96, 2392, [N/A], 45.29, 67 | 111933 830
2026-08-30T02:21:00Z 96, 2398, [N/A], 34.60, 65 | 111945 830
2026-08-30T02:21:05Z 96, 2398, [N/A], 34.39, 64 | 111959 830
2026-08-30T02:21:10Z 0, 2411, [N/A], 13.35, 60 | 111973 830
2026-08-30T02:21:15Z 96, 2398, [N/A], 28.12, 63 | 111965 830
2026-08-30T02:21:20Z 95, 2379, [N/A], 72.28, 70 | 111955 830
