model,test_name,t_s_mean,t_s_std,t_s_req_mean,t_s_req_std,peak_ts_mean,peak_ts_std,peak_ts_req_mean,peak_ts_req_std,ttfr_mean,ttfr_std,est_ppt_mean,est_ppt_std,e2e_ttft_mean,e2e_ttft_std
unsloth/Qwen3.8-27B-NVFP4,pp2048 (c1),2170.68556882559,114.1591801088015,2170.68556882559,114.1591801088015,,,,,983.7589442419509,49.11007840886495,969.8653609181443,49.11007840886495,983.7589442419509,49.11007840886495
unsloth/Qwen3.8-27B-NVFP4,tg128 (c1),18.486574627380435,1.2651923168508352,18.486574627380435,1.2651923168508352,26.0,0.0,26.0,0.0,,,,,,
unsloth/Qwen3.8-27B-NVFP4,pp2048 (c2),1841.0073649335607,297.4874683090066,991.2635209113706,229.0951500848102,,,,,2235.8534790109843,427.6790251448007,2216.293131855006,427.67902514480056,2235.8534790109843,427.6790251448007
unsloth/Qwen3.8-27B-NVFP4,tg128 (c2),34.80875314338973,1.322218513807607,18.874756961029078,2.294529373396853,48.666666666666664,2.494438257849294,27.5,2.692582403567252,,,,,,
unsloth/Qwen3.8-27B-NVFP4,pp2048 (c5),1312.4334992502215,84.58867044129032,277.9476270353085,51.597895362564095,,,,,7751.724866622438,988.5374541444485,7734.123644201703,988.5374541444488,7751.724866622438,988.5374541444485
unsloth/Qwen3.8-27B-NVFP4,tg128 (c5),70.8438958078291,14.254009838533301,17.051308416912434,2.1473231011608203,105.66666666666667,2.0548046676563256,24.533333333333335,2.3055488621054105,,,,,,
unsloth/Qwen3.8-27B-NVFP4,pp2048 (c10),1525.5860761330557,1.6065049196389156,168.77541757029277,35.0985103319026,,,,,12815.807644479599,1721.6530277105687,12799.786866844323,1721.6530277105687,12815.807644479599,1721.6530277105687
unsloth/Qwen3.8-27B-NVFP4,tg128 (c10),74.18459973454496,1.4087416989901638,11.457306010784473,1.2738190363981172,148.33333333333334,6.599663291074443,18.8,1.3266499161421599,,,,,,
unsloth/Qwen3.8-27B-NVFP4,ctx_pp @ d4096 (c1),2240.809599626183,55.82108415044587,2240.809599626183,55.82108415044587,,,,,1901.2074442580342,46.970366833381284,1853.1792776969571,46.970366833381284,1901.2074442580342,46.970366833381284
unsloth/Qwen3.8-27B-NVFP4,ctx_tg @ d4096 (c1),17.154340881886085,1.0699671462339728,17.154340881886085,1.0699671462339728,25.666666666666668,2.0548046676563256,25.666666666666668,2.0548046676563256,,,,,,
unsloth/Qwen3.8-27B-NVFP4,pp2048 @ d4096 (c1),697.811525096708,10.048308048047728,697.811525096708,10.048308048047728,,,,,2983.532764017582,42.68796500919553,2935.504597456505,42.68796500919553,2983.532764017582,42.68796500919553
