20260830T155438Z, 0 %, 52, 2398 MHz, [N/A], 12.15 W
20260830T155454Z, 96 %, 57, 2405 MHz, [N/A], 35.81 W
20260830T155510Z, 96 %, 57, 2411 MHz, [N/A], 26.85 W
20260830T155526Z, 96 %, 66, 2379 MHz, [N/A], 71.38 W
20260830T155542Z, 96 %, 62, 2392 MHz, [N/A], 51.69 W
20260830T155559Z, 96 %, 65, 2392 MHz, [N/A], 52.07 W
20260830T155615Z, 96 %, 67, 2392 MHz, [N/A], 55.41 W
20260830T155631Z, 96 %, 61, 2411 MHz, [N/A], 27.37 W
20260830T155647Z, 96 %, 70, 2379 MHz, [N/A], 75.05 W
20260830T155703Z, 96 %, 69, 2392 MHz, [N/A], 52.26 W
20260830T155719Z, 96 %, 65, 2392 MHz, [N/A], 54.35 W
20260830T155735Z, 96 %, 61, 2411 MHz, [N/A], 27.47 W
20260830T155751Z, 96 %, 61, 2411 MHz, [N/A], 24.44 W
20260830T155808Z, 96 %, 66, 2392 MHz, [N/A], 55.78 W
20260830T155825Z, 96 %, 66, 2392 MHz, [N/A], 51.35 W
20260830T155841Z, 96 %, 65, 2385 MHz, [N/A], 31.46 W
20260830T155859Z, 96 %, 63, 2392 MHz, [N/A], 45.67 W
20260830T155915Z, 96 %, 71, 2398 MHz, [N/A], 55.75 W
20260830T155931Z, 96 %, 65, 2398 MHz, [N/A], 44.35 W
20260830T155947Z, 96 %, 66, 2398 MHz, [N/A], 50.87 W
20260830T160004Z, 96 %, 64, 2398 MHz, [N/A], 35.05 W
20260830T160020Z, 96 %, 66, 2392 MHz, [N/A], 52.82 W
20260830T160036Z, 96 %, 67, 2392 MHz, [N/A], 49.04 W
20260830T160052Z, 96 %, 66, 2392 MHz, [N/A], 55.70 W
20260830T160108Z, 96 %, 68, 2398 MHz, [N/A], 55.90 W
20260830T160124Z, 96 %, 72, 2398 MHz, [N/A], 53.41 W
20260830T160140Z, 96 %, 67, 2392 MHz, [N/A], 45.82 W
20260830T160156Z, 96 %, 72, 2398 MHz, [N/A], 54.67 W
20260830T160213Z, 96 %, 66, 2392 MHz, [N/A], 45.36 W
20260830T160229Z, 96 %, 66, 2398 MHz, [N/A], 52.14 W
20260830T160245Z, 96 %, 68, 2392 MHz, [N/A], 56.35 W
20260830T160301Z, 96 %, 64, 2398 MHz, [N/A], 34.99 W
20260830T160317Z, 96 %, 66, 2392 MHz, [N/A], 52.36 W
20260830T160333Z, 96 %, 67, 2392 MHz, [N/A], 51.63 W
20260830T160350Z, 96 %, 67, 2398 MHz, [N/A], 53.16 W
20260830T160406Z, 96 %, 67, 2398 MHz, [N/A], 44.75 W
20260830T160422Z, 96 %, 64, 2398 MHz, [N/A], 37.69 W
20260830T160438Z, 96 %, 66, 2398 MHz, [N/A], 45.49 W
20260830T160454Z, 96 %, 66, 2392 MHz, [N/A], 54.28 W
20260830T160510Z, 96 %, 67, 2398 MHz, [N/A], 54.80 W
20260830T160526Z, 96 %, 66, 2398 MHz, [N/A], 49.51 W
20260830T160543Z, 96 %, 64, 2398 MHz, [N/A], 34.83 W
20260830T160559Z, 96 %, 66, 2392 MHz, [N/A], 46.86 W
20260830T160615Z, 96 %, 68, 2392 MHz, [N/A], 51.30 W
20260830T160631Z, 96 %, 66, 2392 MHz, [N/A], 46.26 W
20260830T160647Z, 96 %, 65, 2398 MHz, [N/A], 45.06 W
20260830T160703Z, 96 %, 67, 2392 MHz, [N/A], 47.94 W
20260830T160720Z, 96 %, 66, 2398 MHz, [N/A], 50.04 W
20260830T160736Z, 96 %, 68, 2398 MHz, [N/A], 54.46 W
20260830T160752Z, 96 %, 66, 2392 MHz, [N/A], 56.04 W
20260830T160808Z, 96 %, 67, 2398 MHz, [N/A], 45.60 W
20260830T160824Z, 96 %, 69, 2392 MHz, [N/A], 58.06 W
20260830T160840Z, 96 %, 63, 2398 MHz, [N/A], 31.84 W
20260830T160856Z, 96 %, 68, 2392 MHz, [N/A], 47.91 W
20260830T160913Z, 96 %, 65, 2398 MHz, [N/A], 54.70 W
20260830T160929Z, 96 %, 67, 2398 MHz, [N/A], 50.94 W
20260830T160945Z, 96 %, 67, 2398 MHz, [N/A], 44.89 W
20260830T161001Z, 96 %, 67, 2398 MHz, [N/A], 47.34 W
20260830T161017Z, 96 %, 66, 2398 MHz, [N/A], 45.49 W
20260830T161033Z, 96 %, 65, 2398 MHz, [N/A], 43.13 W
20260830T161050Z, 96 %, 70, 2398 MHz, [N/A], 51.91 W
20260830T161106Z, 96 %, 67, 2398 MHz, [N/A], 47.02 W
20260830T161122Z, 96 %, 62, 2398 MHz, [N/A], 29.88 W
20260830T161138Z, 96 %, 66, 2398 MHz, [N/A], 42.91 W
20260830T161154Z, 96 %, 68, 2392 MHz, [N/A], 50.87 W
20260830T161210Z, 96 %, 71, 2398 MHz, [N/A], 55.98 W
20260830T161226Z, 96 %, 72, 2398 MHz, [N/A], 56.46 W
20260830T161243Z, 96 %, 67, 2398 MHz, [N/A], 45.87 W
20260830T161259Z, 96 %, 67, 2398 MHz, [N/A], 44.75 W
20260830T161315Z, 96 %, 66, 2392 MHz, [N/A], 55.04 W
20260830T161331Z, 96 %, 67, 2392 MHz, [N/A], 44.97 W
20260830T161347Z, 96 %, 69, 2398 MHz, [N/A], 56.51 W
20260830T161403Z, 96 %, 66, 2398 MHz, [N/A], 44.92 W
20260830T161420Z, 0 %, 58, 2411 MHz, [N/A], 13.09 W
20260830T161436Z, 0 %, 53, 2411 MHz, [N/A], 12.53 W
20260830T161451Z, 0 %, 50, 2398 MHz, [N/A], 11.82 W
20260830T161507Z, 0 %, 48, 2398 MHz, [N/A], 11.62 W
20260830T161524Z, 0 %, 47, 2398 MHz, [N/A], 11.42 W
20260830T161540Z, 0 %, 46, 2398 MHz, [N/A], 11.36 W
20260830T161556Z, 0 %, 46, 2398 MHz, [N/A], 11.28 W
20260830T161611Z, 0 %, 45, 2398 MHz, [N/A], 11.28 W
20260830T161628Z, 0 %, 45, 2398 MHz, [N/A], 11.25 W
20260830T161643Z, 0 %, 44, 2398 MHz, [N/A], 11.14 W
20260830T161659Z, 0 %, 44, 2398 MHz, [N/A], 11.14 W
20260830T161715Z, 0 %, 44, 2398 MHz, [N/A], 11.08 W
20260830T161731Z, 0 %, 43, 2398 MHz, [N/A], 10.94 W
20260830T161747Z, 0 %, 43, 2398 MHz, [N/A], 10.94 W
20260830T161803Z, 0 %, 43, 2398 MHz, [N/A], 10.88 W
20260830T161819Z, 0 %, 43, 2398 MHz, [N/A], 10.87 W
20260830T161835Z, 0 %, 42, 2398 MHz, [N/A], 10.76 W
20260830T161851Z, 0 %, 42, 2398 MHz, [N/A], 10.76 W
20260830T161907Z, 0 %, 42, 2398 MHz, [N/A], 10.71 W
20260830T161923Z, 0 %, 42, 2398 MHz, [N/A], 10.68 W
20260830T161939Z, 0 %, 41, 2398 MHz, [N/A], 10.66 W
20260830T161955Z, 0 %, 41, 2398 MHz, [N/A], 10.65 W
20260830T162011Z, 0 %, 41, 2398 MHz, [N/A], 10.64 W
20260830T162027Z, 0 %, 41, 2398 MHz, [N/A], 10.65 W
20260830T162043Z, 0 %, 41, 2398 MHz, [N/A], 10.63 W
20260830T162059Z, 0 %, 41, 2398 MHz, [N/A], 10.61 W
20260830T162115Z, 0 %, 41, 2398 MHz, [N/A], 10.61 W
20260830T162131Z, 0 %, 40, 2398 MHz, [N/A], 10.59 W
20260830T162147Z, 0 %, 40, 2398 MHz, [N/A], 10.60 W
20260830T162203Z, 0 %, 40, 2398 MHz, [N/A], 10.58 W
20260830T162219Z, 0 %, 40, 2398 MHz, [N/A], 10.59 W
20260830T162235Z, 0 %, 40, 2398 MHz, [N/A], 10.63 W
