208 MHz, 41, 4.53 W, P8
208 MHz, 40, 4.54 W, P8
208 MHz, 40, 4.51 W, P8
208 MHz, 40, 4.52 W, P8
208 MHz, 40, 4.57 W, P8
208 MHz, 40, 4.58 W, P8
208 MHz, 40, 4.54 W, P8
208 MHz, 40, 4.55 W, P8
208 MHz, 40, 4.59 W, P8
208 MHz, 40, 4.57 W, P8
208 MHz, 40, 4.58 W, P8
208 MHz, 40, 4.61 W, P8
208 MHz, 40, 4.62 W, P8
208 MHz, 40, 4.56 W, P8
208 MHz, 40, 4.56 W, P8
208 MHz, 40, 4.55 W, P8
208 MHz, 40, 4.58 W, P8
208 MHz, 40, 4.60 W, P8
208 MHz, 40, 4.68 W, P8
208 MHz, 41, 4.68 W, P8
208 MHz, 41, 4.60 W, P8
208 MHz, 41, 4.55 W, P8
208 MHz, 41, 4.56 W, P8
208 MHz, 41, 4.58 W, P8
208 MHz, 41, 4.54 W, P8
208 MHz, 41, 4.54 W, P8
208 MHz, 41, 4.54 W, P8
208 MHz, 41, 4.47 W, P8
208 MHz, 41, 4.49 W, P8
208 MHz, 41, 4.51 W, P8
214 MHz, 41, 4.62 W, P8
208 MHz, 41, 4.65 W, P8
214 MHz, 41, 4.71 W, P8
208 MHz, 41, 4.69 W, P8
208 MHz, 41, 4.69 W, P8
208 MHz, 41, 4.57 W, P8
208 MHz, 41, 4.60 W, P8
208 MHz, 41, 4.60 W, P8
208 MHz, 41, 4.62 W, P8
208 MHz, 41, 4.65 W, P8
208 MHz, 41, 4.65 W, P8
208 MHz, 41, 4.57 W, P8
208 MHz, 41, 4.57 W, P8
208 MHz, 41, 4.67 W, P8
2405 MHz, 42, 10.89 W, P0
2405 MHz, 42, 10.77 W, P0
2418 MHz, 42, 11.14 W, P0
2405 MHz, 42, 10.79 W, P0
2405 MHz, 42, 11.37 W, P0
2405 MHz, 42, 10.81 W, P0
2483 MHz, 43, 20.80 W, P0
2405 MHz, 42, 11.33 W, P0
2405 MHz, 42, 10.80 W, P0
2405 MHz, 42, 10.84 W, P0
2405 MHz, 42, 10.86 W, P0
2405 MHz, 43, 10.84 W, P0
2405 MHz, 43, 10.86 W, P0
2405 MHz, 43, 10.84 W, P0
2405 MHz, 43, 10.84 W, P0
2398 MHz, 43, 10.84 W, P0
2405 MHz, 43, 10.83 W, P0
2405 MHz, 43, 10.85 W, P0
2405 MHz, 43, 10.80 W, P0
2405 MHz, 43, 10.80 W, P0
2405 MHz, 43, 10.81 W, P0
2405 MHz, 43, 10.84 W, P0
2398 MHz, 43, 10.87 W, P0
2418 MHz, 43, 11.25 W, P0
2405 MHz, 43, 10.85 W, P0
2405 MHz, 43, 14.09 W, P0
2437 MHz, 43, 14.09 W, P0
2457 MHz, 43, 12.68 W, P0
2463 MHz, 44, 23.80 W, P0
2405 MHz, 43, 10.99 W, P0
2405 MHz, 43, 11.01 W, P0
2405 MHz, 43, 10.93 W, P0
2405 MHz, 43, 10.90 W, P0
2405 MHz, 43, 10.90 W, P0
2405 MHz, 43, 10.93 W, P0
2411 MHz, 43, 11.23 W, P0
2405 MHz, 43, 11.48 W, P0
2405 MHz, 43, 10.88 W, P0
2405 MHz, 43, 10.82 W, P0
2405 MHz, 43, 10.79 W, P0
2405 MHz, 43, 10.85 W, P0
2405 MHz, 43, 10.90 W, P0
2405 MHz, 43, 10.92 W, P0
2405 MHz, 43, 10.92 W, P0
2405 MHz, 43, 10.93 W, P0
2405 MHz, 43, 10.91 W, P0
2405 MHz, 43, 10.87 W, P0
2405 MHz, 43, 10.91 W, P0
2405 MHz, 43, 10.91 W, P0
2405 MHz, 43, 10.89 W, P0
2405 MHz, 43, 10.90 W, P0
2405 MHz, 43, 10.90 W, P0
2405 MHz, 43, 10.89 W, P0
2405 MHz, 43, 10.92 W, P0
2405 MHz, 43, 10.95 W, P0
2405 MHz, 44, 10.94 W, P0
2405 MHz, 44, 10.97 W, P0
2405 MHz, 44, 10.95 W, P0
2405 MHz, 44, 10.96 W, P0
2405 MHz, 44, 10.92 W, P0
2405 MHz, 44, 10.94 W, P0
2405 MHz, 44, 10.97 W, P0
2405 MHz, 44, 11.01 W, P0
2405 MHz, 44, 16.68 W, P0
2515 MHz, 46, 29.29 W, P0
2515 MHz, 47, 28.27 W, P0
2515 MHz, 47, 30.26 W, P0
2502 MHz, 48, 30.13 W, P0
2398 MHz, 45, 17.95 W, P0
2405 MHz, 45, 11.26 W, P0
2405 MHz, 45, 12.30 W, P0
2405 MHz, 45, 11.11 W, P0
325 MHz, 44, 5.31 W, P0
208 MHz, 44, 5.03 W, P0
208 MHz, 43, 4.63 W, P8
208 MHz, 43, 4.64 W, P8
214 MHz, 43, 4.67 W, P8
208 MHz, 43, 4.61 W, P8
208 MHz, 43, 4.65 W, P8
208 MHz, 43, 4.64 W, P8
208 MHz, 43, 4.58 W, P8
208 MHz, 43, 4.58 W, P8
208 MHz, 43, 4.59 W, P8
208 MHz, 42, 4.57 W, P8
208 MHz, 42, 4.58 W, P8
208 MHz, 42, 4.62 W, P8
208 MHz, 42, 4.64 W, P8
208 MHz, 42, 4.56 W, P8
208 MHz, 42, 4.56 W, P8
208 MHz, 42, 4.57 W, P8
208 MHz, 42, 4.57 W, P8
208 MHz, 42, 4.56 W, P8
208 MHz, 42, 4.59 W, P8
208 MHz, 42, 4.61 W, P8
208 MHz, 42, 4.53 W, P8
208 MHz, 42, 4.53 W, P8
208 MHz, 41, 4.54 W, P8
208 MHz, 41, 4.54 W, P8
208 MHz, 41, 4.53 W, P8
208 MHz, 41, 4.60 W, P8
214 MHz, 41, 4.53 W, P8
208 MHz, 41, 4.53 W, P8
208 MHz, 41, 4.53 W, P8
208 MHz, 41, 4.55 W, P8
208 MHz, 41, 4.55 W, P8
208 MHz, 41, 4.57 W, P8
208 MHz, 41, 4.58 W, P8
