2398 MHz, 3003 MHz, 40, 10.54 W, P0, [N/A]
2398 MHz, 3003 MHz, 40, 10.53 W, P0, [N/A]
2398 MHz, 3003 MHz, 40, 10.49 W, P0, [N/A]
2398 MHz, 3003 MHz, 40, 10.54 W, P0, [N/A]
2398 MHz, 3003 MHz, 40, 10.52 W, P0, [N/A]
2398 MHz, 3003 MHz, 40, 10.52 W, P0, [N/A]
2398 MHz, 3003 MHz, 40, 10.54 W, P0, [N/A]
2398 MHz, 3003 MHz, 40, 10.58 W, P0, [N/A]
2398 MHz, 3003 MHz, 40, 10.56 W, P0, [N/A]
2398 MHz, 3003 MHz, 40, 10.60 W, P0, [N/A]
2398 MHz, 3003 MHz, 40, 10.61 W, P0, [N/A]
2398 MHz, 3003 MHz, 40, 10.59 W, P0, [N/A]
2398 MHz, 3003 MHz, 40, 10.59 W, P0, [N/A]
2398 MHz, 3003 MHz, 40, 10.60 W, P0, [N/A]
2398 MHz, 3003 MHz, 40, 10.60 W, P0, [N/A]
2398 MHz, 3003 MHz, 40, 10.53 W, P0, [N/A]
2398 MHz, 3003 MHz, 40, 10.61 W, P0, [N/A]
2398 MHz, 3003 MHz, 40, 10.58 W, P0, [N/A]
2398 MHz, 3003 MHz, 40, 10.61 W, P0, [N/A]
2398 MHz, 3003 MHz, 40, 10.64 W, P0, [N/A]
2398 MHz, 3003 MHz, 40, 10.63 W, P0, [N/A]
2398 MHz, 3003 MHz, 40, 10.67 W, P0, [N/A]
2398 MHz, 3003 MHz, 41, 10.69 W, P0, [N/A]
2398 MHz, 3003 MHz, 41, 10.64 W, P0, [N/A]
2398 MHz, 3003 MHz, 41, 10.66 W, P0, [N/A]
2398 MHz, 3003 MHz, 41, 10.64 W, P0, [N/A]
2398 MHz, 3003 MHz, 41, 10.62 W, P0, [N/A]
2398 MHz, 3003 MHz, 41, 10.65 W, P0, [N/A]
2398 MHz, 3003 MHz, 41, 10.77 W, P0, [N/A]
2398 MHz, 3003 MHz, 41, 10.69 W, P0, [N/A]
2398 MHz, 3003 MHz, 41, 10.68 W, P0, [N/A]
2398 MHz, 3003 MHz, 41, 10.65 W, P0, [N/A]
2398 MHz, 3003 MHz, 41, 10.65 W, P0, [N/A]
2398 MHz, 3003 MHz, 41, 10.73 W, P0, [N/A]
2398 MHz, 3003 MHz, 41, 10.73 W, P0, [N/A]
2398 MHz, 3003 MHz, 41, 10.72 W, P0, [N/A]
2398 MHz, 3003 MHz, 41, 10.68 W, P0, [N/A]
2398 MHz, 3003 MHz, 41, 10.66 W, P0, [N/A]
2398 MHz, 3003 MHz, 41, 10.68 W, P0, [N/A]
2398 MHz, 3003 MHz, 41, 10.66 W, P0, [N/A]
2398 MHz, 3003 MHz, 41, 10.63 W, P0, [N/A]
2398 MHz, 3003 MHz, 41, 10.62 W, P0, [N/A]
2398 MHz, 3003 MHz, 41, 10.72 W, P0, [N/A]
2398 MHz, 3003 MHz, 41, 10.91 W, P0, [N/A]
2398 MHz, 3003 MHz, 41, 10.71 W, P0, [N/A]
2398 MHz, 3003 MHz, 41, 10.70 W, P0, [N/A]
2398 MHz, 3003 MHz, 41, 10.68 W, P0, [N/A]
2398 MHz, 3003 MHz, 41, 10.72 W, P0, [N/A]
2398 MHz, 3003 MHz, 41, 10.75 W, P0, [N/A]
2398 MHz, 3003 MHz, 41, 10.96 W, P0, [N/A]
2398 MHz, 3003 MHz, 42, 10.89 W, P0, [N/A]
2398 MHz, 3003 MHz, 42, 10.83 W, P0, [N/A]
2398 MHz, 3003 MHz, 42, 10.73 W, P0, [N/A]
2398 MHz, 3003 MHz, 42, 10.76 W, P0, [N/A]
2398 MHz, 3003 MHz, 42, 10.78 W, P0, [N/A]
2398 MHz, 3003 MHz, 42, 10.79 W, P0, [N/A]
2398 MHz, 3003 MHz, 42, 10.79 W, P0, [N/A]
2398 MHz, 3003 MHz, 42, 10.75 W, P0, [N/A]
2398 MHz, 3003 MHz, 42, 10.89 W, P0, [N/A]
2398 MHz, 3003 MHz, 42, 11.15 W, P0, [N/A]
2398 MHz, 3003 MHz, 42, 11.07 W, P0, [N/A]
2398 MHz, 3003 MHz, 42, 11.35 W, P0, [N/A]
2398 MHz, 3003 MHz, 42, 11.14 W, P0, [N/A]
2398 MHz, 3003 MHz, 42, 11.73 W, P0, [N/A]
2398 MHz, 3003 MHz, 42, 12.40 W, P0, [N/A]
2398 MHz, 3003 MHz, 42, 10.88 W, P0, [N/A]
2398 MHz, 3003 MHz, 42, 10.79 W, P0, [N/A]
2398 MHz, 3003 MHz, 42, 11.35 W, P0, [N/A]
2398 MHz, 3003 MHz, 42, 11.19 W, P0, [N/A]
2398 MHz, 3003 MHz, 42, 11.38 W, P0, [N/A]
2398 MHz, 3003 MHz, 42, 12.14 W, P0, [N/A]
2398 MHz, 3003 MHz, 42, 12.05 W, P0, [N/A]
2398 MHz, 3003 MHz, 43, 14.20 W, P0, [N/A]
2398 MHz, 3003 MHz, 43, 19.95 W, P0, [N/A]
2398 MHz, 3003 MHz, 44, 20.15 W, P0, [N/A]
2398 MHz, 3003 MHz, 44, 20.14 W, P0, [N/A]
2398 MHz, 3003 MHz, 43, 11.57 W, P0, [N/A]
2398 MHz, 3003 MHz, 43, 11.23 W, P0, [N/A]
2398 MHz, 3003 MHz, 43, 11.20 W, P0, [N/A]
2398 MHz, 3003 MHz, 43, 12.52 W, P0, [N/A]
2398 MHz, 3003 MHz, 43, 12.07 W, P0, [N/A]
2398 MHz, 3003 MHz, 43, 13.00 W, P0, [N/A]
2398 MHz, 3003 MHz, 43, 10.89 W, P0, [N/A]
2398 MHz, 3003 MHz, 43, 11.05 W, P0, [N/A]
2398 MHz, 3003 MHz, 43, 11.62 W, P0, [N/A]
2398 MHz, 3003 MHz, 43, 10.87 W, P0, [N/A]
2398 MHz, 3003 MHz, 43, 10.85 W, P0, [N/A]
2398 MHz, 3003 MHz, 43, 10.90 W, P0, [N/A]
2398 MHz, 3003 MHz, 43, 10.90 W, P0, [N/A]
2398 MHz, 3003 MHz, 55, 74.31 W, P0, [N/A]
2392 MHz, 3003 MHz, 58, 92.40 W, P0, [N/A]
2398 MHz, 3003 MHz, 59, 93.47 W, P0, [N/A]
2392 MHz, 3003 MHz, 60, 92.48 W, P0, [N/A]
2392 MHz, 3003 MHz, 61, 94.47 W, P0, [N/A]
2385 MHz, 3003 MHz, 60, 95.04 W, P0, [N/A]
2385 MHz, 3003 MHz, 58, 94.48 W, P0, [N/A]
2385 MHz, 3003 MHz, 61, 94.19 W, P0, [N/A]
2385 MHz, 3003 MHz, 52, 74.86 W, P0, [N/A]
2405 MHz, 3003 MHz, 54, 26.75 W, P0, [N/A]
2405 MHz, 3003 MHz, 50, 29.53 W, P0, [N/A]
2398 MHz, 3003 MHz, 48, 11.55 W, P0, [N/A]
2398 MHz, 3003 MHz, 48, 11.70 W, P0, [N/A]
2398 MHz, 3003 MHz, 48, 11.51 W, P0, [N/A]
2398 MHz, 3003 MHz, 47, 11.44 W, P0, [N/A]
2398 MHz, 3003 MHz, 47, 11.89 W, P0, [N/A]
2398 MHz, 3003 MHz, 47, 11.41 W, P0, [N/A]
2398 MHz, 3003 MHz, 47, 11.42 W, P0, [N/A]
2398 MHz, 3003 MHz, 47, 11.40 W, P0, [N/A]
2398 MHz, 3003 MHz, 47, 11.35 W, P0, [N/A]
2398 MHz, 3003 MHz, 47, 12.21 W, P0, [N/A]
2398 MHz, 3003 MHz, 46, 11.37 W, P0, [N/A]
2398 MHz, 3003 MHz, 46, 12.19 W, P0, [N/A]
