2398 MHz, 3003 MHz, 44, 11.01 W, P0, [N/A]
2398 MHz, 3003 MHz, 44, 10.98 W, P0, [N/A]
2398 MHz, 3003 MHz, 44, 11.05 W, P0, [N/A]
2398 MHz, 3003 MHz, 44, 10.98 W, P0, [N/A]
2398 MHz, 3003 MHz, 44, 10.97 W, P0, [N/A]
2398 MHz, 3003 MHz, 44, 11.01 W, P0, [N/A]
2398 MHz, 3003 MHz, 44, 10.98 W, P0, [N/A]
2398 MHz, 3003 MHz, 44, 11.01 W, P0, [N/A]
2398 MHz, 3003 MHz, 44, 10.99 W, P0, [N/A]
2398 MHz, 3003 MHz, 44, 11.05 W, P0, [N/A]
2398 MHz, 3003 MHz, 44, 11.30 W, P0, [N/A]
2398 MHz, 3003 MHz, 44, 11.03 W, P0, [N/A]
2398 MHz, 3003 MHz, 44, 11.02 W, P0, [N/A]
2398 MHz, 3003 MHz, 44, 11.04 W, P0, [N/A]
2398 MHz, 3003 MHz, 44, 11.20 W, P0, [N/A]
2398 MHz, 3003 MHz, 44, 11.04 W, P0, [N/A]
2398 MHz, 3003 MHz, 44, 11.04 W, P0, [N/A]
2398 MHz, 3003 MHz, 44, 11.37 W, P0, [N/A]
2398 MHz, 3003 MHz, 44, 11.08 W, P0, [N/A]
2398 MHz, 3003 MHz, 44, 11.14 W, P0, [N/A]
2398 MHz, 3003 MHz, 44, 11.02 W, P0, [N/A]
2398 MHz, 3003 MHz, 44, 11.02 W, P0, [N/A]
2398 MHz, 3003 MHz, 44, 11.06 W, P0, [N/A]
2398 MHz, 3003 MHz, 44, 11.04 W, P0, [N/A]
2398 MHz, 3003 MHz, 44, 11.02 W, P0, [N/A]
2398 MHz, 3003 MHz, 44, 11.04 W, P0, [N/A]
2398 MHz, 3003 MHz, 44, 11.16 W, P0, [N/A]
2398 MHz, 3003 MHz, 44, 11.49 W, P0, [N/A]
2398 MHz, 3003 MHz, 44, 11.09 W, P0, [N/A]
2398 MHz, 3003 MHz, 44, 11.92 W, P0, [N/A]
2398 MHz, 3003 MHz, 44, 11.30 W, P0, [N/A]
2398 MHz, 3003 MHz, 44, 11.94 W, P0, [N/A]
2398 MHz, 3003 MHz, 44, 12.21 W, P0, [N/A]
2398 MHz, 3003 MHz, 44, 12.13 W, P0, [N/A]
2398 MHz, 3003 MHz, 44, 11.16 W, P0, [N/A]
