2398 MHz, 3003 MHz, 41, 10.70 W, P0, [N/A]
2398 MHz, 3003 MHz, 41, 10.72 W, P0, [N/A]
2398 MHz, 3003 MHz, 41, 10.69 W, P0, [N/A]
2398 MHz, 3003 MHz, 41, 10.69 W, P0, [N/A]
2398 MHz, 3003 MHz, 41, 10.70 W, P0, [N/A]
2398 MHz, 3003 MHz, 41, 10.76 W, P0, [N/A]
2398 MHz, 3003 MHz, 42, 10.66 W, P0, [N/A]
2398 MHz, 3003 MHz, 42, 10.68 W, P0, [N/A]
2398 MHz, 3003 MHz, 42, 10.67 W, P0, [N/A]
2398 MHz, 3003 MHz, 42, 10.66 W, P0, [N/A]
2398 MHz, 3003 MHz, 42, 10.69 W, P0, [N/A]
2398 MHz, 3003 MHz, 42, 10.70 W, P0, [N/A]
2398 MHz, 3003 MHz, 42, 10.69 W, P0, [N/A]
2398 MHz, 3003 MHz, 42, 10.69 W, P0, [N/A]
2398 MHz, 3003 MHz, 42, 10.69 W, P0, [N/A]
2398 MHz, 3003 MHz, 42, 10.69 W, P0, [N/A]
2398 MHz, 3003 MHz, 42, 10.71 W, P0, [N/A]
2398 MHz, 3003 MHz, 42, 10.67 W, P0, [N/A]
2398 MHz, 3003 MHz, 42, 10.63 W, P0, [N/A]
2398 MHz, 3003 MHz, 42, 10.76 W, P0, [N/A]
2398 MHz, 3003 MHz, 42, 11.03 W, P0, [N/A]
2398 MHz, 3003 MHz, 42, 10.75 W, P0, [N/A]
2398 MHz, 3003 MHz, 42, 10.75 W, P0, [N/A]
2398 MHz, 3003 MHz, 42, 10.70 W, P0, [N/A]
2398 MHz, 3003 MHz, 42, 10.69 W, P0, [N/A]
2398 MHz, 3003 MHz, 42, 10.69 W, P0, [N/A]
2398 MHz, 3003 MHz, 42, 10.69 W, P0, [N/A]
2398 MHz, 3003 MHz, 42, 11.09 W, P0, [N/A]
2398 MHz, 3003 MHz, 42, 10.81 W, P0, [N/A]
2398 MHz, 3003 MHz, 42, 10.85 W, P0, [N/A]
2398 MHz, 3003 MHz, 42, 10.71 W, P0, [N/A]
2398 MHz, 3003 MHz, 42, 10.69 W, P0, [N/A]
2398 MHz, 3003 MHz, 42, 10.71 W, P0, [N/A]
2398 MHz, 3003 MHz, 42, 10.72 W, P0, [N/A]
2398 MHz, 3003 MHz, 42, 10.69 W, P0, [N/A]
2398 MHz, 3003 MHz, 42, 10.93 W, P0, [N/A]
2398 MHz, 3003 MHz, 42, 11.14 W, P0, [N/A]
2398 MHz, 3003 MHz, 42, 10.96 W, P0, [N/A]
2398 MHz, 3003 MHz, 43, 11.45 W, P0, [N/A]
2398 MHz, 3003 MHz, 43, 10.93 W, P0, [N/A]
2398 MHz, 3003 MHz, 43, 11.63 W, P0, [N/A]
2398 MHz, 3003 MHz, 43, 12.06 W, P0, [N/A]
2398 MHz, 3003 MHz, 43, 11.28 W, P0, [N/A]
2398 MHz, 3003 MHz, 43, 10.80 W, P0, [N/A]
2398 MHz, 3003 MHz, 43, 11.26 W, P0, [N/A]
2398 MHz, 3003 MHz, 43, 11.13 W, P0, [N/A]
2398 MHz, 3003 MHz, 43, 11.38 W, P0, [N/A]
2398 MHz, 3003 MHz, 43, 12.25 W, P0, [N/A]
2398 MHz, 3003 MHz, 43, 11.92 W, P0, [N/A]
2398 MHz, 3003 MHz, 44, 16.25 W, P0, [N/A]
2398 MHz, 3003 MHz, 44, 19.94 W, P0, [N/A]
2398 MHz, 3003 MHz, 45, 20.09 W, P0, [N/A]
2398 MHz, 3003 MHz, 45, 17.87 W, P0, [N/A]
2398 MHz, 3003 MHz, 43, 11.30 W, P0, [N/A]
2398 MHz, 3003 MHz, 43, 10.86 W, P0, [N/A]
2398 MHz, 3003 MHz, 43, 12.81 W, P0, [N/A]
2398 MHz, 3003 MHz, 43, 11.45 W, P0, [N/A]
2398 MHz, 3003 MHz, 43, 12.71 W, P0, [N/A]
2398 MHz, 3003 MHz, 43, 11.97 W, P0, [N/A]
2398 MHz, 3003 MHz, 43, 10.92 W, P0, [N/A]
2398 MHz, 3003 MHz, 43, 11.86 W, P0, [N/A]
2398 MHz, 3003 MHz, 43, 11.04 W, P0, [N/A]
2398 MHz, 3003 MHz, 43, 11.00 W, P0, [N/A]
2398 MHz, 3003 MHz, 43, 10.95 W, P0, [N/A]
2398 MHz, 3003 MHz, 43, 10.90 W, P0, [N/A]
2398 MHz, 3003 MHz, 50, 38.35 W, P0, [N/A]
2392 MHz, 3003 MHz, 57, 92.31 W, P0, [N/A]
2392 MHz, 3003 MHz, 58, 92.58 W, P0, [N/A]
2398 MHz, 3003 MHz, 59, 93.83 W, P0, [N/A]
2398 MHz, 3003 MHz, 60, 94.27 W, P0, [N/A]
2385 MHz, 3003 MHz, 61, 94.31 W, P0, [N/A]
2385 MHz, 3003 MHz, 62, 93.56 W, P0, [N/A]
2379 MHz, 3003 MHz, 61, 94.72 W, P0, [N/A]
2372 MHz, 3003 MHz, 62, 94.11 W, P0, [N/A]
2398 MHz, 3003 MHz, 51, 25.49 W, P0, [N/A]
2411 MHz, 3003 MHz, 54, 37.45 W, P0, [N/A]
2398 MHz, 3003 MHz, 49, 15.08 W, P0, [N/A]
2398 MHz, 3003 MHz, 49, 12.01 W, P0, [N/A]
2398 MHz, 3003 MHz, 48, 11.67 W, P0, [N/A]
2398 MHz, 3003 MHz, 48, 11.47 W, P0, [N/A]
2398 MHz, 3003 MHz, 49, 11.86 W, P0, [N/A]
2398 MHz, 3003 MHz, 48, 11.45 W, P0, [N/A]
2398 MHz, 3003 MHz, 48, 11.44 W, P0, [N/A]
2398 MHz, 3003 MHz, 48, 11.44 W, P0, [N/A]
2398 MHz, 3003 MHz, 47, 11.41 W, P0, [N/A]
2398 MHz, 3003 MHz, 48, 12.17 W, P0, [N/A]
2398 MHz, 3003 MHz, 47, 11.33 W, P0, [N/A]
2398 MHz, 3003 MHz, 47, 11.34 W, P0, [N/A]
2398 MHz, 3003 MHz, 47, 13.40 W, P0, [N/A]
2398 MHz, 3003 MHz, 47, 13.06 W, P0, [N/A]
2398 MHz, 3003 MHz, 47, 12.18 W, P0, [N/A]
2398 MHz, 3003 MHz, 47, 12.31 W, P0, [N/A]
2398 MHz, 3003 MHz, 47, 12.44 W, P0, [N/A]
2398 MHz, 3003 MHz, 46, 11.30 W, P0, [N/A]
2398 MHz, 3003 MHz, 47, 19.16 W, P0, [N/A]
