2398 MHz, 3003 MHz, 50, 11.83 W, P0, [N/A]
2398 MHz, 3003 MHz, 50, 11.79 W, P0, [N/A]
2398 MHz, 3003 MHz, 50, 11.80 W, P0, [N/A]
2398 MHz, 3003 MHz, 50, 11.85 W, P0, [N/A]
2398 MHz, 3003 MHz, 50, 12.18 W, P0, [N/A]
2398 MHz, 3003 MHz, 50, 11.81 W, P0, [N/A]
2398 MHz, 3003 MHz, 50, 11.87 W, P0, [N/A]
2398 MHz, 3003 MHz, 50, 11.78 W, P0, [N/A]
2398 MHz, 3003 MHz, 50, 11.80 W, P0, [N/A]
2398 MHz, 3003 MHz, 50, 11.78 W, P0, [N/A]
2398 MHz, 3003 MHz, 50, 11.76 W, P0, [N/A]
2398 MHz, 3003 MHz, 50, 12.00 W, P0, [N/A]
2398 MHz, 3003 MHz, 50, 12.18 W, P0, [N/A]
2398 MHz, 3003 MHz, 50, 12.02 W, P0, [N/A]
2398 MHz, 3003 MHz, 50, 12.42 W, P0, [N/A]
2398 MHz, 3003 MHz, 50, 12.00 W, P0, [N/A]
2398 MHz, 3003 MHz, 50, 12.69 W, P0, [N/A]
2398 MHz, 3003 MHz, 50, 13.16 W, P0, [N/A]
2398 MHz, 3003 MHz, 49, 12.25 W, P0, [N/A]
2398 MHz, 3003 MHz, 49, 11.75 W, P0, [N/A]
2398 MHz, 3003 MHz, 49, 12.19 W, P0, [N/A]
2398 MHz, 3003 MHz, 49, 12.18 W, P0, [N/A]
2398 MHz, 3003 MHz, 49, 12.27 W, P0, [N/A]
2398 MHz, 3003 MHz, 49, 12.79 W, P0, [N/A]
2398 MHz, 3003 MHz, 49, 13.08 W, P0, [N/A]
2398 MHz, 3003 MHz, 49, 14.17 W, P0, [N/A]
2398 MHz, 3003 MHz, 50, 20.88 W, P0, [N/A]
2398 MHz, 3003 MHz, 51, 20.86 W, P0, [N/A]
2398 MHz, 3003 MHz, 51, 20.88 W, P0, [N/A]
2398 MHz, 3003 MHz, 49, 13.21 W, P0, [N/A]
2398 MHz, 3003 MHz, 49, 12.07 W, P0, [N/A]
2398 MHz, 3003 MHz, 49, 11.87 W, P0, [N/A]
2398 MHz, 3003 MHz, 49, 13.57 W, P0, [N/A]
2398 MHz, 3003 MHz, 49, 13.13 W, P0, [N/A]
2398 MHz, 3003 MHz, 49, 13.54 W, P0, [N/A]
2398 MHz, 3003 MHz, 49, 11.69 W, P0, [N/A]
2398 MHz, 3003 MHz, 49, 11.84 W, P0, [N/A]
2398 MHz, 3003 MHz, 49, 12.43 W, P0, [N/A]
2398 MHz, 3003 MHz, 49, 11.61 W, P0, [N/A]
2398 MHz, 3003 MHz, 49, 11.63 W, P0, [N/A]
2398 MHz, 3003 MHz, 49, 11.57 W, P0, [N/A]
2398 MHz, 3003 MHz, 48, 11.60 W, P0, [N/A]
2392 MHz, 3003 MHz, 62, 81.36 W, P0, [N/A]
2392 MHz, 3003 MHz, 61, 85.08 W, P0, [N/A]
2398 MHz, 3003 MHz, 61, 74.82 W, P0, [N/A]
2385 MHz, 3003 MHz, 58, 82.30 W, P0, [N/A]
2385 MHz, 3003 MHz, 64, 82.71 W, P0, [N/A]
2385 MHz, 3003 MHz, 63, 83.82 W, P0, [N/A]
2366 MHz, 3003 MHz, 67, 90.70 W, P0, [N/A]
2379 MHz, 3003 MHz, 67, 94.68 W, P0, [N/A]
2353 MHz, 3003 MHz, 68, 93.37 W, P0, [N/A]
2353 MHz, 3003 MHz, 68, 65.73 W, P0, [N/A]
2411 MHz, 3003 MHz, 55, 20.69 W, P0, [N/A]
2411 MHz, 3003 MHz, 54, 18.73 W, P0, [N/A]
2411 MHz, 3003 MHz, 55, 19.09 W, P0, [N/A]
2411 MHz, 3003 MHz, 55, 22.92 W, P0, [N/A]
2411 MHz, 3003 MHz, 55, 22.92 W, P0, [N/A]
2411 MHz, 3003 MHz, 55, 21.95 W, P0, [N/A]
2411 MHz, 3003 MHz, 53, 13.88 W, P0, [N/A]
2398 MHz, 3003 MHz, 53, 12.33 W, P0, [N/A]
2405 MHz, 3003 MHz, 53, 17.06 W, P0, [N/A]
2411 MHz, 3003 MHz, 57, 37.69 W, P0, [N/A]
2398 MHz, 3003 MHz, 53, 14.78 W, P0, [N/A]
2411 MHz, 3003 MHz, 54, 24.42 W, P0, [N/A]
2411 MHz, 3003 MHz, 53, 22.47 W, P0, [N/A]
2411 MHz, 3003 MHz, 54, 20.97 W, P0, [N/A]
2398 MHz, 3003 MHz, 52, 15.90 W, P0, [N/A]
2398 MHz, 3003 MHz, 52, 12.26 W, P0, [N/A]
2398 MHz, 3003 MHz, 52, 12.10 W, P0, [N/A]
2405 MHz, 3003 MHz, 52, 13.02 W, P0, [N/A]
2398 MHz, 3003 MHz, 51, 12.12 W, P0, [N/A]
2398 MHz, 3003 MHz, 51, 11.89 W, P0, [N/A]
2398 MHz, 3003 MHz, 51, 12.78 W, P0, [N/A]
2398 MHz, 3003 MHz, 51, 11.98 W, P0, [N/A]
2398 MHz, 3003 MHz, 51, 11.87 W, P0, [N/A]
2398 MHz, 3003 MHz, 51, 11.80 W, P0, [N/A]
2398 MHz, 3003 MHz, 50, 11.75 W, P0, [N/A]
2398 MHz, 3003 MHz, 50, 11.74 W, P0, [N/A]
2398 MHz, 3003 MHz, 50, 14.10 W, P0, [N/A]
2398 MHz, 3003 MHz, 50, 11.79 W, P0, [N/A]
2398 MHz, 3003 MHz, 50, 11.69 W, P0, [N/A]
2398 MHz, 3003 MHz, 50, 13.38 W, P0, [N/A]
2398 MHz, 3003 MHz, 50, 13.40 W, P0, [N/A]
2398 MHz, 3003 MHz, 50, 12.84 W, P0, [N/A]
2398 MHz, 3003 MHz, 50, 12.56 W, P0, [N/A]
2398 MHz, 3003 MHz, 50, 11.71 W, P0, [N/A]
2398 MHz, 3003 MHz, 50, 11.66 W, P0, [N/A]
2398 MHz, 3003 MHz, 53, 18.16 W, P0, [N/A]
2385 MHz, 3003 MHz, 60, 45.25 W, P0, [N/A]
2405 MHz, 3003 MHz, 51, 37.33 W, P0, [N/A]
2398 MHz, 3003 MHz, 53, 37.47 W, P0, [N/A]
2398 MHz, 3003 MHz, 60, 66.35 W, P0, [N/A]
2398 MHz, 3003 MHz, 53, 34.44 W, P0, [N/A]
2392 MHz, 3003 MHz, 51, 16.87 W, P0, [N/A]
2398 MHz, 3003 MHz, 52, 17.95 W, P0, [N/A]
2398 MHz, 3003 MHz, 51, 13.04 W, P0, [N/A]
2398 MHz, 3003 MHz, 50, 11.75 W, P0, [N/A]
2398 MHz, 3003 MHz, 50, 11.73 W, P0, [N/A]
2398 MHz, 3003 MHz, 50, 11.69 W, P0, [N/A]
2398 MHz, 3003 MHz, 50, 11.63 W, P0, [N/A]
2398 MHz, 3003 MHz, 49, 11.62 W, P0, [N/A]
2398 MHz, 3003 MHz, 49, 11.59 W, P0, [N/A]
2398 MHz, 3003 MHz, 49, 11.61 W, P0, [N/A]
