2398 MHz, 3003 MHz, 41, 10.69 W, P0, [N/A]
2398 MHz, 3003 MHz, 41, 10.69 W, P0, [N/A]
2398 MHz, 3003 MHz, 41, 10.66 W, P0, [N/A]
2398 MHz, 3003 MHz, 41, 10.65 W, P0, [N/A]
2398 MHz, 3003 MHz, 41, 10.67 W, P0, [N/A]
2398 MHz, 3003 MHz, 41, 10.66 W, P0, [N/A]
2398 MHz, 3003 MHz, 41, 10.67 W, P0, [N/A]
2398 MHz, 3003 MHz, 41, 10.66 W, P0, [N/A]
2398 MHz, 3003 MHz, 41, 10.69 W, P0, [N/A]
2398 MHz, 3003 MHz, 41, 10.73 W, P0, [N/A]
2398 MHz, 3003 MHz, 41, 10.70 W, P0, [N/A]
2398 MHz, 3003 MHz, 41, 10.69 W, P0, [N/A]
2398 MHz, 3003 MHz, 41, 10.72 W, P0, [N/A]
2398 MHz, 3003 MHz, 41, 10.73 W, P0, [N/A]
2398 MHz, 3003 MHz, 41, 10.70 W, P0, [N/A]
2398 MHz, 3003 MHz, 41, 10.77 W, P0, [N/A]
2398 MHz, 3003 MHz, 42, 10.75 W, P0, [N/A]
2398 MHz, 3003 MHz, 42, 10.72 W, P0, [N/A]
2398 MHz, 3003 MHz, 42, 10.82 W, P0, [N/A]
2398 MHz, 3003 MHz, 42, 10.85 W, P0, [N/A]
2398 MHz, 3003 MHz, 42, 10.88 W, P0, [N/A]
2398 MHz, 3003 MHz, 42, 10.83 W, P0, [N/A]
2398 MHz, 3003 MHz, 42, 10.82 W, P0, [N/A]
2398 MHz, 3003 MHz, 42, 10.82 W, P0, [N/A]
2398 MHz, 3003 MHz, 42, 10.78 W, P0, [N/A]
2398 MHz, 3003 MHz, 42, 10.84 W, P0, [N/A]
2398 MHz, 3003 MHz, 42, 10.90 W, P0, [N/A]
2398 MHz, 3003 MHz, 42, 10.82 W, P0, [N/A]
2398 MHz, 3003 MHz, 42, 10.76 W, P0, [N/A]
2398 MHz, 3003 MHz, 42, 10.77 W, P0, [N/A]
2398 MHz, 3003 MHz, 42, 10.77 W, P0, [N/A]
2398 MHz, 3003 MHz, 42, 10.78 W, P0, [N/A]
2398 MHz, 3003 MHz, 42, 10.80 W, P0, [N/A]
2398 MHz, 3003 MHz, 42, 10.80 W, P0, [N/A]
2398 MHz, 3003 MHz, 42, 10.85 W, P0, [N/A]
2398 MHz, 3003 MHz, 42, 10.82 W, P0, [N/A]
2398 MHz, 3003 MHz, 42, 10.83 W, P0, [N/A]
2398 MHz, 3003 MHz, 43, 10.91 W, P0, [N/A]
2398 MHz, 3003 MHz, 43, 10.86 W, P0, [N/A]
2398 MHz, 3003 MHz, 43, 10.85 W, P0, [N/A]
2398 MHz, 3003 MHz, 43, 10.84 W, P0, [N/A]
2398 MHz, 3003 MHz, 43, 10.97 W, P0, [N/A]
2398 MHz, 3003 MHz, 43, 11.15 W, P0, [N/A]
2398 MHz, 3003 MHz, 43, 10.88 W, P0, [N/A]
2398 MHz, 3003 MHz, 43, 10.79 W, P0, [N/A]
2398 MHz, 3003 MHz, 43, 10.84 W, P0, [N/A]
2398 MHz, 3003 MHz, 43, 10.80 W, P0, [N/A]
2398 MHz, 3003 MHz, 43, 10.82 W, P0, [N/A]
2398 MHz, 3003 MHz, 43, 11.06 W, P0, [N/A]
2398 MHz, 3003 MHz, 43, 11.02 W, P0, [N/A]
2398 MHz, 3003 MHz, 43, 10.84 W, P0, [N/A]
2398 MHz, 3003 MHz, 43, 10.92 W, P0, [N/A]
2398 MHz, 3003 MHz, 43, 10.83 W, P0, [N/A]
2398 MHz, 3003 MHz, 43, 10.83 W, P0, [N/A]
2398 MHz, 3003 MHz, 43, 10.86 W, P0, [N/A]
2398 MHz, 3003 MHz, 43, 10.84 W, P0, [N/A]
2398 MHz, 3003 MHz, 43, 11.05 W, P0, [N/A]
2398 MHz, 3003 MHz, 43, 11.36 W, P0, [N/A]
2398 MHz, 3003 MHz, 43, 10.93 W, P0, [N/A]
2398 MHz, 3003 MHz, 43, 11.63 W, P0, [N/A]
2398 MHz, 3003 MHz, 43, 11.12 W, P0, [N/A]
2398 MHz, 3003 MHz, 43, 11.69 W, P0, [N/A]
2398 MHz, 3003 MHz, 43, 11.84 W, P0, [N/A]
2398 MHz, 3003 MHz, 44, 12.33 W, P0, [N/A]
2398 MHz, 3003 MHz, 43, 11.03 W, P0, [N/A]
2398 MHz, 3003 MHz, 44, 11.43 W, P0, [N/A]
2398 MHz, 3003 MHz, 43, 11.49 W, P0, [N/A]
2398 MHz, 3003 MHz, 43, 11.54 W, P0, [N/A]
2398 MHz, 3003 MHz, 44, 12.09 W, P0, [N/A]
2398 MHz, 3003 MHz, 43, 12.54 W, P0, [N/A]
2398 MHz, 3003 MHz, 43, 13.23 W, P0, [N/A]
2398 MHz, 3003 MHz, 45, 20.17 W, P0, [N/A]
2398 MHz, 3003 MHz, 45, 20.19 W, P0, [N/A]
2398 MHz, 3003 MHz, 45, 20.29 W, P0, [N/A]
2398 MHz, 3003 MHz, 44, 12.81 W, P0, [N/A]
2398 MHz, 3003 MHz, 44, 11.52 W, P0, [N/A]
2398 MHz, 3003 MHz, 44, 11.40 W, P0, [N/A]
2398 MHz, 3003 MHz, 44, 12.86 W, P0, [N/A]
2398 MHz, 3003 MHz, 44, 12.42 W, P0, [N/A]
2398 MHz, 3003 MHz, 44, 13.12 W, P0, [N/A]
2398 MHz, 3003 MHz, 44, 11.14 W, P0, [N/A]
2398 MHz, 3003 MHz, 44, 11.29 W, P0, [N/A]
2398 MHz, 3003 MHz, 44, 11.87 W, P0, [N/A]
2398 MHz, 3003 MHz, 44, 11.06 W, P0, [N/A]
2398 MHz, 3003 MHz, 44, 11.07 W, P0, [N/A]
2398 MHz, 3003 MHz, 44, 11.05 W, P0, [N/A]
2398 MHz, 3003 MHz, 44, 11.04 W, P0, [N/A]
2398 MHz, 3003 MHz, 57, 67.13 W, P0, [N/A]
2398 MHz, 3003 MHz, 59, 93.21 W, P0, [N/A]
2392 MHz, 3003 MHz, 59, 92.90 W, P0, [N/A]
2392 MHz, 3003 MHz, 61, 94.10 W, P0, [N/A]
2385 MHz, 3003 MHz, 62, 95.01 W, P0, [N/A]
2385 MHz, 3003 MHz, 62, 93.59 W, P0, [N/A]
2385 MHz, 3003 MHz, 63, 94.98 W, P0, [N/A]
2385 MHz, 3003 MHz, 63, 95.11 W, P0, [N/A]
2366 MHz, 3003 MHz, 63, 80.44 W, P0, [N/A]
2405 MHz, 3003 MHz, 54, 26.92 W, P0, [N/A]
2405 MHz, 3003 MHz, 51, 29.91 W, P0, [N/A]
2398 MHz, 3003 MHz, 50, 11.73 W, P0, [N/A]
2398 MHz, 3003 MHz, 49, 12.08 W, P0, [N/A]
2398 MHz, 3003 MHz, 49, 11.77 W, P0, [N/A]
2398 MHz, 3003 MHz, 49, 11.56 W, P0, [N/A]
2398 MHz, 3003 MHz, 48, 11.96 W, P0, [N/A]
2398 MHz, 3003 MHz, 48, 11.62 W, P0, [N/A]
2398 MHz, 3003 MHz, 48, 11.61 W, P0, [N/A]
