2398 MHz, 3003 MHz, 41, 10.68 W, P0, [N/A]
2398 MHz, 3003 MHz, 41, 10.66 W, P0, [N/A]
2398 MHz, 3003 MHz, 41, 10.67 W, P0, [N/A]
2398 MHz, 3003 MHz, 41, 10.66 W, P0, [N/A]
2398 MHz, 3003 MHz, 41, 10.67 W, P0, [N/A]
2398 MHz, 3003 MHz, 41, 10.65 W, P0, [N/A]
2398 MHz, 3003 MHz, 41, 10.71 W, P0, [N/A]
2398 MHz, 3003 MHz, 41, 10.68 W, P0, [N/A]
2398 MHz, 3003 MHz, 41, 10.76 W, P0, [N/A]
2398 MHz, 3003 MHz, 41, 10.73 W, P0, [N/A]
2398 MHz, 3003 MHz, 41, 10.82 W, P0, [N/A]
2398 MHz, 3003 MHz, 41, 10.83 W, P0, [N/A]
2398 MHz, 3003 MHz, 41, 10.77 W, P0, [N/A]
2398 MHz, 3003 MHz, 41, 10.82 W, P0, [N/A]
2398 MHz, 3003 MHz, 41, 10.82 W, P0, [N/A]
2398 MHz, 3003 MHz, 41, 10.77 W, P0, [N/A]
2398 MHz, 3003 MHz, 41, 10.76 W, P0, [N/A]
2398 MHz, 3003 MHz, 42, 10.83 W, P0, [N/A]
2398 MHz, 3003 MHz, 42, 10.82 W, P0, [N/A]
2398 MHz, 3003 MHz, 42, 10.79 W, P0, [N/A]
2398 MHz, 3003 MHz, 42, 10.79 W, P0, [N/A]
2398 MHz, 3003 MHz, 42, 10.78 W, P0, [N/A]
2398 MHz, 3003 MHz, 42, 10.85 W, P0, [N/A]
2398 MHz, 3003 MHz, 42, 10.80 W, P0, [N/A]
2398 MHz, 3003 MHz, 42, 10.80 W, P0, [N/A]
2398 MHz, 3003 MHz, 42, 10.82 W, P0, [N/A]
2398 MHz, 3003 MHz, 42, 10.78 W, P0, [N/A]
2398 MHz, 3003 MHz, 42, 10.74 W, P0, [N/A]
2398 MHz, 3003 MHz, 42, 10.83 W, P0, [N/A]
2398 MHz, 3003 MHz, 42, 10.80 W, P0, [N/A]
2398 MHz, 3003 MHz, 42, 10.80 W, P0, [N/A]
2398 MHz, 3003 MHz, 42, 10.90 W, P0, [N/A]
2398 MHz, 3003 MHz, 42, 10.99 W, P0, [N/A]
2398 MHz, 3003 MHz, 42, 11.13 W, P0, [N/A]
2398 MHz, 3003 MHz, 42, 10.90 W, P0, [N/A]
2398 MHz, 3003 MHz, 42, 10.84 W, P0, [N/A]
2398 MHz, 3003 MHz, 42, 10.83 W, P0, [N/A]
2398 MHz, 3003 MHz, 42, 10.81 W, P0, [N/A]
2398 MHz, 3003 MHz, 42, 10.81 W, P0, [N/A]
2398 MHz, 3003 MHz, 42, 10.83 W, P0, [N/A]
2398 MHz, 3003 MHz, 42, 11.15 W, P0, [N/A]
2398 MHz, 3003 MHz, 42, 10.90 W, P0, [N/A]
2398 MHz, 3003 MHz, 42, 10.91 W, P0, [N/A]
2398 MHz, 3003 MHz, 42, 10.81 W, P0, [N/A]
2398 MHz, 3003 MHz, 42, 10.84 W, P0, [N/A]
2398 MHz, 3003 MHz, 42, 10.84 W, P0, [N/A]
2398 MHz, 3003 MHz, 42, 10.85 W, P0, [N/A]
2398 MHz, 3003 MHz, 42, 10.81 W, P0, [N/A]
2398 MHz, 3003 MHz, 42, 11.08 W, P0, [N/A]
2398 MHz, 3003 MHz, 43, 11.45 W, P0, [N/A]
2398 MHz, 3003 MHz, 42, 10.95 W, P0, [N/A]
2398 MHz, 3003 MHz, 43, 11.74 W, P0, [N/A]
2398 MHz, 3003 MHz, 43, 10.99 W, P0, [N/A]
2398 MHz, 3003 MHz, 43, 11.65 W, P0, [N/A]
2398 MHz, 3003 MHz, 43, 11.92 W, P0, [N/A]
2398 MHz, 3003 MHz, 43, 11.94 W, P0, [N/A]
2398 MHz, 3003 MHz, 43, 10.89 W, P0, [N/A]
2398 MHz, 3003 MHz, 43, 11.30 W, P0, [N/A]
2398 MHz, 3003 MHz, 43, 11.28 W, P0, [N/A]
2398 MHz, 3003 MHz, 43, 11.40 W, P0, [N/A]
2398 MHz, 3003 MHz, 43, 11.93 W, P0, [N/A]
2398 MHz, 3003 MHz, 43, 12.86 W, P0, [N/A]
2398 MHz, 3003 MHz, 43, 13.48 W, P0, [N/A]
2398 MHz, 3003 MHz, 44, 20.11 W, P0, [N/A]
2398 MHz, 3003 MHz, 44, 20.16 W, P0, [N/A]
2398 MHz, 3003 MHz, 44, 20.11 W, P0, [N/A]
2398 MHz, 3003 MHz, 43, 12.55 W, P0, [N/A]
2398 MHz, 3003 MHz, 43, 11.36 W, P0, [N/A]
2398 MHz, 3003 MHz, 43, 11.07 W, P0, [N/A]
2398 MHz, 3003 MHz, 44, 12.63 W, P0, [N/A]
2398 MHz, 3003 MHz, 43, 12.01 W, P0, [N/A]
2398 MHz, 3003 MHz, 44, 13.62 W, P0, [N/A]
2398 MHz, 3003 MHz, 43, 10.95 W, P0, [N/A]
2398 MHz, 3003 MHz, 43, 11.33 W, P0, [N/A]
2398 MHz, 3003 MHz, 43, 12.49 W, P0, [N/A]
2398 MHz, 3003 MHz, 43, 10.95 W, P0, [N/A]
2398 MHz, 3003 MHz, 43, 10.89 W, P0, [N/A]
2398 MHz, 3003 MHz, 43, 10.91 W, P0, [N/A]
2398 MHz, 3003 MHz, 43, 10.94 W, P0, [N/A]
2398 MHz, 3003 MHz, 52, 42.74 W, P0, [N/A]
2398 MHz, 3003 MHz, 58, 89.12 W, P0, [N/A]
2398 MHz, 3003 MHz, 53, 70.69 W, P0, [N/A]
2398 MHz, 3003 MHz, 51, 71.59 W, P0, [N/A]
2398 MHz, 3003 MHz, 55, 76.80 W, P0, [N/A]
2398 MHz, 3003 MHz, 59, 78.52 W, P0, [N/A]
2398 MHz, 3003 MHz, 58, 86.33 W, P0, [N/A]
2379 MHz, 3003 MHz, 62, 89.98 W, P0, [N/A]
2385 MHz, 3003 MHz, 62, 96.46 W, P0, [N/A]
2366 MHz, 3003 MHz, 61, 92.70 W, P0, [N/A]
