2398 MHz, 3003 MHz, 43, 11.02 W, P0, [N/A]
2398 MHz, 3003 MHz, 44, 11.43 W, P0, [N/A]
2398 MHz, 3003 MHz, 44, 11.44 W, P0, [N/A]
2398 MHz, 3003 MHz, 44, 11.61 W, P0, [N/A]
2398 MHz, 3003 MHz, 44, 11.79 W, P0, [N/A]
2398 MHz, 3003 MHz, 44, 12.31 W, P0, [N/A]
2398 MHz, 3003 MHz, 44, 10.96 W, P0, [N/A]
2398 MHz, 3003 MHz, 44, 11.33 W, P0, [N/A]
2398 MHz, 3003 MHz, 44, 11.38 W, P0, [N/A]
2398 MHz, 3003 MHz, 44, 11.47 W, P0, [N/A]
2398 MHz, 3003 MHz, 44, 11.80 W, P0, [N/A]
2398 MHz, 3003 MHz, 44, 12.64 W, P0, [N/A]
2398 MHz, 3003 MHz, 44, 11.84 W, P0, [N/A]
2398 MHz, 3003 MHz, 45, 20.18 W, P0, [N/A]
2398 MHz, 3003 MHz, 46, 20.27 W, P0, [N/A]
2398 MHz, 3003 MHz, 45, 20.23 W, P0, [N/A]
2398 MHz, 3003 MHz, 44, 14.11 W, P0, [N/A]
2398 MHz, 3003 MHz, 44, 11.60 W, P0, [N/A]
2398 MHz, 3003 MHz, 44, 11.12 W, P0, [N/A]
2398 MHz, 3003 MHz, 44, 12.78 W, P0, [N/A]
2398 MHz, 3003 MHz, 44, 12.32 W, P0, [N/A]
2398 MHz, 3003 MHz, 45, 12.96 W, P0, [N/A]
2398 MHz, 3003 MHz, 44, 12.94 W, P0, [N/A]
2398 MHz, 3003 MHz, 44, 11.21 W, P0, [N/A]
2398 MHz, 3003 MHz, 44, 11.56 W, P0, [N/A]
2398 MHz, 3003 MHz, 45, 12.71 W, P0, [N/A]
2398 MHz, 3003 MHz, 44, 11.16 W, P0, [N/A]
2398 MHz, 3003 MHz, 44, 11.14 W, P0, [N/A]
2398 MHz, 3003 MHz, 44, 11.14 W, P0, [N/A]
