2398 MHz, 3003 MHz, 42, 10.87 W, P0, [N/A]
2398 MHz, 3003 MHz, 42, 10.82 W, P0, [N/A]
2398 MHz, 3003 MHz, 42, 11.06 W, P0, [N/A]
2398 MHz, 3003 MHz, 43, 11.29 W, P0, [N/A]
2398 MHz, 3003 MHz, 42, 11.03 W, P0, [N/A]
2398 MHz, 3003 MHz, 43, 11.43 W, P0, [N/A]
2398 MHz, 3003 MHz, 43, 11.24 W, P0, [N/A]
2398 MHz, 3003 MHz, 43, 11.72 W, P0, [N/A]
2398 MHz, 3003 MHz, 43, 12.12 W, P0, [N/A]
2398 MHz, 3003 MHz, 43, 11.59 W, P0, [N/A]
2398 MHz, 3003 MHz, 43, 10.87 W, P0, [N/A]
2398 MHz, 3003 MHz, 43, 11.18 W, P0, [N/A]
2398 MHz, 3003 MHz, 43, 11.30 W, P0, [N/A]
2398 MHz, 3003 MHz, 43, 11.31 W, P0, [N/A]
2398 MHz, 3003 MHz, 43, 11.62 W, P0, [N/A]
2398 MHz, 3003 MHz, 43, 12.76 W, P0, [N/A]
2398 MHz, 3003 MHz, 43, 11.77 W, P0, [N/A]
2398 MHz, 3003 MHz, 44, 19.94 W, P0, [N/A]
2398 MHz, 3003 MHz, 44, 20.22 W, P0, [N/A]
2398 MHz, 3003 MHz, 44, 20.22 W, P0, [N/A]
2398 MHz, 3003 MHz, 43, 14.84 W, P0, [N/A]
2398 MHz, 3003 MHz, 43, 11.54 W, P0, [N/A]
2398 MHz, 3003 MHz, 43, 11.07 W, P0, [N/A]
2398 MHz, 3003 MHz, 44, 13.06 W, P0, [N/A]
2398 MHz, 3003 MHz, 44, 12.81 W, P0, [N/A]
2398 MHz, 3003 MHz, 44, 12.54 W, P0, [N/A]
2398 MHz, 3003 MHz, 44, 13.01 W, P0, [N/A]
2398 MHz, 3003 MHz, 43, 11.15 W, P0, [N/A]
2398 MHz, 3003 MHz, 43, 11.47 W, P0, [N/A]
2398 MHz, 3003 MHz, 44, 12.55 W, P0, [N/A]
2398 MHz, 3003 MHz, 43, 11.05 W, P0, [N/A]
2398 MHz, 3003 MHz, 43, 11.02 W, P0, [N/A]
2398 MHz, 3003 MHz, 43, 11.01 W, P0, [N/A]
2398 MHz, 3003 MHz, 43, 11.06 W, P0, [N/A]
2398 MHz, 3003 MHz, 56, 41.66 W, P0, [N/A]
2398 MHz, 3003 MHz, 58, 90.21 W, P0, [N/A]
2398 MHz, 3003 MHz, 53, 80.14 W, P0, [N/A]
2398 MHz, 3003 MHz, 56, 71.09 W, P0, [N/A]
2398 MHz, 3003 MHz, 58, 75.65 W, P0, [N/A]
2398 MHz, 3003 MHz, 59, 75.35 W, P0, [N/A]
2398 MHz, 3003 MHz, 54, 83.47 W, P0, [N/A]
2392 MHz, 3003 MHz, 62, 90.05 W, P0, [N/A]
2372 MHz, 3003 MHz, 61, 96.47 W, P0, [N/A]
2385 MHz, 3003 MHz, 63, 91.80 W, P0, [N/A]
2346 MHz, 3003 MHz, 61, 94.95 W, P0, [N/A]
2359 MHz, 3003 MHz, 64, 92.57 W, P0, [N/A]
2366 MHz, 3003 MHz, 65, 93.97 W, P0, [N/A]
2385 MHz, 3003 MHz, 65, 96.94 W, P0, [N/A]
2353 MHz, 3003 MHz, 66, 93.09 W, P0, [N/A]
2392 MHz, 3003 MHz, 66, 96.34 W, P0, [N/A]
2346 MHz, 3003 MHz, 63, 91.84 W, P0, [N/A]
2379 MHz, 3003 MHz, 67, 96.92 W, P0, [N/A]
2340 MHz, 3003 MHz, 66, 70.55 W, P0, [N/A]
2411 MHz, 3003 MHz, 54, 20.63 W, P0, [N/A]
2411 MHz, 3003 MHz, 53, 20.88 W, P0, [N/A]
2411 MHz, 3003 MHz, 53, 18.31 W, P0, [N/A]
2411 MHz, 3003 MHz, 54, 23.03 W, P0, [N/A]
2411 MHz, 3003 MHz, 55, 25.20 W, P0, [N/A]
2411 MHz, 3003 MHz, 53, 22.82 W, P0, [N/A]
2405 MHz, 3003 MHz, 52, 20.43 W, P0, [N/A]
2398 MHz, 3003 MHz, 51, 14.16 W, P0, [N/A]
2398 MHz, 3003 MHz, 51, 11.94 W, P0, [N/A]
2405 MHz, 3003 MHz, 51, 19.02 W, P0, [N/A]
2411 MHz, 3003 MHz, 53, 39.99 W, P0, [N/A]
2411 MHz, 3003 MHz, 55, 38.93 W, P0, [N/A]
2411 MHz, 3003 MHz, 56, 39.26 W, P0, [N/A]
2411 MHz, 3003 MHz, 56, 32.31 W, P0, [N/A]
2398 MHz, 3003 MHz, 51, 14.93 W, P0, [N/A]
2398 MHz, 3003 MHz, 53, 24.33 W, P0, [N/A]
2411 MHz, 3003 MHz, 54, 26.72 W, P0, [N/A]
2411 MHz, 3003 MHz, 53, 23.18 W, P0, [N/A]
2398 MHz, 3003 MHz, 53, 25.71 W, P0, [N/A]
2398 MHz, 3003 MHz, 51, 13.38 W, P0, [N/A]
2398 MHz, 3003 MHz, 51, 12.19 W, P0, [N/A]
2398 MHz, 3003 MHz, 50, 11.92 W, P0, [N/A]
2398 MHz, 3003 MHz, 50, 11.70 W, P0, [N/A]
2398 MHz, 3003 MHz, 50, 11.67 W, P0, [N/A]
2398 MHz, 3003 MHz, 50, 12.12 W, P0, [N/A]
2398 MHz, 3003 MHz, 50, 11.70 W, P0, [N/A]
2398 MHz, 3003 MHz, 50, 11.68 W, P0, [N/A]
2398 MHz, 3003 MHz, 50, 11.66 W, P0, [N/A]
2398 MHz, 3003 MHz, 49, 11.65 W, P0, [N/A]
2398 MHz, 3003 MHz, 49, 12.46 W, P0, [N/A]
2398 MHz, 3003 MHz, 49, 11.64 W, P0, [N/A]
2398 MHz, 3003 MHz, 49, 11.64 W, P0, [N/A]
2398 MHz, 3003 MHz, 49, 12.88 W, P0, [N/A]
2398 MHz, 3003 MHz, 49, 13.25 W, P0, [N/A]
2398 MHz, 3003 MHz, 49, 12.24 W, P0, [N/A]
2398 MHz, 3003 MHz, 49, 12.62 W, P0, [N/A]
2398 MHz, 3003 MHz, 48, 11.99 W, P0, [N/A]
2398 MHz, 3003 MHz, 48, 11.68 W, P0, [N/A]
2398 MHz, 3003 MHz, 48, 11.58 W, P0, [N/A]
2398 MHz, 3003 MHz, 48, 11.53 W, P0, [N/A]
2398 MHz, 3003 MHz, 49, 15.03 W, P0, [N/A]
2385 MHz, 3003 MHz, 59, 64.31 W, P0, [N/A]
2379 MHz, 3003 MHz, 51, 48.70 W, P0, [N/A]
2366 MHz, 3003 MHz, 62, 67.96 W, P0, [N/A]
2379 MHz, 3003 MHz, 54, 39.37 W, P0, [N/A]
2392 MHz, 3003 MHz, 56, 53.30 W, P0, [N/A]
2379 MHz, 3003 MHz, 59, 63.54 W, P0, [N/A]
2385 MHz, 3003 MHz, 64, 82.54 W, P0, [N/A]
2398 MHz, 3003 MHz, 60, 64.63 W, P0, [N/A]
2398 MHz, 3003 MHz, 62, 64.95 W, P0, [N/A]
2398 MHz, 3003 MHz, 52, 27.33 W, P0, [N/A]
2398 MHz, 3003 MHz, 51, 12.06 W, P0, [N/A]
2398 MHz, 3003 MHz, 51, 11.88 W, P0, [N/A]
2398 MHz, 3003 MHz, 51, 11.87 W, P0, [N/A]
2398 MHz, 3003 MHz, 50, 13.67 W, P0, [N/A]
2398 MHz, 3003 MHz, 50, 12.02 W, P0, [N/A]
2398 MHz, 3003 MHz, 50, 11.80 W, P0, [N/A]
2398 MHz, 3003 MHz, 50, 11.69 W, P0, [N/A]
2398 MHz, 3003 MHz, 49, 11.67 W, P0, [N/A]
2398 MHz, 3003 MHz, 49, 11.60 W, P0, [N/A]
2398 MHz, 3003 MHz, 49, 11.58 W, P0, [N/A]
2398 MHz, 3003 MHz, 49, 11.58 W, P0, [N/A]
2398 MHz, 3003 MHz, 49, 11.57 W, P0, [N/A]
2398 MHz, 3003 MHz, 49, 11.58 W, P0, [N/A]
2398 MHz, 3003 MHz, 48, 11.53 W, P0, [N/A]
2398 MHz, 3003 MHz, 48, 11.56 W, P0, [N/A]
2398 MHz, 3003 MHz, 48, 11.52 W, P0, [N/A]
2398 MHz, 3003 MHz, 48, 11.49 W, P0, [N/A]
2398 MHz, 3003 MHz, 48, 11.52 W, P0, [N/A]
2398 MHz, 3003 MHz, 48, 11.52 W, P0, [N/A]
2398 MHz, 3003 MHz, 48, 11.48 W, P0, [N/A]
2398 MHz, 3003 MHz, 48, 11.48 W, P0, [N/A]
2398 MHz, 3003 MHz, 48, 11.43 W, P0, [N/A]
2398 MHz, 3003 MHz, 48, 11.44 W, P0, [N/A]
2398 MHz, 3003 MHz, 48, 11.46 W, P0, [N/A]
2398 MHz, 3003 MHz, 47, 11.46 W, P0, [N/A]
2398 MHz, 3003 MHz, 47, 11.50 W, P0, [N/A]
2398 MHz, 3003 MHz, 47, 11.44 W, P0, [N/A]
2398 MHz, 3003 MHz, 47, 11.45 W, P0, [N/A]
2398 MHz, 3003 MHz, 47, 11.45 W, P0, [N/A]
2398 MHz, 3003 MHz, 47, 11.39 W, P0, [N/A]
2398 MHz, 3003 MHz, 47, 11.41 W, P0, [N/A]
2398 MHz, 3003 MHz, 47, 11.36 W, P0, [N/A]
2398 MHz, 3003 MHz, 47, 11.34 W, P0, [N/A]
2398 MHz, 3003 MHz, 47, 11.35 W, P0, [N/A]
2398 MHz, 3003 MHz, 47, 11.35 W, P0, [N/A]
2398 MHz, 3003 MHz, 46, 11.37 W, P0, [N/A]
2398 MHz, 3003 MHz, 46, 11.36 W, P0, [N/A]
2398 MHz, 3003 MHz, 46, 11.33 W, P0, [N/A]
2398 MHz, 3003 MHz, 46, 11.34 W, P0, [N/A]
2398 MHz, 3003 MHz, 46, 11.30 W, P0, [N/A]
2398 MHz, 3003 MHz, 46, 11.30 W, P0, [N/A]
2398 MHz, 3003 MHz, 46, 11.29 W, P0, [N/A]
2398 MHz, 3003 MHz, 46, 11.26 W, P0, [N/A]
2398 MHz, 3003 MHz, 47, 16.10 W, P0, [N/A]
2398 MHz, 3003 MHz, 46, 20.76 W, P0, [N/A]
2398 MHz, 3003 MHz, 46, 11.34 W, P0, [N/A]
2398 MHz, 3003 MHz, 51, 46.98 W, P0, [N/A]
2405 MHz, 3003 MHz, 55, 52.77 W, P0, [N/A]
2398 MHz, 3003 MHz, 56, 53.62 W, P0, [N/A]
2405 MHz, 3003 MHz, 52, 54.94 W, P0, [N/A]
2405 MHz, 3003 MHz, 54, 55.47 W, P0, [N/A]
2405 MHz, 3003 MHz, 49, 40.72 W, P0, [N/A]
2405 MHz, 3003 MHz, 58, 55.01 W, P0, [N/A]
2405 MHz, 3003 MHz, 59, 55.12 W, P0, [N/A]
2405 MHz, 3003 MHz, 59, 54.74 W, P0, [N/A]
2405 MHz, 3003 MHz, 56, 54.54 W, P0, [N/A]
2405 MHz, 3003 MHz, 54, 50.55 W, P0, [N/A]
2411 MHz, 3003 MHz, 53, 30.40 W, P0, [N/A]
2411 MHz, 3003 MHz, 51, 29.56 W, P0, [N/A]
2405 MHz, 3003 MHz, 58, 57.00 W, P0, [N/A]
2405 MHz, 3003 MHz, 57, 57.75 W, P0, [N/A]
2405 MHz, 3003 MHz, 61, 57.47 W, P0, [N/A]
2405 MHz, 3003 MHz, 60, 56.17 W, P0, [N/A]
2398 MHz, 3003 MHz, 59, 56.46 W, P0, [N/A]
2405 MHz, 3003 MHz, 58, 56.05 W, P0, [N/A]
2398 MHz, 3003 MHz, 57, 55.91 W, P0, [N/A]
2398 MHz, 3003 MHz, 58, 57.52 W, P0, [N/A]
2398 MHz, 3003 MHz, 63, 55.67 W, P0, [N/A]
2405 MHz, 3003 MHz, 58, 55.64 W, P0, [N/A]
2398 MHz, 3003 MHz, 63, 57.73 W, P0, [N/A]
2398 MHz, 3003 MHz, 57, 42.69 W, P0, [N/A]
2411 MHz, 3003 MHz, 57, 30.74 W, P0, [N/A]
2398 MHz, 3003 MHz, 59, 50.37 W, P0, [N/A]
2398 MHz, 3003 MHz, 61, 57.88 W, P0, [N/A]
