2411 MHz, 3003 MHz, 53, 12.42 W, P0, [N/A]
2398 MHz, 3003 MHz, 52, 12.30 W, P0, [N/A]
2398 MHz, 3003 MHz, 52, 12.26 W, P0, [N/A]
2398 MHz, 3003 MHz, 52, 12.22 W, P0, [N/A]
2398 MHz, 3003 MHz, 52, 12.18 W, P0, [N/A]
2398 MHz, 3003 MHz, 52, 12.02 W, P0, [N/A]
2398 MHz, 3003 MHz, 52, 12.00 W, P0, [N/A]
2398 MHz, 3003 MHz, 51, 12.01 W, P0, [N/A]
2398 MHz, 3003 MHz, 51, 11.93 W, P0, [N/A]
2398 MHz, 3003 MHz, 51, 12.02 W, P0, [N/A]
2398 MHz, 3003 MHz, 51, 11.97 W, P0, [N/A]
2398 MHz, 3003 MHz, 51, 11.98 W, P0, [N/A]
2398 MHz, 3003 MHz, 51, 11.97 W, P0, [N/A]
2398 MHz, 3003 MHz, 51, 11.92 W, P0, [N/A]
2398 MHz, 3003 MHz, 51, 11.96 W, P0, [N/A]
2398 MHz, 3003 MHz, 51, 11.92 W, P0, [N/A]
2398 MHz, 3003 MHz, 51, 11.98 W, P0, [N/A]
2398 MHz, 3003 MHz, 51, 11.96 W, P0, [N/A]
2398 MHz, 3003 MHz, 51, 11.94 W, P0, [N/A]
2398 MHz, 3003 MHz, 51, 11.99 W, P0, [N/A]
2398 MHz, 3003 MHz, 51, 11.93 W, P0, [N/A]
2398 MHz, 3003 MHz, 50, 11.94 W, P0, [N/A]
2398 MHz, 3003 MHz, 50, 11.94 W, P0, [N/A]
2398 MHz, 3003 MHz, 50, 11.90 W, P0, [N/A]
2398 MHz, 3003 MHz, 50, 11.92 W, P0, [N/A]
2398 MHz, 3003 MHz, 50, 11.85 W, P0, [N/A]
2398 MHz, 3003 MHz, 50, 11.94 W, P0, [N/A]
2398 MHz, 3003 MHz, 50, 11.87 W, P0, [N/A]
2398 MHz, 3003 MHz, 50, 11.86 W, P0, [N/A]
2398 MHz, 3003 MHz, 50, 11.84 W, P0, [N/A]
2398 MHz, 3003 MHz, 50, 11.82 W, P0, [N/A]
2398 MHz, 3003 MHz, 50, 11.83 W, P0, [N/A]
2398 MHz, 3003 MHz, 50, 11.79 W, P0, [N/A]
2398 MHz, 3003 MHz, 50, 11.82 W, P0, [N/A]
2398 MHz, 3003 MHz, 50, 11.80 W, P0, [N/A]
2398 MHz, 3003 MHz, 50, 11.77 W, P0, [N/A]
2398 MHz, 3003 MHz, 50, 11.76 W, P0, [N/A]
2398 MHz, 3003 MHz, 50, 11.81 W, P0, [N/A]
2398 MHz, 3003 MHz, 49, 11.77 W, P0, [N/A]
2398 MHz, 3003 MHz, 49, 11.74 W, P0, [N/A]
2398 MHz, 3003 MHz, 50, 11.88 W, P0, [N/A]
2398 MHz, 3003 MHz, 49, 12.03 W, P0, [N/A]
2398 MHz, 3003 MHz, 49, 11.81 W, P0, [N/A]
2398 MHz, 3003 MHz, 49, 11.81 W, P0, [N/A]
2398 MHz, 3003 MHz, 49, 11.73 W, P0, [N/A]
2398 MHz, 3003 MHz, 49, 11.75 W, P0, [N/A]
2398 MHz, 3003 MHz, 49, 11.74 W, P0, [N/A]
2398 MHz, 3003 MHz, 49, 11.78 W, P0, [N/A]
2398 MHz, 3003 MHz, 49, 12.10 W, P0, [N/A]
2398 MHz, 3003 MHz, 49, 11.74 W, P0, [N/A]
2398 MHz, 3003 MHz, 49, 11.81 W, P0, [N/A]
2398 MHz, 3003 MHz, 49, 11.69 W, P0, [N/A]
2398 MHz, 3003 MHz, 49, 11.70 W, P0, [N/A]
2398 MHz, 3003 MHz, 49, 11.68 W, P0, [N/A]
2398 MHz, 3003 MHz, 49, 11.66 W, P0, [N/A]
2398 MHz, 3003 MHz, 49, 11.64 W, P0, [N/A]
2398 MHz, 3003 MHz, 49, 11.87 W, P0, [N/A]
2398 MHz, 3003 MHz, 49, 12.08 W, P0, [N/A]
2398 MHz, 3003 MHz, 49, 11.92 W, P0, [N/A]
2398 MHz, 3003 MHz, 49, 12.43 W, P0, [N/A]
2398 MHz, 3003 MHz, 49, 11.88 W, P0, [N/A]
2398 MHz, 3003 MHz, 49, 12.61 W, P0, [N/A]
2398 MHz, 3003 MHz, 49, 13.06 W, P0, [N/A]
2398 MHz, 3003 MHz, 49, 12.13 W, P0, [N/A]
2398 MHz, 3003 MHz, 48, 11.82 W, P0, [N/A]
2398 MHz, 3003 MHz, 49, 12.19 W, P0, [N/A]
2398 MHz, 3003 MHz, 48, 12.09 W, P0, [N/A]
2398 MHz, 3003 MHz, 48, 12.36 W, P0, [N/A]
2398 MHz, 3003 MHz, 49, 13.35 W, P0, [N/A]
2398 MHz, 3003 MHz, 48, 12.81 W, P0, [N/A]
2398 MHz, 3003 MHz, 49, 18.31 W, P0, [N/A]
2398 MHz, 3003 MHz, 50, 20.93 W, P0, [N/A]
2398 MHz, 3003 MHz, 50, 20.94 W, P0, [N/A]
2398 MHz, 3003 MHz, 49, 17.87 W, P0, [N/A]
2398 MHz, 3003 MHz, 49, 12.18 W, P0, [N/A]
2398 MHz, 3003 MHz, 49, 11.72 W, P0, [N/A]
2398 MHz, 3003 MHz, 49, 13.70 W, P0, [N/A]
2398 MHz, 3003 MHz, 49, 12.02 W, P0, [N/A]
2398 MHz, 3003 MHz, 49, 12.90 W, P0, [N/A]
2398 MHz, 3003 MHz, 49, 13.97 W, P0, [N/A]
2398 MHz, 3003 MHz, 48, 11.71 W, P0, [N/A]
2398 MHz, 3003 MHz, 49, 12.11 W, P0, [N/A]
2398 MHz, 3003 MHz, 48, 13.25 W, P0, [N/A]
2398 MHz, 3003 MHz, 48, 11.64 W, P0, [N/A]
2398 MHz, 3003 MHz, 48, 11.61 W, P0, [N/A]
2398 MHz, 3003 MHz, 48, 11.61 W, P0, [N/A]
2398 MHz, 3003 MHz, 48, 11.66 W, P0, [N/A]
2398 MHz, 3003 MHz, 60, 64.11 W, P0, [N/A]
2385 MHz, 3003 MHz, 61, 96.17 W, P0, [N/A]
2385 MHz, 3003 MHz, 64, 91.59 W, P0, [N/A]
2366 MHz, 3003 MHz, 65, 96.11 W, P0, [N/A]
2385 MHz, 3003 MHz, 65, 91.94 W, P0, [N/A]
2340 MHz, 3003 MHz, 65, 94.22 W, P0, [N/A]
2385 MHz, 3003 MHz, 67, 92.63 W, P0, [N/A]
2353 MHz, 3003 MHz, 67, 92.65 W, P0, [N/A]
2385 MHz, 3003 MHz, 68, 96.53 W, P0, [N/A]
2340 MHz, 3003 MHz, 68, 93.09 W, P0, [N/A]
2379 MHz, 3003 MHz, 69, 96.10 W, P0, [N/A]
2320 MHz, 3003 MHz, 69, 91.69 W, P0, [N/A]
2379 MHz, 3003 MHz, 69, 96.33 W, P0, [N/A]
2340 MHz, 3003 MHz, 70, 92.65 W, P0, [N/A]
2379 MHz, 3003 MHz, 69, 93.27 W, P0, [N/A]
2327 MHz, 3003 MHz, 70, 95.91 W, P0, [N/A]
2353 MHz, 3003 MHz, 69, 92.43 W, P0, [N/A]
2411 MHz, 3003 MHz, 60, 62.22 W, P0, [N/A]
2411 MHz, 3003 MHz, 64, 27.72 W, P0, [N/A]
2405 MHz, 3003 MHz, 61, 39.11 W, P0, [N/A]
2405 MHz, 3003 MHz, 62, 40.16 W, P0, [N/A]
2405 MHz, 3003 MHz, 59, 40.03 W, P0, [N/A]
2411 MHz, 3003 MHz, 57, 36.78 W, P0, [N/A]
2411 MHz, 3003 MHz, 56, 13.59 W, P0, [N/A]
2411 MHz, 3003 MHz, 56, 13.30 W, P0, [N/A]
2411 MHz, 3003 MHz, 55, 12.97 W, P0, [N/A]
2411 MHz, 3003 MHz, 55, 12.74 W, P0, [N/A]
2411 MHz, 3003 MHz, 54, 13.14 W, P0, [N/A]
2411 MHz, 3003 MHz, 54, 12.72 W, P0, [N/A]
2411 MHz, 3003 MHz, 54, 12.74 W, P0, [N/A]
2411 MHz, 3003 MHz, 54, 12.62 W, P0, [N/A]
2411 MHz, 3003 MHz, 54, 12.63 W, P0, [N/A]
2411 MHz, 3003 MHz, 53, 12.59 W, P0, [N/A]
2411 MHz, 3003 MHz, 53, 13.42 W, P0, [N/A]
2398 MHz, 3003 MHz, 53, 12.45 W, P0, [N/A]
2398 MHz, 3003 MHz, 53, 13.55 W, P0, [N/A]
2398 MHz, 3003 MHz, 53, 14.37 W, P0, [N/A]
2398 MHz, 3003 MHz, 53, 13.36 W, P0, [N/A]
2398 MHz, 3003 MHz, 52, 13.70 W, P0, [N/A]
2405 MHz, 3003 MHz, 62, 63.40 W, P0, [N/A]
2398 MHz, 3003 MHz, 60, 65.28 W, P0, [N/A]
2411 MHz, 3003 MHz, 56, 51.76 W, P0, [N/A]
2411 MHz, 3003 MHz, 54, 14.55 W, P0, [N/A]
2411 MHz, 3003 MHz, 54, 12.98 W, P0, [N/A]
2411 MHz, 3003 MHz, 53, 12.78 W, P0, [N/A]
2411 MHz, 3003 MHz, 53, 12.57 W, P0, [N/A]
2411 MHz, 3003 MHz, 53, 12.55 W, P0, [N/A]
2398 MHz, 3003 MHz, 52, 12.27 W, P0, [N/A]
2398 MHz, 3003 MHz, 52, 12.28 W, P0, [N/A]
2398 MHz, 3003 MHz, 52, 12.26 W, P0, [N/A]
2398 MHz, 3003 MHz, 52, 12.13 W, P0, [N/A]
2398 MHz, 3003 MHz, 52, 12.15 W, P0, [N/A]
2398 MHz, 3003 MHz, 52, 12.43 W, P0, [N/A]
2398 MHz, 3003 MHz, 51, 12.27 W, P0, [N/A]
2398 MHz, 3003 MHz, 51, 12.38 W, P0, [N/A]
2398 MHz, 3003 MHz, 51, 12.18 W, P0, [N/A]
2398 MHz, 3003 MHz, 51, 11.97 W, P0, [N/A]
2398 MHz, 3003 MHz, 51, 11.97 W, P0, [N/A]
2398 MHz, 3003 MHz, 51, 11.90 W, P0, [N/A]
2398 MHz, 3003 MHz, 51, 12.04 W, P0, [N/A]
2398 MHz, 3003 MHz, 51, 12.28 W, P0, [N/A]
2398 MHz, 3003 MHz, 50, 12.25 W, P0, [N/A]
2398 MHz, 3003 MHz, 50, 12.26 W, P0, [N/A]
2398 MHz, 3003 MHz, 50, 12.73 W, P0, [N/A]
2398 MHz, 3003 MHz, 52, 23.62 W, P0, [N/A]
2405 MHz, 3003 MHz, 59, 41.70 W, P0, [N/A]
2405 MHz, 3003 MHz, 59, 55.75 W, P0, [N/A]
2405 MHz, 3003 MHz, 60, 52.09 W, P0, [N/A]
2405 MHz, 3003 MHz, 56, 47.74 W, P0, [N/A]
2405 MHz, 3003 MHz, 59, 55.00 W, P0, [N/A]
2405 MHz, 3003 MHz, 58, 54.43 W, P0, [N/A]
2398 MHz, 3003 MHz, 57, 54.32 W, P0, [N/A]
2398 MHz, 3003 MHz, 60, 54.59 W, P0, [N/A]
2398 MHz, 3003 MHz, 58, 53.85 W, P0, [N/A]
2398 MHz, 3003 MHz, 63, 56.12 W, P0, [N/A]
2405 MHz, 3003 MHz, 60, 56.98 W, P0, [N/A]
2405 MHz, 3003 MHz, 56, 30.70 W, P0, [N/A]
2411 MHz, 3003 MHz, 55, 29.10 W, P0, [N/A]
2405 MHz, 3003 MHz, 60, 56.44 W, P0, [N/A]
2398 MHz, 3003 MHz, 60, 56.78 W, P0, [N/A]
2405 MHz, 3003 MHz, 65, 57.72 W, P0, [N/A]
2398 MHz, 3003 MHz, 58, 55.34 W, P0, [N/A]
2405 MHz, 3003 MHz, 61, 54.77 W, P0, [N/A]
2405 MHz, 3003 MHz, 62, 54.92 W, P0, [N/A]
2398 MHz, 3003 MHz, 63, 54.88 W, P0, [N/A]
2398 MHz, 3003 MHz, 64, 59.87 W, P0, [N/A]
2398 MHz, 3003 MHz, 64, 56.42 W, P0, [N/A]
2398 MHz, 3003 MHz, 65, 55.10 W, P0, [N/A]
2398 MHz, 3003 MHz, 63, 57.17 W, P0, [N/A]
2398 MHz, 3003 MHz, 66, 53.08 W, P0, [N/A]
