2398 MHz, 3003 MHz, 49, 11.75 W, P0, [N/A]
2398 MHz, 3003 MHz, 49, 11.71 W, P0, [N/A]
2398 MHz, 3003 MHz, 49, 11.67 W, P0, [N/A]
2398 MHz, 3003 MHz, 49, 11.69 W, P0, [N/A]
2398 MHz, 3003 MHz, 49, 11.69 W, P0, [N/A]
2398 MHz, 3003 MHz, 49, 11.67 W, P0, [N/A]
2398 MHz, 3003 MHz, 49, 11.68 W, P0, [N/A]
2398 MHz, 3003 MHz, 49, 11.70 W, P0, [N/A]
2398 MHz, 3003 MHz, 49, 11.74 W, P0, [N/A]
2398 MHz, 3003 MHz, 49, 11.70 W, P0, [N/A]
2398 MHz, 3003 MHz, 49, 11.71 W, P0, [N/A]
2398 MHz, 3003 MHz, 49, 11.69 W, P0, [N/A]
2398 MHz, 3003 MHz, 49, 11.69 W, P0, [N/A]
2398 MHz, 3003 MHz, 49, 11.68 W, P0, [N/A]
2398 MHz, 3003 MHz, 49, 11.67 W, P0, [N/A]
2398 MHz, 3003 MHz, 49, 11.68 W, P0, [N/A]
2398 MHz, 3003 MHz, 49, 11.70 W, P0, [N/A]
2398 MHz, 3003 MHz, 49, 11.72 W, P0, [N/A]
2398 MHz, 3003 MHz, 49, 11.72 W, P0, [N/A]
2398 MHz, 3003 MHz, 49, 11.77 W, P0, [N/A]
2398 MHz, 3003 MHz, 49, 11.77 W, P0, [N/A]
2398 MHz, 3003 MHz, 49, 11.73 W, P0, [N/A]
2398 MHz, 3003 MHz, 49, 11.74 W, P0, [N/A]
2398 MHz, 3003 MHz, 49, 11.75 W, P0, [N/A]
2398 MHz, 3003 MHz, 49, 11.70 W, P0, [N/A]
2398 MHz, 3003 MHz, 49, 11.73 W, P0, [N/A]
2398 MHz, 3003 MHz, 49, 11.75 W, P0, [N/A]
2398 MHz, 3003 MHz, 49, 11.74 W, P0, [N/A]
2398 MHz, 3003 MHz, 49, 11.70 W, P0, [N/A]
2398 MHz, 3003 MHz, 49, 11.70 W, P0, [N/A]
2398 MHz, 3003 MHz, 49, 11.73 W, P0, [N/A]
2398 MHz, 3003 MHz, 49, 11.68 W, P0, [N/A]
2398 MHz, 3003 MHz, 49, 11.67 W, P0, [N/A]
2398 MHz, 3003 MHz, 49, 11.72 W, P0, [N/A]
2398 MHz, 3003 MHz, 49, 11.64 W, P0, [N/A]
2398 MHz, 3003 MHz, 49, 11.64 W, P0, [N/A]
2398 MHz, 3003 MHz, 49, 11.65 W, P0, [N/A]
2398 MHz, 3003 MHz, 49, 11.69 W, P0, [N/A]
2398 MHz, 3003 MHz, 48, 11.63 W, P0, [N/A]
2398 MHz, 3003 MHz, 48, 11.63 W, P0, [N/A]
2398 MHz, 3003 MHz, 48, 11.71 W, P0, [N/A]
2398 MHz, 3003 MHz, 49, 11.98 W, P0, [N/A]
2398 MHz, 3003 MHz, 48, 11.72 W, P0, [N/A]
2398 MHz, 3003 MHz, 48, 11.66 W, P0, [N/A]
2398 MHz, 3003 MHz, 48, 11.69 W, P0, [N/A]
2398 MHz, 3003 MHz, 48, 11.65 W, P0, [N/A]
2398 MHz, 3003 MHz, 48, 11.66 W, P0, [N/A]
2398 MHz, 3003 MHz, 48, 11.66 W, P0, [N/A]
2398 MHz, 3003 MHz, 48, 11.94 W, P0, [N/A]
2398 MHz, 3003 MHz, 48, 11.78 W, P0, [N/A]
2398 MHz, 3003 MHz, 48, 11.79 W, P0, [N/A]
2398 MHz, 3003 MHz, 48, 11.63 W, P0, [N/A]
2398 MHz, 3003 MHz, 48, 11.65 W, P0, [N/A]
2398 MHz, 3003 MHz, 48, 11.62 W, P0, [N/A]
2398 MHz, 3003 MHz, 48, 11.67 W, P0, [N/A]
2398 MHz, 3003 MHz, 48, 11.64 W, P0, [N/A]
2398 MHz, 3003 MHz, 48, 11.61 W, P0, [N/A]
2398 MHz, 3003 MHz, 48, 11.56 W, P0, [N/A]
2398 MHz, 3003 MHz, 48, 11.74 W, P0, [N/A]
2398 MHz, 3003 MHz, 48, 11.66 W, P0, [N/A]
2398 MHz, 3003 MHz, 48, 11.99 W, P0, [N/A]
2398 MHz, 3003 MHz, 48, 11.91 W, P0, [N/A]
2398 MHz, 3003 MHz, 48, 12.25 W, P0, [N/A]
2398 MHz, 3003 MHz, 48, 11.83 W, P0, [N/A]
