2398 MHz, 3003 MHz, 39, 10.55 W, P0, [N/A]
2398 MHz, 3003 MHz, 39, 10.54 W, P0, [N/A]
2398 MHz, 3003 MHz, 39, 10.54 W, P0, [N/A]
2398 MHz, 3003 MHz, 39, 10.52 W, P0, [N/A]
2398 MHz, 3003 MHz, 39, 10.53 W, P0, [N/A]
2398 MHz, 3003 MHz, 39, 10.54 W, P0, [N/A]
2398 MHz, 3003 MHz, 39, 10.59 W, P0, [N/A]
2398 MHz, 3003 MHz, 39, 10.60 W, P0, [N/A]
2398 MHz, 3003 MHz, 40, 10.60 W, P0, [N/A]
2398 MHz, 3003 MHz, 40, 10.61 W, P0, [N/A]
2398 MHz, 3003 MHz, 40, 10.56 W, P0, [N/A]
2398 MHz, 3003 MHz, 40, 10.58 W, P0, [N/A]
2398 MHz, 3003 MHz, 40, 10.60 W, P0, [N/A]
2398 MHz, 3003 MHz, 40, 10.60 W, P0, [N/A]
2398 MHz, 3003 MHz, 40, 10.59 W, P0, [N/A]
2398 MHz, 3003 MHz, 40, 10.66 W, P0, [N/A]
2398 MHz, 3003 MHz, 40, 10.60 W, P0, [N/A]
2398 MHz, 3003 MHz, 40, 10.69 W, P0, [N/A]
2398 MHz, 3003 MHz, 40, 10.65 W, P0, [N/A]
2398 MHz, 3003 MHz, 40, 10.70 W, P0, [N/A]
2398 MHz, 3003 MHz, 40, 10.67 W, P0, [N/A]
2398 MHz, 3003 MHz, 40, 10.69 W, P0, [N/A]
2398 MHz, 3003 MHz, 40, 10.68 W, P0, [N/A]
2398 MHz, 3003 MHz, 40, 10.66 W, P0, [N/A]
2398 MHz, 3003 MHz, 40, 10.61 W, P0, [N/A]
2398 MHz, 3003 MHz, 40, 10.68 W, P0, [N/A]
2398 MHz, 3003 MHz, 40, 10.73 W, P0, [N/A]
2398 MHz, 3003 MHz, 41, 10.71 W, P0, [N/A]
2398 MHz, 3003 MHz, 41, 10.63 W, P0, [N/A]
2398 MHz, 3003 MHz, 41, 10.64 W, P0, [N/A]
2398 MHz, 3003 MHz, 41, 10.63 W, P0, [N/A]
2398 MHz, 3003 MHz, 41, 10.67 W, P0, [N/A]
2398 MHz, 3003 MHz, 41, 10.65 W, P0, [N/A]
2398 MHz, 3003 MHz, 41, 10.70 W, P0, [N/A]
2398 MHz, 3003 MHz, 41, 10.71 W, P0, [N/A]
2398 MHz, 3003 MHz, 41, 10.67 W, P0, [N/A]
2398 MHz, 3003 MHz, 41, 10.68 W, P0, [N/A]
2398 MHz, 3003 MHz, 41, 10.69 W, P0, [N/A]
2398 MHz, 3003 MHz, 41, 10.67 W, P0, [N/A]
2398 MHz, 3003 MHz, 41, 10.61 W, P0, [N/A]
2398 MHz, 3003 MHz, 41, 10.77 W, P0, [N/A]
2398 MHz, 3003 MHz, 41, 11.03 W, P0, [N/A]
2398 MHz, 3003 MHz, 41, 10.77 W, P0, [N/A]
2398 MHz, 3003 MHz, 41, 10.78 W, P0, [N/A]
2398 MHz, 3003 MHz, 41, 10.72 W, P0, [N/A]
2398 MHz, 3003 MHz, 41, 10.74 W, P0, [N/A]
2398 MHz, 3003 MHz, 41, 10.73 W, P0, [N/A]
2398 MHz, 3003 MHz, 41, 10.98 W, P0, [N/A]
2398 MHz, 3003 MHz, 41, 10.90 W, P0, [N/A]
2398 MHz, 3003 MHz, 41, 10.82 W, P0, [N/A]
2398 MHz, 3003 MHz, 41, 10.74 W, P0, [N/A]
2398 MHz, 3003 MHz, 41, 10.73 W, P0, [N/A]
2398 MHz, 3003 MHz, 41, 10.69 W, P0, [N/A]
2398 MHz, 3003 MHz, 41, 10.69 W, P0, [N/A]
2398 MHz, 3003 MHz, 41, 10.75 W, P0, [N/A]
2398 MHz, 3003 MHz, 41, 10.74 W, P0, [N/A]
2398 MHz, 3003 MHz, 41, 10.76 W, P0, [N/A]
2398 MHz, 3003 MHz, 41, 10.73 W, P0, [N/A]
2398 MHz, 3003 MHz, 41, 10.91 W, P0, [N/A]
2398 MHz, 3003 MHz, 42, 11.12 W, P0, [N/A]
2398 MHz, 3003 MHz, 42, 10.99 W, P0, [N/A]
2398 MHz, 3003 MHz, 42, 11.25 W, P0, [N/A]
2398 MHz, 3003 MHz, 42, 11.04 W, P0, [N/A]
2398 MHz, 3003 MHz, 42, 11.59 W, P0, [N/A]
2398 MHz, 3003 MHz, 42, 11.99 W, P0, [N/A]
2398 MHz, 3003 MHz, 42, 11.40 W, P0, [N/A]
2398 MHz, 3003 MHz, 42, 10.78 W, P0, [N/A]
2398 MHz, 3003 MHz, 42, 11.20 W, P0, [N/A]
2398 MHz, 3003 MHz, 42, 11.14 W, P0, [N/A]
2398 MHz, 3003 MHz, 42, 11.32 W, P0, [N/A]
2398 MHz, 3003 MHz, 42, 11.90 W, P0, [N/A]
2398 MHz, 3003 MHz, 42, 12.02 W, P0, [N/A]
2398 MHz, 3003 MHz, 42, 14.41 W, P0, [N/A]
2398 MHz, 3003 MHz, 43, 19.90 W, P0, [N/A]
2398 MHz, 3003 MHz, 43, 19.83 W, P0, [N/A]
2398 MHz, 3003 MHz, 44, 19.86 W, P0, [N/A]
2398 MHz, 3003 MHz, 42, 10.94 W, P0, [N/A]
2398 MHz, 3003 MHz, 42, 11.19 W, P0, [N/A]
2398 MHz, 3003 MHz, 42, 11.66 W, P0, [N/A]
2398 MHz, 3003 MHz, 43, 11.93 W, P0, [N/A]
2398 MHz, 3003 MHz, 43, 12.96 W, P0, [N/A]
2398 MHz, 3003 MHz, 43, 12.46 W, P0, [N/A]
2398 MHz, 3003 MHz, 43, 11.55 W, P0, [N/A]
2398 MHz, 3003 MHz, 42, 10.85 W, P0, [N/A]
2398 MHz, 3003 MHz, 42, 12.81 W, P0, [N/A]
2398 MHz, 3003 MHz, 42, 10.90 W, P0, [N/A]
2398 MHz, 3003 MHz, 42, 10.84 W, P0, [N/A]
2398 MHz, 3003 MHz, 42, 10.84 W, P0, [N/A]
2398 MHz, 3003 MHz, 42, 10.85 W, P0, [N/A]
2398 MHz, 3003 MHz, 52, 30.17 W, P0, [N/A]
2398 MHz, 3003 MHz, 57, 90.39 W, P0, [N/A]
2398 MHz, 3003 MHz, 54, 78.10 W, P0, [N/A]
2392 MHz, 3003 MHz, 54, 70.65 W, P0, [N/A]
