2398 MHz, 3003 MHz, 41, 10.76 W, P0, [N/A]
2398 MHz, 3003 MHz, 41, 10.77 W, P0, [N/A]
2398 MHz, 3003 MHz, 41, 10.75 W, P0, [N/A]
2398 MHz, 3003 MHz, 41, 10.77 W, P0, [N/A]
2398 MHz, 3003 MHz, 41, 10.77 W, P0, [N/A]
2398 MHz, 3003 MHz, 41, 10.76 W, P0, [N/A]
2398 MHz, 3003 MHz, 41, 10.77 W, P0, [N/A]
2398 MHz, 3003 MHz, 41, 10.89 W, P0, [N/A]
2398 MHz, 3003 MHz, 41, 11.13 W, P0, [N/A]
2398 MHz, 3003 MHz, 41, 10.80 W, P0, [N/A]
2398 MHz, 3003 MHz, 41, 10.84 W, P0, [N/A]
2398 MHz, 3003 MHz, 41, 10.78 W, P0, [N/A]
2398 MHz, 3003 MHz, 41, 10.81 W, P0, [N/A]
2398 MHz, 3003 MHz, 41, 10.78 W, P0, [N/A]
2398 MHz, 3003 MHz, 41, 10.80 W, P0, [N/A]
2398 MHz, 3003 MHz, 42, 11.15 W, P0, [N/A]
2398 MHz, 3003 MHz, 41, 10.82 W, P0, [N/A]
2398 MHz, 3003 MHz, 42, 10.92 W, P0, [N/A]
2398 MHz, 3003 MHz, 42, 10.80 W, P0, [N/A]
2398 MHz, 3003 MHz, 42, 10.78 W, P0, [N/A]
2398 MHz, 3003 MHz, 42, 10.76 W, P0, [N/A]
2398 MHz, 3003 MHz, 42, 10.78 W, P0, [N/A]
2398 MHz, 3003 MHz, 42, 10.76 W, P0, [N/A]
2398 MHz, 3003 MHz, 42, 10.78 W, P0, [N/A]
2398 MHz, 3003 MHz, 42, 10.96 W, P0, [N/A]
2398 MHz, 3003 MHz, 42, 11.21 W, P0, [N/A]
2398 MHz, 3003 MHz, 42, 10.81 W, P0, [N/A]
2398 MHz, 3003 MHz, 42, 11.28 W, P0, [N/A]
2398 MHz, 3003 MHz, 42, 11.22 W, P0, [N/A]
2398 MHz, 3003 MHz, 42, 11.58 W, P0, [N/A]
2398 MHz, 3003 MHz, 42, 11.68 W, P0, [N/A]
2398 MHz, 3003 MHz, 42, 12.18 W, P0, [N/A]
2398 MHz, 3003 MHz, 42, 10.83 W, P0, [N/A]
2398 MHz, 3003 MHz, 42, 10.98 W, P0, [N/A]
2398 MHz, 3003 MHz, 42, 11.32 W, P0, [N/A]
2398 MHz, 3003 MHz, 42, 11.22 W, P0, [N/A]
2398 MHz, 3003 MHz, 42, 11.50 W, P0, [N/A]
2398 MHz, 3003 MHz, 42, 12.55 W, P0, [N/A]
2398 MHz, 3003 MHz, 42, 11.88 W, P0, [N/A]
2398 MHz, 3003 MHz, 44, 17.95 W, P0, [N/A]
2398 MHz, 3003 MHz, 44, 20.07 W, P0, [N/A]
2398 MHz, 3003 MHz, 44, 19.97 W, P0, [N/A]
2398 MHz, 3003 MHz, 43, 16.10 W, P0, [N/A]
2398 MHz, 3003 MHz, 43, 11.30 W, P0, [N/A]
2398 MHz, 3003 MHz, 43, 10.90 W, P0, [N/A]
2398 MHz, 3003 MHz, 43, 11.92 W, P0, [N/A]
2398 MHz, 3003 MHz, 43, 12.17 W, P0, [N/A]
2398 MHz, 3003 MHz, 43, 12.88 W, P0, [N/A]
2398 MHz, 3003 MHz, 44, 12.20 W, P0, [N/A]
2398 MHz, 3003 MHz, 43, 10.95 W, P0, [N/A]
2398 MHz, 3003 MHz, 43, 11.39 W, P0, [N/A]
2398 MHz, 3003 MHz, 43, 12.25 W, P0, [N/A]
2398 MHz, 3003 MHz, 43, 10.85 W, P0, [N/A]
2398 MHz, 3003 MHz, 43, 10.96 W, P0, [N/A]
2398 MHz, 3003 MHz, 43, 10.97 W, P0, [N/A]
2398 MHz, 3003 MHz, 43, 10.91 W, P0, [N/A]
2392 MHz, 3003 MHz, 57, 89.11 W, P0, [N/A]
2398 MHz, 3003 MHz, 55, 84.52 W, P0, [N/A]
2398 MHz, 3003 MHz, 50, 68.27 W, P0, [N/A]
2398 MHz, 3003 MHz, 55, 74.97 W, P0, [N/A]
2398 MHz, 3003 MHz, 57, 76.76 W, P0, [N/A]
2398 MHz, 3003 MHz, 57, 79.66 W, P0, [N/A]
2392 MHz, 3003 MHz, 61, 89.34 W, P0, [N/A]
2385 MHz, 3003 MHz, 62, 92.49 W, P0, [N/A]
2372 MHz, 3003 MHz, 59, 95.51 W, P0, [N/A]
2379 MHz, 3003 MHz, 62, 90.92 W, P0, [N/A]
2372 MHz, 3003 MHz, 64, 96.23 W, P0, [N/A]
2372 MHz, 3003 MHz, 64, 92.61 W, P0, [N/A]
2372 MHz, 3003 MHz, 65, 93.85 W, P0, [N/A]
2372 MHz, 3003 MHz, 65, 95.31 W, P0, [N/A]
2353 MHz, 3003 MHz, 65, 91.51 W, P0, [N/A]
2372 MHz, 3003 MHz, 66, 96.72 W, P0, [N/A]
2353 MHz, 3003 MHz, 66, 92.76 W, P0, [N/A]
2372 MHz, 3003 MHz, 67, 96.65 W, P0, [N/A]
2411 MHz, 3003 MHz, 55, 24.75 W, P0, [N/A]
2411 MHz, 3003 MHz, 55, 20.00 W, P0, [N/A]
2411 MHz, 3003 MHz, 52, 15.99 W, P0, [N/A]
2411 MHz, 3003 MHz, 53, 24.38 W, P0, [N/A]
2398 MHz, 3003 MHz, 53, 24.30 W, P0, [N/A]
2405 MHz, 3003 MHz, 53, 22.08 W, P0, [N/A]
2398 MHz, 3003 MHz, 53, 22.69 W, P0, [N/A]
2405 MHz, 3003 MHz, 51, 14.79 W, P0, [N/A]
2398 MHz, 3003 MHz, 51, 11.86 W, P0, [N/A]
2398 MHz, 3003 MHz, 52, 15.86 W, P0, [N/A]
2405 MHz, 3003 MHz, 54, 33.93 W, P0, [N/A]
2411 MHz, 3003 MHz, 56, 38.64 W, P0, [N/A]
2411 MHz, 3003 MHz, 54, 39.15 W, P0, [N/A]
2411 MHz, 3003 MHz, 54, 38.95 W, P0, [N/A]
2398 MHz, 3003 MHz, 51, 16.08 W, P0, [N/A]
2398 MHz, 3003 MHz, 53, 22.29 W, P0, [N/A]
2405 MHz, 3003 MHz, 53, 24.69 W, P0, [N/A]
2411 MHz, 3003 MHz, 51, 22.57 W, P0, [N/A]
