2398 MHz, 3003 MHz, 41, 10.79 W, P0, [N/A]
2398 MHz, 3003 MHz, 41, 10.80 W, P0, [N/A]
2398 MHz, 3003 MHz, 41, 10.79 W, P0, [N/A]
2398 MHz, 3003 MHz, 41, 10.68 W, P0, [N/A]
2398 MHz, 3003 MHz, 41, 10.70 W, P0, [N/A]
2398 MHz, 3003 MHz, 41, 10.77 W, P0, [N/A]
2398 MHz, 3003 MHz, 41, 10.75 W, P0, [N/A]
2398 MHz, 3003 MHz, 41, 10.68 W, P0, [N/A]
2398 MHz, 3003 MHz, 41, 10.68 W, P0, [N/A]
2398 MHz, 3003 MHz, 41, 10.67 W, P0, [N/A]
2398 MHz, 3003 MHz, 41, 10.73 W, P0, [N/A]
2398 MHz, 3003 MHz, 41, 10.69 W, P0, [N/A]
2398 MHz, 3003 MHz, 41, 10.70 W, P0, [N/A]
2398 MHz, 3003 MHz, 41, 10.72 W, P0, [N/A]
2398 MHz, 3003 MHz, 41, 10.68 W, P0, [N/A]
2398 MHz, 3003 MHz, 41, 10.68 W, P0, [N/A]
2398 MHz, 3003 MHz, 41, 10.71 W, P0, [N/A]
2398 MHz, 3003 MHz, 41, 10.69 W, P0, [N/A]
2398 MHz, 3003 MHz, 41, 10.73 W, P0, [N/A]
2398 MHz, 3003 MHz, 41, 10.74 W, P0, [N/A]
2398 MHz, 3003 MHz, 41, 10.81 W, P0, [N/A]
2398 MHz, 3003 MHz, 42, 11.07 W, P0, [N/A]
2398 MHz, 3003 MHz, 42, 10.76 W, P0, [N/A]
2398 MHz, 3003 MHz, 42, 10.74 W, P0, [N/A]
2398 MHz, 3003 MHz, 42, 10.78 W, P0, [N/A]
2398 MHz, 3003 MHz, 42, 10.75 W, P0, [N/A]
2398 MHz, 3003 MHz, 42, 10.73 W, P0, [N/A]
2398 MHz, 3003 MHz, 42, 10.79 W, P0, [N/A]
2398 MHz, 3003 MHz, 42, 11.11 W, P0, [N/A]
2398 MHz, 3003 MHz, 42, 10.77 W, P0, [N/A]
2398 MHz, 3003 MHz, 42, 10.86 W, P0, [N/A]
2398 MHz, 3003 MHz, 42, 10.74 W, P0, [N/A]
2398 MHz, 3003 MHz, 42, 10.74 W, P0, [N/A]
2398 MHz, 3003 MHz, 42, 10.77 W, P0, [N/A]
2398 MHz, 3003 MHz, 42, 10.73 W, P0, [N/A]
2398 MHz, 3003 MHz, 42, 10.74 W, P0, [N/A]
2398 MHz, 3003 MHz, 42, 10.92 W, P0, [N/A]
2398 MHz, 3003 MHz, 42, 11.19 W, P0, [N/A]
2398 MHz, 3003 MHz, 42, 10.84 W, P0, [N/A]
2398 MHz, 3003 MHz, 42, 11.35 W, P0, [N/A]
2398 MHz, 3003 MHz, 42, 11.27 W, P0, [N/A]
2398 MHz, 3003 MHz, 42, 11.62 W, P0, [N/A]
2398 MHz, 3003 MHz, 42, 11.93 W, P0, [N/A]
2398 MHz, 3003 MHz, 42, 11.71 W, P0, [N/A]
2398 MHz, 3003 MHz, 42, 10.83 W, P0, [N/A]
2398 MHz, 3003 MHz, 42, 11.34 W, P0, [N/A]
2398 MHz, 3003 MHz, 42, 11.23 W, P0, [N/A]
2398 MHz, 3003 MHz, 42, 11.38 W, P0, [N/A]
2398 MHz, 3003 MHz, 42, 12.07 W, P0, [N/A]
2398 MHz, 3003 MHz, 42, 11.92 W, P0, [N/A]
2398 MHz, 3003 MHz, 43, 14.86 W, P0, [N/A]
2398 MHz, 3003 MHz, 44, 20.17 W, P0, [N/A]
2398 MHz, 3003 MHz, 44, 20.22 W, P0, [N/A]
2398 MHz, 3003 MHz, 44, 19.98 W, P0, [N/A]
2398 MHz, 3003 MHz, 43, 11.00 W, P0, [N/A]
2398 MHz, 3003 MHz, 43, 11.23 W, P0, [N/A]
2398 MHz, 3003 MHz, 43, 12.02 W, P0, [N/A]
2398 MHz, 3003 MHz, 43, 11.45 W, P0, [N/A]
2398 MHz, 3003 MHz, 43, 12.74 W, P0, [N/A]
2398 MHz, 3003 MHz, 44, 12.65 W, P0, [N/A]
2398 MHz, 3003 MHz, 43, 10.91 W, P0, [N/A]
2398 MHz, 3003 MHz, 43, 11.25 W, P0, [N/A]
2398 MHz, 3003 MHz, 43, 12.37 W, P0, [N/A]
