2398 MHz, 3003 MHz, 42, 11.17 W, P0, [N/A]
2398 MHz, 3003 MHz, 42, 10.73 W, P0, [N/A]
2398 MHz, 3003 MHz, 42, 11.26 W, P0, [N/A]
2398 MHz, 3003 MHz, 42, 11.08 W, P0, [N/A]
2398 MHz, 3003 MHz, 42, 11.52 W, P0, [N/A]
2398 MHz, 3003 MHz, 42, 11.69 W, P0, [N/A]
2398 MHz, 3003 MHz, 42, 11.93 W, P0, [N/A]
2398 MHz, 3003 MHz, 42, 10.72 W, P0, [N/A]
2398 MHz, 3003 MHz, 42, 11.27 W, P0, [N/A]
2398 MHz, 3003 MHz, 42, 11.19 W, P0, [N/A]
2398 MHz, 3003 MHz, 42, 11.26 W, P0, [N/A]
2398 MHz, 3003 MHz, 42, 11.83 W, P0, [N/A]
2398 MHz, 3003 MHz, 43, 12.20 W, P0, [N/A]
2398 MHz, 3003 MHz, 43, 13.46 W, P0, [N/A]
2398 MHz, 3003 MHz, 44, 20.03 W, P0, [N/A]
2398 MHz, 3003 MHz, 44, 20.02 W, P0, [N/A]
2398 MHz, 3003 MHz, 44, 20.07 W, P0, [N/A]
2398 MHz, 3003 MHz, 43, 11.78 W, P0, [N/A]
2398 MHz, 3003 MHz, 43, 11.25 W, P0, [N/A]
2398 MHz, 3003 MHz, 43, 11.29 W, P0, [N/A]
2398 MHz, 3003 MHz, 43, 12.58 W, P0, [N/A]
2398 MHz, 3003 MHz, 43, 12.09 W, P0, [N/A]
2398 MHz, 3003 MHz, 43, 13.02 W, P0, [N/A]
2398 MHz, 3003 MHz, 43, 11.82 W, P0, [N/A]
2398 MHz, 3003 MHz, 43, 12.30 W, P0, [N/A]
2398 MHz, 3003 MHz, 43, 10.91 W, P0, [N/A]
2398 MHz, 3003 MHz, 43, 10.90 W, P0, [N/A]
2398 MHz, 3003 MHz, 43, 12.08 W, P0, [N/A]
2398 MHz, 3003 MHz, 43, 15.43 W, P0, [N/A]
2398 MHz, 3003 MHz, 43, 10.93 W, P0, [N/A]
2398 MHz, 3003 MHz, 43, 10.88 W, P0, [N/A]
2398 MHz, 3003 MHz, 43, 10.85 W, P0, [N/A]
2398 MHz, 3003 MHz, 43, 10.86 W, P0, [N/A]
2398 MHz, 3003 MHz, 54, 54.45 W, P0, [N/A]
2398 MHz, 3003 MHz, 58, 98.20 W, P0, [N/A]
2398 MHz, 3003 MHz, 58, 86.68 W, P0, [N/A]
2398 MHz, 3003 MHz, 59, 96.97 W, P0, [N/A]
2398 MHz, 3003 MHz, 60, 89.63 W, P0, [N/A]
2385 MHz, 3003 MHz, 60, 91.80 W, P0, [N/A]
2372 MHz, 3003 MHz, 62, 95.48 W, P0, [N/A]
2366 MHz, 3003 MHz, 61, 87.60 W, P0, [N/A]
2379 MHz, 3003 MHz, 63, 99.83 W, P0, [N/A]
2372 MHz, 3003 MHz, 55, 88.21 W, P0, [N/A]
2366 MHz, 3003 MHz, 64, 99.34 W, P0, [N/A]
2366 MHz, 3003 MHz, 62, 88.13 W, P0, [N/A]
2366 MHz, 3003 MHz, 65, 99.59 W, P0, [N/A]
2366 MHz, 3003 MHz, 57, 88.95 W, P0, [N/A]
2353 MHz, 3003 MHz, 66, 99.41 W, P0, [N/A]
2366 MHz, 3003 MHz, 63, 89.07 W, P0, [N/A]
2359 MHz, 3003 MHz, 66, 99.63 W, P0, [N/A]
2372 MHz, 3003 MHz, 65, 88.66 W, P0, [N/A]
2366 MHz, 3003 MHz, 67, 99.69 W, P0, [N/A]
2359 MHz, 3003 MHz, 67, 88.95 W, P0, [N/A]
2346 MHz, 3003 MHz, 68, 97.18 W, P0, [N/A]
2353 MHz, 3003 MHz, 69, 93.04 W, P0, [N/A]
2353 MHz, 3003 MHz, 69, 92.41 W, P0, [N/A]
2353 MHz, 3003 MHz, 69, 96.06 W, P0, [N/A]
2346 MHz, 3003 MHz, 69, 88.48 W, P0, [N/A]
2340 MHz, 3003 MHz, 70, 99.76 W, P0, [N/A]
2340 MHz, 3003 MHz, 65, 88.39 W, P0, [N/A]
2327 MHz, 3003 MHz, 70, 99.36 W, P0, [N/A]
2333 MHz, 3003 MHz, 67, 89.30 W, P0, [N/A]
2333 MHz, 3003 MHz, 71, 98.57 W, P0, [N/A]
2327 MHz, 3003 MHz, 70, 89.46 W, P0, [N/A]
2327 MHz, 3003 MHz, 71, 99.10 W, P0, [N/A]
2385 MHz, 3003 MHz, 72, 89.92 W, P0, [N/A]
2333 MHz, 3003 MHz, 72, 98.51 W, P0, [N/A]
2379 MHz, 3003 MHz, 72, 89.71 W, P0, [N/A]
2327 MHz, 3003 MHz, 72, 98.90 W, P0, [N/A]
2379 MHz, 3003 MHz, 72, 89.25 W, P0, [N/A]
2314 MHz, 3003 MHz, 73, 98.04 W, P0, [N/A]
2372 MHz, 3003 MHz, 73, 89.16 W, P0, [N/A]
2314 MHz, 3003 MHz, 73, 96.38 W, P0, [N/A]
2320 MHz, 3003 MHz, 73, 91.06 W, P0, [N/A]
2320 MHz, 3003 MHz, 73, 94.50 W, P0, [N/A]
2327 MHz, 3003 MHz, 74, 93.12 W, P0, [N/A]
2320 MHz, 3003 MHz, 74, 90.63 W, P0, [N/A]
2320 MHz, 3003 MHz, 73, 98.68 W, P0, [N/A]
2385 MHz, 3003 MHz, 71, 88.12 W, P0, [N/A]
2320 MHz, 3003 MHz, 74, 99.19 W, P0, [N/A]
2392 MHz, 3003 MHz, 73, 89.36 W, P0, [N/A]
2314 MHz, 3003 MHz, 74, 98.06 W, P0, [N/A]
2392 MHz, 3003 MHz, 73, 88.46 W, P0, [N/A]
2314 MHz, 3003 MHz, 74, 98.03 W, P0, [N/A]
2392 MHz, 3003 MHz, 65, 66.01 W, P0, [N/A]
2411 MHz, 3003 MHz, 61, 22.14 W, P0, [N/A]
2398 MHz, 3003 MHz, 61, 37.28 W, P0, [N/A]
