2398 MHz, 3003 MHz, 53, 12.37 W, P0, [N/A]
2398 MHz, 3003 MHz, 53, 12.37 W, P0, [N/A]
2398 MHz, 3003 MHz, 52, 12.27 W, P0, [N/A]
2398 MHz, 3003 MHz, 52, 12.32 W, P0, [N/A]
2398 MHz, 3003 MHz, 52, 12.32 W, P0, [N/A]
2398 MHz, 3003 MHz, 52, 12.32 W, P0, [N/A]
2398 MHz, 3003 MHz, 52, 12.31 W, P0, [N/A]
2398 MHz, 3003 MHz, 52, 12.25 W, P0, [N/A]
2398 MHz, 3003 MHz, 52, 12.25 W, P0, [N/A]
2398 MHz, 3003 MHz, 52, 12.25 W, P0, [N/A]
2398 MHz, 3003 MHz, 52, 12.25 W, P0, [N/A]
2398 MHz, 3003 MHz, 52, 12.20 W, P0, [N/A]
2398 MHz, 3003 MHz, 52, 12.26 W, P0, [N/A]
2398 MHz, 3003 MHz, 52, 12.22 W, P0, [N/A]
2398 MHz, 3003 MHz, 52, 12.20 W, P0, [N/A]
2398 MHz, 3003 MHz, 51, 12.20 W, P0, [N/A]
2398 MHz, 3003 MHz, 51, 12.19 W, P0, [N/A]
2398 MHz, 3003 MHz, 51, 12.04 W, P0, [N/A]
2398 MHz, 3003 MHz, 51, 12.03 W, P0, [N/A]
2398 MHz, 3003 MHz, 51, 12.00 W, P0, [N/A]
2398 MHz, 3003 MHz, 51, 11.89 W, P0, [N/A]
2398 MHz, 3003 MHz, 51, 11.88 W, P0, [N/A]
2398 MHz, 3003 MHz, 51, 11.89 W, P0, [N/A]
2398 MHz, 3003 MHz, 51, 11.90 W, P0, [N/A]
2398 MHz, 3003 MHz, 50, 11.90 W, P0, [N/A]
2398 MHz, 3003 MHz, 50, 11.89 W, P0, [N/A]
2398 MHz, 3003 MHz, 50, 11.88 W, P0, [N/A]
2398 MHz, 3003 MHz, 50, 11.97 W, P0, [N/A]
2398 MHz, 3003 MHz, 50, 12.17 W, P0, [N/A]
2398 MHz, 3003 MHz, 50, 11.88 W, P0, [N/A]
2398 MHz, 3003 MHz, 50, 11.90 W, P0, [N/A]
2398 MHz, 3003 MHz, 50, 11.85 W, P0, [N/A]
2398 MHz, 3003 MHz, 50, 11.80 W, P0, [N/A]
2398 MHz, 3003 MHz, 50, 11.77 W, P0, [N/A]
2398 MHz, 3003 MHz, 50, 11.77 W, P0, [N/A]
2398 MHz, 3003 MHz, 50, 12.19 W, P0, [N/A]
2398 MHz, 3003 MHz, 50, 11.81 W, P0, [N/A]
2398 MHz, 3003 MHz, 50, 11.87 W, P0, [N/A]
2398 MHz, 3003 MHz, 49, 11.75 W, P0, [N/A]
2398 MHz, 3003 MHz, 49, 11.74 W, P0, [N/A]
2398 MHz, 3003 MHz, 49, 11.71 W, P0, [N/A]
2398 MHz, 3003 MHz, 49, 11.74 W, P0, [N/A]
2398 MHz, 3003 MHz, 49, 11.78 W, P0, [N/A]
2398 MHz, 3003 MHz, 49, 11.80 W, P0, [N/A]
2398 MHz, 3003 MHz, 49, 11.91 W, P0, [N/A]
2398 MHz, 3003 MHz, 49, 12.13 W, P0, [N/A]
2398 MHz, 3003 MHz, 49, 11.80 W, P0, [N/A]
2398 MHz, 3003 MHz, 49, 12.12 W, P0, [N/A]
2398 MHz, 3003 MHz, 49, 12.43 W, P0, [N/A]
2398 MHz, 3003 MHz, 49, 11.92 W, P0, [N/A]
2398 MHz, 3003 MHz, 49, 12.74 W, P0, [N/A]
2398 MHz, 3003 MHz, 49, 13.36 W, P0, [N/A]
2398 MHz, 3003 MHz, 49, 11.74 W, P0, [N/A]
