2398 MHz, 3003 MHz, 52, 12.24 W, P0, [N/A]
2398 MHz, 3003 MHz, 52, 12.22 W, P0, [N/A]
2398 MHz, 3003 MHz, 52, 12.26 W, P0, [N/A]
2398 MHz, 3003 MHz, 52, 12.26 W, P0, [N/A]
2398 MHz, 3003 MHz, 52, 12.22 W, P0, [N/A]
2398 MHz, 3003 MHz, 52, 12.23 W, P0, [N/A]
2398 MHz, 3003 MHz, 52, 12.22 W, P0, [N/A]
2398 MHz, 3003 MHz, 52, 12.09 W, P0, [N/A]
2398 MHz, 3003 MHz, 52, 11.99 W, P0, [N/A]
2398 MHz, 3003 MHz, 52, 11.99 W, P0, [N/A]
2398 MHz, 3003 MHz, 52, 12.06 W, P0, [N/A]
2398 MHz, 3003 MHz, 51, 11.96 W, P0, [N/A]
2398 MHz, 3003 MHz, 51, 11.94 W, P0, [N/A]
2398 MHz, 3003 MHz, 51, 11.94 W, P0, [N/A]
2398 MHz, 3003 MHz, 51, 11.91 W, P0, [N/A]
2398 MHz, 3003 MHz, 51, 11.92 W, P0, [N/A]
2398 MHz, 3003 MHz, 51, 11.93 W, P0, [N/A]
2398 MHz, 3003 MHz, 51, 11.92 W, P0, [N/A]
2398 MHz, 3003 MHz, 51, 11.92 W, P0, [N/A]
2398 MHz, 3003 MHz, 51, 11.90 W, P0, [N/A]
2398 MHz, 3003 MHz, 50, 11.83 W, P0, [N/A]
2398 MHz, 3003 MHz, 50, 11.88 W, P0, [N/A]
2398 MHz, 3003 MHz, 50, 11.83 W, P0, [N/A]
2398 MHz, 3003 MHz, 50, 11.88 W, P0, [N/A]
2398 MHz, 3003 MHz, 50, 11.84 W, P0, [N/A]
2398 MHz, 3003 MHz, 50, 11.94 W, P0, [N/A]
2398 MHz, 3003 MHz, 50, 12.14 W, P0, [N/A]
2398 MHz, 3003 MHz, 50, 11.89 W, P0, [N/A]
2398 MHz, 3003 MHz, 50, 11.87 W, P0, [N/A]
2398 MHz, 3003 MHz, 50, 11.78 W, P0, [N/A]
2398 MHz, 3003 MHz, 50, 11.83 W, P0, [N/A]
2398 MHz, 3003 MHz, 50, 11.79 W, P0, [N/A]
2398 MHz, 3003 MHz, 49, 11.82 W, P0, [N/A]
2398 MHz, 3003 MHz, 50, 12.13 W, P0, [N/A]
2398 MHz, 3003 MHz, 49, 11.73 W, P0, [N/A]
2398 MHz, 3003 MHz, 49, 11.82 W, P0, [N/A]
2398 MHz, 3003 MHz, 49, 11.71 W, P0, [N/A]
2398 MHz, 3003 MHz, 49, 11.70 W, P0, [N/A]
2398 MHz, 3003 MHz, 49, 11.71 W, P0, [N/A]
2398 MHz, 3003 MHz, 49, 11.72 W, P0, [N/A]
2398 MHz, 3003 MHz, 49, 11.87 W, P0, [N/A]
2398 MHz, 3003 MHz, 49, 12.09 W, P0, [N/A]
2398 MHz, 3003 MHz, 49, 11.85 W, P0, [N/A]
2398 MHz, 3003 MHz, 49, 12.44 W, P0, [N/A]
2398 MHz, 3003 MHz, 49, 11.90 W, P0, [N/A]
2398 MHz, 3003 MHz, 49, 12.55 W, P0, [N/A]
2398 MHz, 3003 MHz, 49, 12.91 W, P0, [N/A]
2398 MHz, 3003 MHz, 49, 12.41 W, P0, [N/A]
2398 MHz, 3003 MHz, 49, 11.69 W, P0, [N/A]
2398 MHz, 3003 MHz, 49, 12.22 W, P0, [N/A]
2398 MHz, 3003 MHz, 49, 12.09 W, P0, [N/A]
2398 MHz, 3003 MHz, 49, 12.30 W, P0, [N/A]
2398 MHz, 3003 MHz, 49, 13.06 W, P0, [N/A]
2398 MHz, 3003 MHz, 49, 12.85 W, P0, [N/A]
2398 MHz, 3003 MHz, 50, 16.58 W, P0, [N/A]
2398 MHz, 3003 MHz, 50, 20.84 W, P0, [N/A]
2398 MHz, 3003 MHz, 51, 20.67 W, P0, [N/A]
2398 MHz, 3003 MHz, 50, 19.91 W, P0, [N/A]
2398 MHz, 3003 MHz, 49, 12.06 W, P0, [N/A]
2398 MHz, 3003 MHz, 49, 11.82 W, P0, [N/A]
2398 MHz, 3003 MHz, 50, 13.55 W, P0, [N/A]
2398 MHz, 3003 MHz, 49, 12.47 W, P0, [N/A]
2398 MHz, 3003 MHz, 50, 13.42 W, P0, [N/A]
2398 MHz, 3003 MHz, 49, 14.06 W, P0, [N/A]
2398 MHz, 3003 MHz, 49, 11.70 W, P0, [N/A]
2398 MHz, 3003 MHz, 49, 11.67 W, P0, [N/A]
2398 MHz, 3003 MHz, 49, 15.56 W, P0, [N/A]
2398 MHz, 3003 MHz, 48, 11.65 W, P0, [N/A]
2398 MHz, 3003 MHz, 48, 11.64 W, P0, [N/A]
2398 MHz, 3003 MHz, 48, 11.65 W, P0, [N/A]
2398 MHz, 3003 MHz, 48, 11.62 W, P0, [N/A]
2398 MHz, 3003 MHz, 61, 64.33 W, P0, [N/A]
2372 MHz, 3003 MHz, 56, 88.00 W, P0, [N/A]
2398 MHz, 3003 MHz, 61, 70.71 W, P0, [N/A]
2398 MHz, 3003 MHz, 62, 72.35 W, P0, [N/A]
2398 MHz, 3003 MHz, 62, 73.96 W, P0, [N/A]
2392 MHz, 3003 MHz, 62, 79.47 W, P0, [N/A]
2392 MHz, 3003 MHz, 66, 89.63 W, P0, [N/A]
2359 MHz, 3003 MHz, 61, 89.91 W, P0, [N/A]
2359 MHz, 3003 MHz, 67, 96.11 W, P0, [N/A]
2366 MHz, 3003 MHz, 68, 97.06 W, P0, [N/A]
2385 MHz, 3003 MHz, 68, 92.64 W, P0, [N/A]
2353 MHz, 3003 MHz, 66, 92.49 W, P0, [N/A]
2353 MHz, 3003 MHz, 69, 92.60 W, P0, [N/A]
2327 MHz, 3003 MHz, 69, 97.36 W, P0, [N/A]
2385 MHz, 3003 MHz, 69, 92.39 W, P0, [N/A]
2359 MHz, 3003 MHz, 69, 92.83 W, P0, [N/A]
2359 MHz, 3003 MHz, 70, 92.94 W, P0, [N/A]
2359 MHz, 3003 MHz, 71, 94.69 W, P0, [N/A]
2333 MHz, 3003 MHz, 71, 96.79 W, P0, [N/A]
2307 MHz, 3003 MHz, 71, 91.13 W, P0, [N/A]
2385 MHz, 3003 MHz, 71, 93.06 W, P0, [N/A]
2333 MHz, 3003 MHz, 67, 92.64 W, P0, [N/A]
2333 MHz, 3003 MHz, 73, 99.45 W, P0, [N/A]
2333 MHz, 3003 MHz, 72, 92.89 W, P0, [N/A]
2385 MHz, 3003 MHz, 72, 91.76 W, P0, [N/A]
2314 MHz, 3003 MHz, 68, 90.78 W, P0, [N/A]
2333 MHz, 3003 MHz, 73, 96.20 W, P0, [N/A]
2346 MHz, 3003 MHz, 73, 95.27 W, P0, [N/A]
2379 MHz, 3003 MHz, 74, 93.53 W, P0, [N/A]
2320 MHz, 3003 MHz, 73, 92.62 W, P0, [N/A]
2372 MHz, 3003 MHz, 73, 90.49 W, P0, [N/A]
2372 MHz, 3003 MHz, 74, 98.98 W, P0, [N/A]
2327 MHz, 3003 MHz, 74, 92.38 W, P0, [N/A]
2379 MHz, 3003 MHz, 75, 93.11 W, P0, [N/A]
2320 MHz, 3003 MHz, 71, 92.66 W, P0, [N/A]
2320 MHz, 3003 MHz, 75, 97.67 W, P0, [N/A]
2398 MHz, 3003 MHz, 63, 30.53 W, P0, [N/A]
2405 MHz, 3003 MHz, 63, 24.23 W, P0, [N/A]
2398 MHz, 3003 MHz, 61, 19.35 W, P0, [N/A]
2405 MHz, 3003 MHz, 61, 23.64 W, P0, [N/A]
2411 MHz, 3003 MHz, 61, 26.20 W, P0, [N/A]
2405 MHz, 3003 MHz, 62, 28.56 W, P0, [N/A]
2411 MHz, 3003 MHz, 61, 21.86 W, P0, [N/A]
2411 MHz, 3003 MHz, 61, 25.37 W, P0, [N/A]
2411 MHz, 3003 MHz, 61, 22.57 W, P0, [N/A]
2411 MHz, 3003 MHz, 58, 13.23 W, P0, [N/A]
2411 MHz, 3003 MHz, 58, 14.96 W, P0, [N/A]
2411 MHz, 3003 MHz, 58, 23.56 W, P0, [N/A]
2405 MHz, 3003 MHz, 59, 40.57 W, P0, [N/A]
2405 MHz, 3003 MHz, 62, 41.64 W, P0, [N/A]
2398 MHz, 3003 MHz, 61, 40.29 W, P0, [N/A]
2405 MHz, 3003 MHz, 62, 40.27 W, P0, [N/A]
2405 MHz, 3003 MHz, 62, 41.36 W, P0, [N/A]
2405 MHz, 3003 MHz, 63, 39.24 W, P0, [N/A]
2405 MHz, 3003 MHz, 65, 39.82 W, P0, [N/A]
2405 MHz, 3003 MHz, 60, 25.87 W, P0, [N/A]
2411 MHz, 3003 MHz, 57, 19.12 W, P0, [N/A]
2411 MHz, 3003 MHz, 59, 26.26 W, P0, [N/A]
2411 MHz, 3003 MHz, 59, 26.82 W, P0, [N/A]
2411 MHz, 3003 MHz, 57, 23.02 W, P0, [N/A]
2411 MHz, 3003 MHz, 61, 24.93 W, P0, [N/A]
2411 MHz, 3003 MHz, 61, 34.62 W, P0, [N/A]
2411 MHz, 3003 MHz, 56, 14.97 W, P0, [N/A]
2411 MHz, 3003 MHz, 56, 13.45 W, P0, [N/A]
2411 MHz, 3003 MHz, 56, 12.99 W, P0, [N/A]
2411 MHz, 3003 MHz, 55, 12.77 W, P0, [N/A]
2411 MHz, 3003 MHz, 55, 13.12 W, P0, [N/A]
2411 MHz, 3003 MHz, 55, 12.79 W, P0, [N/A]
2411 MHz, 3003 MHz, 55, 12.74 W, P0, [N/A]
2411 MHz, 3003 MHz, 54, 12.67 W, P0, [N/A]
2411 MHz, 3003 MHz, 54, 12.60 W, P0, [N/A]
2411 MHz, 3003 MHz, 54, 12.54 W, P0, [N/A]
2411 MHz, 3003 MHz, 54, 13.40 W, P0, [N/A]
2411 MHz, 3003 MHz, 53, 12.57 W, P0, [N/A]
2411 MHz, 3003 MHz, 53, 12.48 W, P0, [N/A]
2411 MHz, 3003 MHz, 53, 13.66 W, P0, [N/A]
2411 MHz, 3003 MHz, 53, 14.04 W, P0, [N/A]
2411 MHz, 3003 MHz, 53, 13.48 W, P0, [N/A]
2411 MHz, 3003 MHz, 53, 13.49 W, P0, [N/A]
2411 MHz, 3003 MHz, 53, 12.59 W, P0, [N/A]
2411 MHz, 3003 MHz, 52, 12.37 W, P0, [N/A]
2411 MHz, 3003 MHz, 52, 12.22 W, P0, [N/A]
2411 MHz, 3003 MHz, 58, 35.79 W, P0, [N/A]
2411 MHz, 3003 MHz, 54, 59.05 W, P0, [N/A]
2411 MHz, 3003 MHz, 59, 60.96 W, P0, [N/A]
2411 MHz, 3003 MHz, 59, 54.53 W, P0, [N/A]
2333 MHz, 3003 MHz, 67, 81.48 W, P0, [N/A]
2288 MHz, 3003 MHz, 59, 46.51 W, P0, [N/A]
2288 MHz, 3003 MHz, 67, 66.64 W, P0, [N/A]
2288 MHz, 3003 MHz, 57, 64.78 W, P0, [N/A]
2288 MHz, 3003 MHz, 65, 55.45 W, P0, [N/A]
2288 MHz, 3003 MHz, 66, 83.33 W, P0, [N/A]
2288 MHz, 3003 MHz, 68, 91.67 W, P0, [N/A]
2288 MHz, 3003 MHz, 67, 65.46 W, P0, [N/A]
2288 MHz, 3003 MHz, 64, 65.38 W, P0, [N/A]
2288 MHz, 3003 MHz, 66, 65.42 W, P0, [N/A]
2392 MHz, 3003 MHz, 64, 65.34 W, P0, [N/A]
2392 MHz, 3003 MHz, 63, 59.56 W, P0, [N/A]
2392 MHz, 3003 MHz, 58, 21.57 W, P0, [N/A]
2392 MHz, 3003 MHz, 57, 13.31 W, P0, [N/A]
2392 MHz, 3003 MHz, 56, 12.97 W, P0, [N/A]
2392 MHz, 3003 MHz, 56, 12.89 W, P0, [N/A]
2392 MHz, 3003 MHz, 55, 12.80 W, P0, [N/A]
2392 MHz, 3003 MHz, 55, 12.73 W, P0, [N/A]
2392 MHz, 3003 MHz, 55, 12.70 W, P0, [N/A]
2392 MHz, 3003 MHz, 54, 12.64 W, P0, [N/A]
2392 MHz, 3003 MHz, 54, 12.63 W, P0, [N/A]
2392 MHz, 3003 MHz, 54, 12.60 W, P0, [N/A]
2392 MHz, 3003 MHz, 54, 12.57 W, P0, [N/A]
2411 MHz, 3003 MHz, 53, 12.65 W, P0, [N/A]
2411 MHz, 3003 MHz, 53, 12.60 W, P0, [N/A]
2411 MHz, 3003 MHz, 53, 12.45 W, P0, [N/A]
2411 MHz, 3003 MHz, 53, 12.41 W, P0, [N/A]
2411 MHz, 3003 MHz, 52, 12.29 W, P0, [N/A]
2411 MHz, 3003 MHz, 52, 12.20 W, P0, [N/A]
2411 MHz, 3003 MHz, 52, 12.20 W, P0, [N/A]
2411 MHz, 3003 MHz, 52, 12.12 W, P0, [N/A]
2411 MHz, 3003 MHz, 53, 20.78 W, P0, [N/A]
2411 MHz, 3003 MHz, 52, 22.66 W, P0, [N/A]
2411 MHz, 3003 MHz, 58, 56.40 W, P0, [N/A]
2411 MHz, 3003 MHz, 60, 50.83 W, P0, [N/A]
2405 MHz, 3003 MHz, 58, 53.07 W, P0, [N/A]
2405 MHz, 3003 MHz, 58, 56.75 W, P0, [N/A]
2405 MHz, 3003 MHz, 64, 57.01 W, P0, [N/A]
2405 MHz, 3003 MHz, 62, 56.33 W, P0, [N/A]
2405 MHz, 3003 MHz, 59, 54.13 W, P0, [N/A]
2405 MHz, 3003 MHz, 62, 62.85 W, P0, [N/A]
2405 MHz, 3003 MHz, 61, 51.18 W, P0, [N/A]
2398 MHz, 3003 MHz, 60, 59.35 W, P0, [N/A]
2411 MHz, 3003 MHz, 58, 31.66 W, P0, [N/A]
2411 MHz, 3003 MHz, 58, 30.98 W, P0, [N/A]
2411 MHz, 3003 MHz, 63, 36.41 W, P0, [N/A]
2411 MHz, 3003 MHz, 61, 56.72 W, P0, [N/A]
2411 MHz, 3003 MHz, 66, 57.21 W, P0, [N/A]
2411 MHz, 3003 MHz, 64, 54.28 W, P0, [N/A]
2405 MHz, 3003 MHz, 65, 57.69 W, P0, [N/A]
2398 MHz, 3003 MHz, 60, 57.69 W, P0, [N/A]
2398 MHz, 3003 MHz, 66, 57.60 W, P0, [N/A]
2398 MHz, 3003 MHz, 61, 54.48 W, P0, [N/A]
2398 MHz, 3003 MHz, 66, 64.20 W, P0, [N/A]
2398 MHz, 3003 MHz, 63, 59.99 W, P0, [N/A]
2398 MHz, 3003 MHz, 62, 60.16 W, P0, [N/A]
2398 MHz, 3003 MHz, 64, 60.40 W, P0, [N/A]
2411 MHz, 3003 MHz, 60, 31.55 W, P0, [N/A]
2411 MHz, 3003 MHz, 60, 31.22 W, P0, [N/A]
