2411 MHz, 3003 MHz, 53, 12.56 W, P0, [N/A]
2411 MHz, 3003 MHz, 53, 12.57 W, P0, [N/A]
2411 MHz, 3003 MHz, 53, 12.56 W, P0, [N/A]
2411 MHz, 3003 MHz, 53, 12.56 W, P0, [N/A]
2411 MHz, 3003 MHz, 53, 12.57 W, P0, [N/A]
2411 MHz, 3003 MHz, 53, 12.54 W, P0, [N/A]
2411 MHz, 3003 MHz, 53, 12.48 W, P0, [N/A]
2398 MHz, 3003 MHz, 53, 12.31 W, P0, [N/A]
2398 MHz, 3003 MHz, 53, 12.28 W, P0, [N/A]
2398 MHz, 3003 MHz, 52, 12.29 W, P0, [N/A]
2398 MHz, 3003 MHz, 52, 12.27 W, P0, [N/A]
2398 MHz, 3003 MHz, 52, 12.25 W, P0, [N/A]
2398 MHz, 3003 MHz, 52, 12.33 W, P0, [N/A]
2398 MHz, 3003 MHz, 52, 12.29 W, P0, [N/A]
2398 MHz, 3003 MHz, 52, 12.20 W, P0, [N/A]
2398 MHz, 3003 MHz, 52, 12.16 W, P0, [N/A]
2398 MHz, 3003 MHz, 52, 12.16 W, P0, [N/A]
2398 MHz, 3003 MHz, 52, 12.07 W, P0, [N/A]
2398 MHz, 3003 MHz, 52, 12.00 W, P0, [N/A]
2398 MHz, 3003 MHz, 52, 12.00 W, P0, [N/A]
2398 MHz, 3003 MHz, 51, 11.99 W, P0, [N/A]
2398 MHz, 3003 MHz, 51, 11.98 W, P0, [N/A]
2398 MHz, 3003 MHz, 51, 11.95 W, P0, [N/A]
2398 MHz, 3003 MHz, 51, 11.99 W, P0, [N/A]
2398 MHz, 3003 MHz, 51, 11.91 W, P0, [N/A]
2398 MHz, 3003 MHz, 51, 11.90 W, P0, [N/A]
2398 MHz, 3003 MHz, 51, 11.96 W, P0, [N/A]
2398 MHz, 3003 MHz, 51, 12.16 W, P0, [N/A]
2398 MHz, 3003 MHz, 51, 11.95 W, P0, [N/A]
2398 MHz, 3003 MHz, 51, 11.87 W, P0, [N/A]
2398 MHz, 3003 MHz, 51, 11.83 W, P0, [N/A]
2398 MHz, 3003 MHz, 51, 11.80 W, P0, [N/A]
2398 MHz, 3003 MHz, 50, 11.79 W, P0, [N/A]
2398 MHz, 3003 MHz, 50, 11.80 W, P0, [N/A]
2398 MHz, 3003 MHz, 51, 12.17 W, P0, [N/A]
2398 MHz, 3003 MHz, 50, 11.84 W, P0, [N/A]
2398 MHz, 3003 MHz, 50, 11.91 W, P0, [N/A]
2398 MHz, 3003 MHz, 50, 11.76 W, P0, [N/A]
2398 MHz, 3003 MHz, 50, 11.80 W, P0, [N/A]
2398 MHz, 3003 MHz, 50, 11.73 W, P0, [N/A]
2398 MHz, 3003 MHz, 50, 11.80 W, P0, [N/A]
2398 MHz, 3003 MHz, 50, 11.76 W, P0, [N/A]
2398 MHz, 3003 MHz, 50, 11.89 W, P0, [N/A]
2398 MHz, 3003 MHz, 50, 12.13 W, P0, [N/A]
2398 MHz, 3003 MHz, 50, 11.76 W, P0, [N/A]
2398 MHz, 3003 MHz, 50, 12.19 W, P0, [N/A]
2398 MHz, 3003 MHz, 50, 12.20 W, P0, [N/A]
2398 MHz, 3003 MHz, 50, 12.35 W, P0, [N/A]
2398 MHz, 3003 MHz, 50, 12.54 W, P0, [N/A]
2398 MHz, 3003 MHz, 50, 13.02 W, P0, [N/A]
2398 MHz, 3003 MHz, 50, 11.67 W, P0, [N/A]
2398 MHz, 3003 MHz, 49, 11.78 W, P0, [N/A]
2398 MHz, 3003 MHz, 49, 12.16 W, P0, [N/A]
2398 MHz, 3003 MHz, 49, 12.08 W, P0, [N/A]
2398 MHz, 3003 MHz, 49, 12.34 W, P0, [N/A]
2398 MHz, 3003 MHz, 49, 13.35 W, P0, [N/A]
2398 MHz, 3003 MHz, 49, 12.81 W, P0, [N/A]
2398 MHz, 3003 MHz, 50, 18.64 W, P0, [N/A]
2398 MHz, 3003 MHz, 50, 20.92 W, P0, [N/A]
2398 MHz, 3003 MHz, 51, 20.87 W, P0, [N/A]
2398 MHz, 3003 MHz, 50, 17.64 W, P0, [N/A]
2398 MHz, 3003 MHz, 49, 12.17 W, P0, [N/A]
2398 MHz, 3003 MHz, 49, 11.69 W, P0, [N/A]
2398 MHz, 3003 MHz, 50, 13.07 W, P0, [N/A]
2398 MHz, 3003 MHz, 49, 13.01 W, P0, [N/A]
