2398 MHz, 3003 MHz, 47, 11.47 W, P0, [N/A]
2398 MHz, 3003 MHz, 47, 11.44 W, P0, [N/A]
2398 MHz, 3003 MHz, 47, 11.49 W, P0, [N/A]
2398 MHz, 3003 MHz, 47, 11.44 W, P0, [N/A]
2398 MHz, 3003 MHz, 47, 11.49 W, P0, [N/A]
2398 MHz, 3003 MHz, 47, 11.44 W, P0, [N/A]
2398 MHz, 3003 MHz, 47, 11.40 W, P0, [N/A]
2398 MHz, 3003 MHz, 47, 11.49 W, P0, [N/A]
2398 MHz, 3003 MHz, 47, 11.46 W, P0, [N/A]
2398 MHz, 3003 MHz, 47, 11.43 W, P0, [N/A]
2398 MHz, 3003 MHz, 47, 11.46 W, P0, [N/A]
2398 MHz, 3003 MHz, 47, 11.41 W, P0, [N/A]
2398 MHz, 3003 MHz, 47, 11.47 W, P0, [N/A]
2398 MHz, 3003 MHz, 47, 11.45 W, P0, [N/A]
2398 MHz, 3003 MHz, 47, 11.41 W, P0, [N/A]
2398 MHz, 3003 MHz, 47, 11.45 W, P0, [N/A]
2398 MHz, 3003 MHz, 47, 11.47 W, P0, [N/A]
2398 MHz, 3003 MHz, 47, 11.45 W, P0, [N/A]
2398 MHz, 3003 MHz, 47, 11.47 W, P0, [N/A]
2398 MHz, 3003 MHz, 47, 11.49 W, P0, [N/A]
2398 MHz, 3003 MHz, 47, 11.50 W, P0, [N/A]
2398 MHz, 3003 MHz, 47, 11.45 W, P0, [N/A]
2398 MHz, 3003 MHz, 47, 11.46 W, P0, [N/A]
2398 MHz, 3003 MHz, 47, 11.44 W, P0, [N/A]
2398 MHz, 3003 MHz, 47, 11.45 W, P0, [N/A]
2398 MHz, 3003 MHz, 47, 11.43 W, P0, [N/A]
2398 MHz, 3003 MHz, 47, 11.48 W, P0, [N/A]
2398 MHz, 3003 MHz, 47, 11.54 W, P0, [N/A]
2398 MHz, 3003 MHz, 47, 11.78 W, P0, [N/A]
2398 MHz, 3003 MHz, 47, 11.53 W, P0, [N/A]
2398 MHz, 3003 MHz, 47, 11.49 W, P0, [N/A]
2398 MHz, 3003 MHz, 47, 11.50 W, P0, [N/A]
2398 MHz, 3003 MHz, 47, 11.43 W, P0, [N/A]
2398 MHz, 3003 MHz, 47, 11.46 W, P0, [N/A]
2398 MHz, 3003 MHz, 47, 11.38 W, P0, [N/A]
2398 MHz, 3003 MHz, 47, 11.74 W, P0, [N/A]
2398 MHz, 3003 MHz, 47, 11.57 W, P0, [N/A]
2398 MHz, 3003 MHz, 47, 11.53 W, P0, [N/A]
2398 MHz, 3003 MHz, 47, 11.45 W, P0, [N/A]
2398 MHz, 3003 MHz, 47, 11.43 W, P0, [N/A]
2398 MHz, 3003 MHz, 47, 11.40 W, P0, [N/A]
2398 MHz, 3003 MHz, 47, 11.47 W, P0, [N/A]
2398 MHz, 3003 MHz, 47, 11.40 W, P0, [N/A]
2398 MHz, 3003 MHz, 47, 11.39 W, P0, [N/A]
2398 MHz, 3003 MHz, 47, 11.40 W, P0, [N/A]
2398 MHz, 3003 MHz, 47, 11.59 W, P0, [N/A]
2398 MHz, 3003 MHz, 47, 11.82 W, P0, [N/A]
2398 MHz, 3003 MHz, 47, 11.54 W, P0, [N/A]
2398 MHz, 3003 MHz, 48, 11.88 W, P0, [N/A]
2398 MHz, 3003 MHz, 47, 11.87 W, P0, [N/A]
2398 MHz, 3003 MHz, 48, 12.30 W, P0, [N/A]
2398 MHz, 3003 MHz, 48, 12.65 W, P0, [N/A]
2398 MHz, 3003 MHz, 47, 12.21 W, P0, [N/A]
2398 MHz, 3003 MHz, 47, 11.45 W, P0, [N/A]
2398 MHz, 3003 MHz, 48, 11.94 W, P0, [N/A]
2398 MHz, 3003 MHz, 47, 11.82 W, P0, [N/A]
2398 MHz, 3003 MHz, 47, 12.03 W, P0, [N/A]
2398 MHz, 3003 MHz, 48, 12.88 W, P0, [N/A]
2398 MHz, 3003 MHz, 47, 12.47 W, P0, [N/A]
2398 MHz, 3003 MHz, 49, 16.76 W, P0, [N/A]
2398 MHz, 3003 MHz, 49, 20.52 W, P0, [N/A]
2398 MHz, 3003 MHz, 49, 20.53 W, P0, [N/A]
2398 MHz, 3003 MHz, 49, 19.12 W, P0, [N/A]
2398 MHz, 3003 MHz, 48, 11.80 W, P0, [N/A]
2398 MHz, 3003 MHz, 48, 11.65 W, P0, [N/A]
2398 MHz, 3003 MHz, 48, 12.70 W, P0, [N/A]
2398 MHz, 3003 MHz, 48, 12.06 W, P0, [N/A]
2398 MHz, 3003 MHz, 48, 13.33 W, P0, [N/A]
2398 MHz, 3003 MHz, 48, 12.71 W, P0, [N/A]
2398 MHz, 3003 MHz, 48, 12.80 W, P0, [N/A]
2398 MHz, 3003 MHz, 48, 12.15 W, P0, [N/A]
2398 MHz, 3003 MHz, 48, 11.47 W, P0, [N/A]
2398 MHz, 3003 MHz, 48, 11.42 W, P0, [N/A]
2398 MHz, 3003 MHz, 47, 11.41 W, P0, [N/A]
2398 MHz, 3003 MHz, 47, 11.52 W, P0, [N/A]
2398 MHz, 3003 MHz, 47, 11.45 W, P0, [N/A]
2398 MHz, 3003 MHz, 49, 11.86 W, P0, [N/A]
2398 MHz, 3003 MHz, 47, 13.01 W, P0, [N/A]
2398 MHz, 3003 MHz, 47, 11.45 W, P0, [N/A]
2398 MHz, 3003 MHz, 47, 11.43 W, P0, [N/A]
2398 MHz, 3003 MHz, 47, 11.44 W, P0, [N/A]
2398 MHz, 3003 MHz, 47, 11.44 W, P0, [N/A]
2398 MHz, 3003 MHz, 60, 58.22 W, P0, [N/A]
2398 MHz, 3003 MHz, 61, 91.71 W, P0, [N/A]
2398 MHz, 3003 MHz, 62, 91.92 W, P0, [N/A]
2398 MHz, 3003 MHz, 62, 94.93 W, P0, [N/A]
2398 MHz, 3003 MHz, 65, 91.08 W, P0, [N/A]
2398 MHz, 3003 MHz, 65, 96.19 W, P0, [N/A]
2372 MHz, 3003 MHz, 66, 91.88 W, P0, [N/A]
2366 MHz, 3003 MHz, 67, 95.75 W, P0, [N/A]
2366 MHz, 3003 MHz, 66, 92.56 W, P0, [N/A]
2346 MHz, 3003 MHz, 67, 91.91 W, P0, [N/A]
2340 MHz, 3003 MHz, 68, 96.14 W, P0, [N/A]
2359 MHz, 3003 MHz, 68, 92.70 W, P0, [N/A]
2359 MHz, 3003 MHz, 69, 96.03 W, P0, [N/A]
2372 MHz, 3003 MHz, 69, 92.83 W, P0, [N/A]
2372 MHz, 3003 MHz, 70, 95.99 W, P0, [N/A]
2372 MHz, 3003 MHz, 69, 91.54 W, P0, [N/A]
2372 MHz, 3003 MHz, 69, 94.14 W, P0, [N/A]
2372 MHz, 3003 MHz, 61, 68.95 W, P0, [N/A]
2411 MHz, 3003 MHz, 59, 20.89 W, P0, [N/A]
2405 MHz, 3003 MHz, 62, 39.82 W, P0, [N/A]
2405 MHz, 3003 MHz, 60, 39.19 W, P0, [N/A]
2405 MHz, 3003 MHz, 60, 40.37 W, P0, [N/A]
2405 MHz, 3003 MHz, 59, 36.40 W, P0, [N/A]
2405 MHz, 3003 MHz, 56, 22.78 W, P0, [N/A]
2405 MHz, 3003 MHz, 56, 13.34 W, P0, [N/A]
2405 MHz, 3003 MHz, 56, 12.86 W, P0, [N/A]
2405 MHz, 3003 MHz, 55, 12.70 W, P0, [N/A]
2405 MHz, 3003 MHz, 55, 12.57 W, P0, [N/A]
2405 MHz, 3003 MHz, 55, 13.09 W, P0, [N/A]
2405 MHz, 3003 MHz, 54, 12.59 W, P0, [N/A]
2411 MHz, 3003 MHz, 54, 12.55 W, P0, [N/A]
2411 MHz, 3003 MHz, 54, 12.49 W, P0, [N/A]
2411 MHz, 3003 MHz, 54, 12.47 W, P0, [N/A]
2411 MHz, 3003 MHz, 54, 13.20 W, P0, [N/A]
2411 MHz, 3003 MHz, 53, 12.43 W, P0, [N/A]
2411 MHz, 3003 MHz, 53, 12.38 W, P0, [N/A]
2411 MHz, 3003 MHz, 53, 14.48 W, P0, [N/A]
2411 MHz, 3003 MHz, 53, 14.12 W, P0, [N/A]
2411 MHz, 3003 MHz, 53, 13.20 W, P0, [N/A]
2411 MHz, 3003 MHz, 53, 13.37 W, P0, [N/A]
2398 MHz, 3003 MHz, 59, 63.07 W, P0, [N/A]
2398 MHz, 3003 MHz, 59, 65.35 W, P0, [N/A]
2398 MHz, 3003 MHz, 56, 51.39 W, P0, [N/A]
2411 MHz, 3003 MHz, 54, 15.01 W, P0, [N/A]
2411 MHz, 3003 MHz, 54, 13.07 W, P0, [N/A]
2411 MHz, 3003 MHz, 53, 12.41 W, P0, [N/A]
2411 MHz, 3003 MHz, 53, 12.42 W, P0, [N/A]
2411 MHz, 3003 MHz, 53, 12.31 W, P0, [N/A]
2411 MHz, 3003 MHz, 53, 12.27 W, P0, [N/A]
2398 MHz, 3003 MHz, 52, 12.14 W, P0, [N/A]
2398 MHz, 3003 MHz, 52, 12.06 W, P0, [N/A]
2398 MHz, 3003 MHz, 52, 12.05 W, P0, [N/A]
2398 MHz, 3003 MHz, 52, 12.04 W, P0, [N/A]
2398 MHz, 3003 MHz, 51, 11.98 W, P0, [N/A]
2398 MHz, 3003 MHz, 51, 11.85 W, P0, [N/A]
2398 MHz, 3003 MHz, 51, 11.81 W, P0, [N/A]
2398 MHz, 3003 MHz, 51, 11.79 W, P0, [N/A]
2398 MHz, 3003 MHz, 51, 11.78 W, P0, [N/A]
2398 MHz, 3003 MHz, 51, 11.78 W, P0, [N/A]
2398 MHz, 3003 MHz, 51, 11.80 W, P0, [N/A]
2398 MHz, 3003 MHz, 51, 11.78 W, P0, [N/A]
2398 MHz, 3003 MHz, 50, 11.73 W, P0, [N/A]
2398 MHz, 3003 MHz, 50, 11.70 W, P0, [N/A]
2398 MHz, 3003 MHz, 50, 11.72 W, P0, [N/A]
2398 MHz, 3003 MHz, 50, 11.72 W, P0, [N/A]
2398 MHz, 3003 MHz, 50, 11.72 W, P0, [N/A]
2398 MHz, 3003 MHz, 50, 11.74 W, P0, [N/A]
2398 MHz, 3003 MHz, 50, 11.69 W, P0, [N/A]
2398 MHz, 3003 MHz, 50, 11.69 W, P0, [N/A]
2398 MHz, 3003 MHz, 50, 11.69 W, P0, [N/A]
2398 MHz, 3003 MHz, 50, 11.69 W, P0, [N/A]
2398 MHz, 3003 MHz, 50, 11.64 W, P0, [N/A]
2398 MHz, 3003 MHz, 50, 11.61 W, P0, [N/A]
2398 MHz, 3003 MHz, 49, 11.61 W, P0, [N/A]
2398 MHz, 3003 MHz, 49, 11.57 W, P0, [N/A]
2398 MHz, 3003 MHz, 49, 11.55 W, P0, [N/A]
2398 MHz, 3003 MHz, 49, 11.57 W, P0, [N/A]
2398 MHz, 3003 MHz, 49, 11.60 W, P0, [N/A]
2398 MHz, 3003 MHz, 49, 11.56 W, P0, [N/A]
2398 MHz, 3003 MHz, 49, 11.54 W, P0, [N/A]
2398 MHz, 3003 MHz, 49, 11.54 W, P0, [N/A]
2398 MHz, 3003 MHz, 49, 11.55 W, P0, [N/A]
2398 MHz, 3003 MHz, 49, 11.56 W, P0, [N/A]
2398 MHz, 3003 MHz, 48, 11.50 W, P0, [N/A]
2398 MHz, 3003 MHz, 48, 11.48 W, P0, [N/A]
2398 MHz, 3003 MHz, 49, 18.19 W, P0, [N/A]
2398 MHz, 3003 MHz, 51, 18.83 W, P0, [N/A]
2398 MHz, 3003 MHz, 49, 11.57 W, P0, [N/A]
2405 MHz, 3003 MHz, 55, 48.92 W, P0, [N/A]
2405 MHz, 3003 MHz, 58, 55.76 W, P0, [N/A]
2405 MHz, 3003 MHz, 54, 52.71 W, P0, [N/A]
2405 MHz, 3003 MHz, 56, 54.89 W, P0, [N/A]
2405 MHz, 3003 MHz, 56, 55.35 W, P0, [N/A]
2405 MHz, 3003 MHz, 61, 57.72 W, P0, [N/A]
2405 MHz, 3003 MHz, 56, 52.63 W, P0, [N/A]
2398 MHz, 3003 MHz, 59, 55.99 W, P0, [N/A]
2405 MHz, 3003 MHz, 59, 56.24 W, P0, [N/A]
2405 MHz, 3003 MHz, 59, 57.80 W, P0, [N/A]
2411 MHz, 3003 MHz, 56, 36.58 W, P0, [N/A]
2411 MHz, 3003 MHz, 56, 30.50 W, P0, [N/A]
2411 MHz, 3003 MHz, 57, 42.45 W, P0, [N/A]
2398 MHz, 3003 MHz, 62, 55.77 W, P0, [N/A]
2398 MHz, 3003 MHz, 60, 54.10 W, P0, [N/A]
2398 MHz, 3003 MHz, 62, 57.75 W, P0, [N/A]
2398 MHz, 3003 MHz, 59, 55.52 W, P0, [N/A]
2405 MHz, 3003 MHz, 63, 55.57 W, P0, [N/A]
2398 MHz, 3003 MHz, 64, 59.11 W, P0, [N/A]
2392 MHz, 3003 MHz, 63, 59.66 W, P0, [N/A]
2398 MHz, 3003 MHz, 65, 58.02 W, P0, [N/A]
2392 MHz, 3003 MHz, 64, 60.55 W, P0, [N/A]
2392 MHz, 3003 MHz, 63, 59.47 W, P0, [N/A]
2398 MHz, 3003 MHz, 60, 53.57 W, P0, [N/A]
2411 MHz, 3003 MHz, 59, 31.03 W, P0, [N/A]
2411 MHz, 3003 MHz, 64, 39.60 W, P0, [N/A]
2398 MHz, 3003 MHz, 62, 56.59 W, P0, [N/A]
2392 MHz, 3003 MHz, 61, 56.76 W, P0, [N/A]
2392 MHz, 3003 MHz, 64, 57.11 W, P0, [N/A]
2398 MHz, 3003 MHz, 66, 56.95 W, P0, [N/A]
2398 MHz, 3003 MHz, 65, 58.51 W, P0, [N/A]
2392 MHz, 3003 MHz, 68, 60.20 W, P0, [N/A]
2392 MHz, 3003 MHz, 66, 57.59 W, P0, [N/A]
2392 MHz, 3003 MHz, 63, 59.36 W, P0, [N/A]
2392 MHz, 3003 MHz, 64, 60.50 W, P0, [N/A]
2392 MHz, 3003 MHz, 62, 47.21 W, P0, [N/A]
2411 MHz, 3003 MHz, 61, 31.34 W, P0, [N/A]
2411 MHz, 3003 MHz, 62, 36.36 W, P0, [N/A]
2392 MHz, 3003 MHz, 63, 57.22 W, P0, [N/A]
2392 MHz, 3003 MHz, 63, 57.64 W, P0, [N/A]
2392 MHz, 3003 MHz, 66, 57.14 W, P0, [N/A]
2392 MHz, 3003 MHz, 68, 57.26 W, P0, [N/A]
2392 MHz, 3003 MHz, 70, 57.50 W, P0, [N/A]
2392 MHz, 3003 MHz, 64, 59.76 W, P0, [N/A]
2392 MHz, 3003 MHz, 65, 62.49 W, P0, [N/A]
2392 MHz, 3003 MHz, 65, 61.74 W, P0, [N/A]
2392 MHz, 3003 MHz, 69, 62.52 W, P0, [N/A]
2392 MHz, 3003 MHz, 69, 61.27 W, P0, [N/A]
2392 MHz, 3003 MHz, 67, 61.31 W, P0, [N/A]
2398 MHz, 3003 MHz, 63, 33.56 W, P0, [N/A]
2398 MHz, 3003 MHz, 62, 31.69 W, P0, [N/A]
2392 MHz, 3003 MHz, 66, 52.42 W, P0, [N/A]
2392 MHz, 3003 MHz, 66, 58.95 W, P0, [N/A]
2392 MHz, 3003 MHz, 67, 57.81 W, P0, [N/A]
2392 MHz, 3003 MHz, 66, 58.69 W, P0, [N/A]
2392 MHz, 3003 MHz, 65, 59.64 W, P0, [N/A]
2392 MHz, 3003 MHz, 66, 59.07 W, P0, [N/A]
2392 MHz, 3003 MHz, 66, 60.27 W, P0, [N/A]
2392 MHz, 3003 MHz, 70, 59.15 W, P0, [N/A]
2392 MHz, 3003 MHz, 69, 59.76 W, P0, [N/A]
2392 MHz, 3003 MHz, 69, 61.22 W, P0, [N/A]
2398 MHz, 3003 MHz, 64, 33.72 W, P0, [N/A]
2398 MHz, 3003 MHz, 64, 32.07 W, P0, [N/A]
2392 MHz, 3003 MHz, 66, 53.41 W, P0, [N/A]
2392 MHz, 3003 MHz, 69, 59.35 W, P0, [N/A]
2392 MHz, 3003 MHz, 65, 58.30 W, P0, [N/A]
2392 MHz, 3003 MHz, 66, 58.89 W, P0, [N/A]
2392 MHz, 3003 MHz, 65, 59.06 W, P0, [N/A]
2392 MHz, 3003 MHz, 70, 60.07 W, P0, [N/A]
2392 MHz, 3003 MHz, 69, 62.33 W, P0, [N/A]
2392 MHz, 3003 MHz, 72, 61.52 W, P0, [N/A]
2392 MHz, 3003 MHz, 68, 61.08 W, P0, [N/A]
2392 MHz, 3003 MHz, 71, 63.72 W, P0, [N/A]
2392 MHz, 3003 MHz, 71, 62.99 W, P0, [N/A]
2392 MHz, 3003 MHz, 68, 47.47 W, P0, [N/A]
2398 MHz, 3003 MHz, 65, 32.47 W, P0, [N/A]
2398 MHz, 3003 MHz, 68, 44.61 W, P0, [N/A]
2392 MHz, 3003 MHz, 67, 58.57 W, P0, [N/A]
2392 MHz, 3003 MHz, 69, 58.15 W, P0, [N/A]
2392 MHz, 3003 MHz, 70, 61.02 W, P0, [N/A]
2392 MHz, 3003 MHz, 67, 58.65 W, P0, [N/A]
