2398 MHz, 3003 MHz, 40, 10.56 W, P0, [N/A]
2398 MHz, 3003 MHz, 40, 10.53 W, P0, [N/A]
2398 MHz, 3003 MHz, 40, 10.48 W, P0, [N/A]
2398 MHz, 3003 MHz, 40, 10.52 W, P0, [N/A]
2398 MHz, 3003 MHz, 40, 10.57 W, P0, [N/A]
2398 MHz, 3003 MHz, 40, 10.60 W, P0, [N/A]
2398 MHz, 3003 MHz, 40, 10.60 W, P0, [N/A]
2398 MHz, 3003 MHz, 40, 10.66 W, P0, [N/A]
2398 MHz, 3003 MHz, 40, 10.63 W, P0, [N/A]
2398 MHz, 3003 MHz, 41, 10.64 W, P0, [N/A]
2398 MHz, 3003 MHz, 41, 10.64 W, P0, [N/A]
2398 MHz, 3003 MHz, 41, 10.61 W, P0, [N/A]
2398 MHz, 3003 MHz, 41, 10.56 W, P0, [N/A]
2398 MHz, 3003 MHz, 41, 10.55 W, P0, [N/A]
2398 MHz, 3003 MHz, 41, 10.61 W, P0, [N/A]
2398 MHz, 3003 MHz, 41, 10.49 W, P0, [N/A]
2398 MHz, 3003 MHz, 41, 10.50 W, P0, [N/A]
2398 MHz, 3003 MHz, 41, 10.48 W, P0, [N/A]
2398 MHz, 3003 MHz, 41, 10.52 W, P0, [N/A]
2398 MHz, 3003 MHz, 41, 10.54 W, P0, [N/A]
2398 MHz, 3003 MHz, 41, 10.55 W, P0, [N/A]
2398 MHz, 3003 MHz, 41, 10.53 W, P0, [N/A]
2398 MHz, 3003 MHz, 41, 10.60 W, P0, [N/A]
2398 MHz, 3003 MHz, 41, 10.55 W, P0, [N/A]
2398 MHz, 3003 MHz, 41, 10.56 W, P0, [N/A]
2398 MHz, 3003 MHz, 41, 10.52 W, P0, [N/A]
2398 MHz, 3003 MHz, 41, 10.55 W, P0, [N/A]
2398 MHz, 3003 MHz, 41, 10.56 W, P0, [N/A]
2398 MHz, 3003 MHz, 41, 10.56 W, P0, [N/A]
2398 MHz, 3003 MHz, 41, 10.66 W, P0, [N/A]
2398 MHz, 3003 MHz, 41, 10.89 W, P0, [N/A]
2398 MHz, 3003 MHz, 41, 10.64 W, P0, [N/A]
2398 MHz, 3003 MHz, 41, 10.73 W, P0, [N/A]
2398 MHz, 3003 MHz, 41, 10.62 W, P0, [N/A]
2398 MHz, 3003 MHz, 41, 10.62 W, P0, [N/A]
2398 MHz, 3003 MHz, 41, 10.57 W, P0, [N/A]
2398 MHz, 3003 MHz, 41, 10.65 W, P0, [N/A]
2398 MHz, 3003 MHz, 41, 10.98 W, P0, [N/A]
2398 MHz, 3003 MHz, 41, 10.60 W, P0, [N/A]
2398 MHz, 3003 MHz, 41, 10.72 W, P0, [N/A]
2398 MHz, 3003 MHz, 41, 10.63 W, P0, [N/A]
2398 MHz, 3003 MHz, 41, 10.66 W, P0, [N/A]
2398 MHz, 3003 MHz, 41, 10.64 W, P0, [N/A]
2398 MHz, 3003 MHz, 42, 10.68 W, P0, [N/A]
2398 MHz, 3003 MHz, 42, 10.65 W, P0, [N/A]
2398 MHz, 3003 MHz, 42, 10.68 W, P0, [N/A]
2398 MHz, 3003 MHz, 42, 10.83 W, P0, [N/A]
2398 MHz, 3003 MHz, 42, 11.08 W, P0, [N/A]
2398 MHz, 3003 MHz, 42, 10.67 W, P0, [N/A]
2398 MHz, 3003 MHz, 42, 11.18 W, P0, [N/A]
2398 MHz, 3003 MHz, 42, 11.18 W, P0, [N/A]
2398 MHz, 3003 MHz, 42, 11.39 W, P0, [N/A]
2398 MHz, 3003 MHz, 42, 11.71 W, P0, [N/A]
2398 MHz, 3003 MHz, 42, 11.69 W, P0, [N/A]
2398 MHz, 3003 MHz, 42, 10.70 W, P0, [N/A]
2398 MHz, 3003 MHz, 42, 11.01 W, P0, [N/A]
