2398 MHz, 3003 MHz, 52, 12.24 W, P0, [N/A]
2398 MHz, 3003 MHz, 52, 12.23 W, P0, [N/A]
2398 MHz, 3003 MHz, 52, 12.21 W, P0, [N/A]
2398 MHz, 3003 MHz, 52, 12.23 W, P0, [N/A]
2398 MHz, 3003 MHz, 51, 12.22 W, P0, [N/A]
2398 MHz, 3003 MHz, 51, 12.26 W, P0, [N/A]
2398 MHz, 3003 MHz, 51, 12.24 W, P0, [N/A]
2398 MHz, 3003 MHz, 51, 12.07 W, P0, [N/A]
2398 MHz, 3003 MHz, 51, 12.05 W, P0, [N/A]
2398 MHz, 3003 MHz, 51, 12.09 W, P0, [N/A]
2398 MHz, 3003 MHz, 51, 12.04 W, P0, [N/A]
2398 MHz, 3003 MHz, 51, 12.10 W, P0, [N/A]
2398 MHz, 3003 MHz, 51, 12.04 W, P0, [N/A]
2398 MHz, 3003 MHz, 51, 11.93 W, P0, [N/A]
2398 MHz, 3003 MHz, 51, 11.91 W, P0, [N/A]
2398 MHz, 3003 MHz, 51, 11.93 W, P0, [N/A]
2398 MHz, 3003 MHz, 51, 11.89 W, P0, [N/A]
2398 MHz, 3003 MHz, 50, 11.90 W, P0, [N/A]
2398 MHz, 3003 MHz, 50, 11.90 W, P0, [N/A]
2398 MHz, 3003 MHz, 50, 11.91 W, P0, [N/A]
2398 MHz, 3003 MHz, 50, 11.85 W, P0, [N/A]
2398 MHz, 3003 MHz, 50, 11.86 W, P0, [N/A]
2398 MHz, 3003 MHz, 50, 11.85 W, P0, [N/A]
2398 MHz, 3003 MHz, 50, 11.85 W, P0, [N/A]
2398 MHz, 3003 MHz, 50, 11.85 W, P0, [N/A]
2398 MHz, 3003 MHz, 50, 11.83 W, P0, [N/A]
2398 MHz, 3003 MHz, 50, 11.87 W, P0, [N/A]
2398 MHz, 3003 MHz, 50, 12.16 W, P0, [N/A]
2398 MHz, 3003 MHz, 50, 11.85 W, P0, [N/A]
2398 MHz, 3003 MHz, 50, 11.87 W, P0, [N/A]
2398 MHz, 3003 MHz, 50, 11.86 W, P0, [N/A]
2398 MHz, 3003 MHz, 50, 11.81 W, P0, [N/A]
2398 MHz, 3003 MHz, 49, 11.81 W, P0, [N/A]
2398 MHz, 3003 MHz, 49, 11.80 W, P0, [N/A]
2398 MHz, 3003 MHz, 49, 12.16 W, P0, [N/A]
2398 MHz, 3003 MHz, 49, 11.89 W, P0, [N/A]
2398 MHz, 3003 MHz, 49, 11.91 W, P0, [N/A]
2398 MHz, 3003 MHz, 49, 11.81 W, P0, [N/A]
2398 MHz, 3003 MHz, 49, 11.76 W, P0, [N/A]
2398 MHz, 3003 MHz, 49, 11.75 W, P0, [N/A]
2398 MHz, 3003 MHz, 49, 11.77 W, P0, [N/A]
2398 MHz, 3003 MHz, 49, 11.77 W, P0, [N/A]
2398 MHz, 3003 MHz, 49, 11.96 W, P0, [N/A]
2398 MHz, 3003 MHz, 49, 12.19 W, P0, [N/A]
2398 MHz, 3003 MHz, 49, 11.79 W, P0, [N/A]
2398 MHz, 3003 MHz, 49, 12.52 W, P0, [N/A]
2398 MHz, 3003 MHz, 49, 11.87 W, P0, [N/A]
2398 MHz, 3003 MHz, 49, 12.49 W, P0, [N/A]
2398 MHz, 3003 MHz, 49, 12.58 W, P0, [N/A]
2398 MHz, 3003 MHz, 49, 13.01 W, P0, [N/A]
2398 MHz, 3003 MHz, 49, 11.73 W, P0, [N/A]
2398 MHz, 3003 MHz, 49, 12.07 W, P0, [N/A]
2398 MHz, 3003 MHz, 49, 12.15 W, P0, [N/A]
2398 MHz, 3003 MHz, 49, 12.21 W, P0, [N/A]
2398 MHz, 3003 MHz, 49, 12.48 W, P0, [N/A]
2398 MHz, 3003 MHz, 49, 13.50 W, P0, [N/A]
2398 MHz, 3003 MHz, 49, 12.51 W, P0, [N/A]
2398 MHz, 3003 MHz, 50, 20.75 W, P0, [N/A]
2398 MHz, 3003 MHz, 50, 20.81 W, P0, [N/A]
2398 MHz, 3003 MHz, 50, 20.93 W, P0, [N/A]
2398 MHz, 3003 MHz, 49, 15.52 W, P0, [N/A]
2398 MHz, 3003 MHz, 49, 12.24 W, P0, [N/A]
2398 MHz, 3003 MHz, 49, 11.73 W, P0, [N/A]
2398 MHz, 3003 MHz, 49, 13.52 W, P0, [N/A]
2398 MHz, 3003 MHz, 49, 12.78 W, P0, [N/A]
2398 MHz, 3003 MHz, 49, 13.39 W, P0, [N/A]
2398 MHz, 3003 MHz, 49, 13.18 W, P0, [N/A]
2398 MHz, 3003 MHz, 48, 11.72 W, P0, [N/A]
2398 MHz, 3003 MHz, 48, 11.90 W, P0, [N/A]
2398 MHz, 3003 MHz, 48, 12.50 W, P0, [N/A]
2398 MHz, 3003 MHz, 48, 11.68 W, P0, [N/A]
2398 MHz, 3003 MHz, 48, 11.66 W, P0, [N/A]
2398 MHz, 3003 MHz, 48, 11.64 W, P0, [N/A]
2398 MHz, 3003 MHz, 48, 11.65 W, P0, [N/A]
2398 MHz, 3003 MHz, 61, 86.00 W, P0, [N/A]
2385 MHz, 3003 MHz, 60, 79.95 W, P0, [N/A]
2398 MHz, 3003 MHz, 60, 73.04 W, P0, [N/A]
2392 MHz, 3003 MHz, 59, 76.71 W, P0, [N/A]
2392 MHz, 3003 MHz, 60, 79.76 W, P0, [N/A]
2379 MHz, 3003 MHz, 66, 86.04 W, P0, [N/A]
2385 MHz, 3003 MHz, 66, 93.33 W, P0, [N/A]
2366 MHz, 3003 MHz, 66, 93.01 W, P0, [N/A]
2372 MHz, 3003 MHz, 67, 94.85 W, P0, [N/A]
2372 MHz, 3003 MHz, 57, 69.59 W, P0, [N/A]
2411 MHz, 3003 MHz, 54, 19.78 W, P0, [N/A]
2411 MHz, 3003 MHz, 55, 18.15 W, P0, [N/A]
2411 MHz, 3003 MHz, 54, 19.25 W, P0, [N/A]
2411 MHz, 3003 MHz, 55, 23.61 W, P0, [N/A]
2411 MHz, 3003 MHz, 53, 17.98 W, P0, [N/A]
2411 MHz, 3003 MHz, 53, 20.99 W, P0, [N/A]
2411 MHz, 3003 MHz, 54, 19.00 W, P0, [N/A]
2411 MHz, 3003 MHz, 52, 12.40 W, P0, [N/A]
2411 MHz, 3003 MHz, 52, 13.88 W, P0, [N/A]
2411 MHz, 3003 MHz, 58, 27.87 W, P0, [N/A]
2411 MHz, 3003 MHz, 55, 38.25 W, P0, [N/A]
2411 MHz, 3003 MHz, 53, 26.16 W, P0, [N/A]
2398 MHz, 3003 MHz, 53, 18.98 W, P0, [N/A]
2411 MHz, 3003 MHz, 54, 23.48 W, P0, [N/A]
2411 MHz, 3003 MHz, 53, 23.54 W, P0, [N/A]
2411 MHz, 3003 MHz, 52, 21.04 W, P0, [N/A]
2411 MHz, 3003 MHz, 52, 15.43 W, P0, [N/A]
2411 MHz, 3003 MHz, 52, 12.76 W, P0, [N/A]
2398 MHz, 3003 MHz, 51, 12.33 W, P0, [N/A]
2398 MHz, 3003 MHz, 51, 12.02 W, P0, [N/A]
2398 MHz, 3003 MHz, 51, 12.22 W, P0, [N/A]
2398 MHz, 3003 MHz, 51, 12.11 W, P0, [N/A]
2398 MHz, 3003 MHz, 51, 12.00 W, P0, [N/A]
2398 MHz, 3003 MHz, 51, 11.97 W, P0, [N/A]
2398 MHz, 3003 MHz, 50, 11.94 W, P0, [N/A]
2398 MHz, 3003 MHz, 50, 11.95 W, P0, [N/A]
2398 MHz, 3003 MHz, 50, 12.76 W, P0, [N/A]
2398 MHz, 3003 MHz, 50, 11.88 W, P0, [N/A]
2398 MHz, 3003 MHz, 50, 11.84 W, P0, [N/A]
2398 MHz, 3003 MHz, 50, 13.52 W, P0, [N/A]
2398 MHz, 3003 MHz, 50, 13.51 W, P0, [N/A]
2398 MHz, 3003 MHz, 50, 12.74 W, P0, [N/A]
2398 MHz, 3003 MHz, 50, 13.00 W, P0, [N/A]
2398 MHz, 3003 MHz, 50, 11.85 W, P0, [N/A]
2398 MHz, 3003 MHz, 50, 11.77 W, P0, [N/A]
2398 MHz, 3003 MHz, 49, 13.44 W, P0, [N/A]
2385 MHz, 3003 MHz, 53, 55.95 W, P0, [N/A]
2385 MHz, 3003 MHz, 52, 57.88 W, P0, [N/A]
2385 MHz, 3003 MHz, 60, 42.15 W, P0, [N/A]
2398 MHz, 3003 MHz, 55, 39.00 W, P0, [N/A]
2385 MHz, 3003 MHz, 63, 74.13 W, P0, [N/A]
2405 MHz, 3003 MHz, 62, 62.89 W, P0, [N/A]
2405 MHz, 3003 MHz, 52, 19.30 W, P0, [N/A]
2398 MHz, 3003 MHz, 52, 12.36 W, P0, [N/A]
2398 MHz, 3003 MHz, 51, 11.96 W, P0, [N/A]
2398 MHz, 3003 MHz, 51, 11.91 W, P0, [N/A]
2398 MHz, 3003 MHz, 51, 11.88 W, P0, [N/A]
2398 MHz, 3003 MHz, 50, 11.86 W, P0, [N/A]
2398 MHz, 3003 MHz, 50, 11.87 W, P0, [N/A]
2398 MHz, 3003 MHz, 50, 11.85 W, P0, [N/A]
2398 MHz, 3003 MHz, 50, 11.80 W, P0, [N/A]
2398 MHz, 3003 MHz, 50, 11.74 W, P0, [N/A]
2398 MHz, 3003 MHz, 50, 11.74 W, P0, [N/A]
2398 MHz, 3003 MHz, 49, 11.72 W, P0, [N/A]
2398 MHz, 3003 MHz, 49, 11.75 W, P0, [N/A]
2398 MHz, 3003 MHz, 49, 11.72 W, P0, [N/A]
2398 MHz, 3003 MHz, 49, 11.73 W, P0, [N/A]
2398 MHz, 3003 MHz, 49, 11.64 W, P0, [N/A]
2398 MHz, 3003 MHz, 49, 11.61 W, P0, [N/A]
