2398 MHz, 3003 MHz, 51, 11.92 W, P0, [N/A]
2398 MHz, 3003 MHz, 51, 11.87 W, P0, [N/A]
2398 MHz, 3003 MHz, 51, 11.88 W, P0, [N/A]
2398 MHz, 3003 MHz, 51, 11.88 W, P0, [N/A]
2398 MHz, 3003 MHz, 51, 11.85 W, P0, [N/A]
2398 MHz, 3003 MHz, 50, 11.83 W, P0, [N/A]
2398 MHz, 3003 MHz, 50, 11.83 W, P0, [N/A]
2398 MHz, 3003 MHz, 50, 11.83 W, P0, [N/A]
2398 MHz, 3003 MHz, 50, 11.81 W, P0, [N/A]
2398 MHz, 3003 MHz, 50, 11.80 W, P0, [N/A]
2398 MHz, 3003 MHz, 50, 11.79 W, P0, [N/A]
2398 MHz, 3003 MHz, 50, 11.78 W, P0, [N/A]
2398 MHz, 3003 MHz, 50, 11.78 W, P0, [N/A]
2398 MHz, 3003 MHz, 50, 11.77 W, P0, [N/A]
2398 MHz, 3003 MHz, 50, 11.78 W, P0, [N/A]
2398 MHz, 3003 MHz, 50, 11.77 W, P0, [N/A]
2398 MHz, 3003 MHz, 49, 11.75 W, P0, [N/A]
2398 MHz, 3003 MHz, 49, 11.80 W, P0, [N/A]
2398 MHz, 3003 MHz, 49, 11.78 W, P0, [N/A]
2398 MHz, 3003 MHz, 49, 11.77 W, P0, [N/A]
2398 MHz, 3003 MHz, 49, 11.74 W, P0, [N/A]
2398 MHz, 3003 MHz, 49, 11.77 W, P0, [N/A]
2398 MHz, 3003 MHz, 49, 11.79 W, P0, [N/A]
2398 MHz, 3003 MHz, 49, 11.78 W, P0, [N/A]
2398 MHz, 3003 MHz, 49, 11.69 W, P0, [N/A]
2398 MHz, 3003 MHz, 49, 11.77 W, P0, [N/A]
2398 MHz, 3003 MHz, 49, 11.72 W, P0, [N/A]
2398 MHz, 3003 MHz, 49, 11.62 W, P0, [N/A]
2398 MHz, 3003 MHz, 49, 11.62 W, P0, [N/A]
2398 MHz, 3003 MHz, 49, 11.68 W, P0, [N/A]
2398 MHz, 3003 MHz, 49, 11.70 W, P0, [N/A]
2398 MHz, 3003 MHz, 49, 11.73 W, P0, [N/A]
2398 MHz, 3003 MHz, 49, 11.69 W, P0, [N/A]
2398 MHz, 3003 MHz, 49, 11.72 W, P0, [N/A]
2398 MHz, 3003 MHz, 49, 11.69 W, P0, [N/A]
2398 MHz, 3003 MHz, 49, 11.69 W, P0, [N/A]
2398 MHz, 3003 MHz, 49, 11.65 W, P0, [N/A]
2398 MHz, 3003 MHz, 48, 11.64 W, P0, [N/A]
2398 MHz, 3003 MHz, 48, 11.65 W, P0, [N/A]
2398 MHz, 3003 MHz, 48, 11.67 W, P0, [N/A]
2398 MHz, 3003 MHz, 48, 11.67 W, P0, [N/A]
2398 MHz, 3003 MHz, 48, 11.91 W, P0, [N/A]
2398 MHz, 3003 MHz, 48, 11.67 W, P0, [N/A]
2398 MHz, 3003 MHz, 48, 11.66 W, P0, [N/A]
2398 MHz, 3003 MHz, 48, 11.65 W, P0, [N/A]
2398 MHz, 3003 MHz, 48, 11.64 W, P0, [N/A]
2398 MHz, 3003 MHz, 48, 11.62 W, P0, [N/A]
2398 MHz, 3003 MHz, 48, 11.96 W, P0, [N/A]
2398 MHz, 3003 MHz, 48, 11.70 W, P0, [N/A]
2398 MHz, 3003 MHz, 48, 11.71 W, P0, [N/A]
2398 MHz, 3003 MHz, 48, 11.59 W, P0, [N/A]
2398 MHz, 3003 MHz, 48, 11.61 W, P0, [N/A]
2398 MHz, 3003 MHz, 48, 11.62 W, P0, [N/A]
2398 MHz, 3003 MHz, 48, 11.63 W, P0, [N/A]
2398 MHz, 3003 MHz, 48, 11.66 W, P0, [N/A]
2398 MHz, 3003 MHz, 48, 11.81 W, P0, [N/A]
