2398 MHz, 3003 MHz, 40, 10.47 W, P0, [N/A]
2398 MHz, 3003 MHz, 40, 10.47 W, P0, [N/A]
2398 MHz, 3003 MHz, 40, 10.47 W, P0, [N/A]
2398 MHz, 3003 MHz, 40, 10.50 W, P0, [N/A]
2398 MHz, 3003 MHz, 40, 10.47 W, P0, [N/A]
2398 MHz, 3003 MHz, 40, 10.51 W, P0, [N/A]
2398 MHz, 3003 MHz, 40, 10.53 W, P0, [N/A]
2398 MHz, 3003 MHz, 40, 10.50 W, P0, [N/A]
2398 MHz, 3003 MHz, 40, 10.48 W, P0, [N/A]
2398 MHz, 3003 MHz, 40, 10.50 W, P0, [N/A]
2398 MHz, 3003 MHz, 40, 10.48 W, P0, [N/A]
2398 MHz, 3003 MHz, 40, 10.55 W, P0, [N/A]
2398 MHz, 3003 MHz, 40, 10.58 W, P0, [N/A]
2398 MHz, 3003 MHz, 40, 10.51 W, P0, [N/A]
2398 MHz, 3003 MHz, 40, 10.53 W, P0, [N/A]
2398 MHz, 3003 MHz, 40, 10.59 W, P0, [N/A]
2398 MHz, 3003 MHz, 40, 10.62 W, P0, [N/A]
2398 MHz, 3003 MHz, 40, 10.66 W, P0, [N/A]
2398 MHz, 3003 MHz, 40, 10.64 W, P0, [N/A]
2398 MHz, 3003 MHz, 40, 10.59 W, P0, [N/A]
2398 MHz, 3003 MHz, 40, 10.62 W, P0, [N/A]
2398 MHz, 3003 MHz, 41, 10.56 W, P0, [N/A]
2398 MHz, 3003 MHz, 41, 10.57 W, P0, [N/A]
2398 MHz, 3003 MHz, 41, 10.66 W, P0, [N/A]
2398 MHz, 3003 MHz, 41, 10.61 W, P0, [N/A]
2398 MHz, 3003 MHz, 41, 10.63 W, P0, [N/A]
2398 MHz, 3003 MHz, 41, 10.69 W, P0, [N/A]
2398 MHz, 3003 MHz, 41, 10.71 W, P0, [N/A]
2398 MHz, 3003 MHz, 41, 10.63 W, P0, [N/A]
2398 MHz, 3003 MHz, 41, 10.67 W, P0, [N/A]
2398 MHz, 3003 MHz, 41, 10.71 W, P0, [N/A]
2398 MHz, 3003 MHz, 41, 10.66 W, P0, [N/A]
2398 MHz, 3003 MHz, 41, 10.66 W, P0, [N/A]
2398 MHz, 3003 MHz, 41, 10.66 W, P0, [N/A]
2398 MHz, 3003 MHz, 41, 10.70 W, P0, [N/A]
2398 MHz, 3003 MHz, 41, 10.73 W, P0, [N/A]
2398 MHz, 3003 MHz, 41, 10.71 W, P0, [N/A]
2398 MHz, 3003 MHz, 41, 10.81 W, P0, [N/A]
2398 MHz, 3003 MHz, 41, 11.06 W, P0, [N/A]
2398 MHz, 3003 MHz, 41, 10.75 W, P0, [N/A]
2398 MHz, 3003 MHz, 41, 10.74 W, P0, [N/A]
2398 MHz, 3003 MHz, 41, 10.78 W, P0, [N/A]
2398 MHz, 3003 MHz, 41, 10.70 W, P0, [N/A]
2398 MHz, 3003 MHz, 41, 10.71 W, P0, [N/A]
2398 MHz, 3003 MHz, 41, 10.74 W, P0, [N/A]
2398 MHz, 3003 MHz, 41, 11.11 W, P0, [N/A]
2398 MHz, 3003 MHz, 41, 10.86 W, P0, [N/A]
2398 MHz, 3003 MHz, 41, 10.89 W, P0, [N/A]
2398 MHz, 3003 MHz, 41, 10.74 W, P0, [N/A]
2398 MHz, 3003 MHz, 41, 10.74 W, P0, [N/A]
2398 MHz, 3003 MHz, 41, 10.75 W, P0, [N/A]
2398 MHz, 3003 MHz, 41, 10.75 W, P0, [N/A]
