2398 MHz, 3003 MHz, 39, 10.47 W, P0, [N/A]
2398 MHz, 3003 MHz, 39, 10.46 W, P0, [N/A]
2398 MHz, 3003 MHz, 39, 10.44 W, P0, [N/A]
2398 MHz, 3003 MHz, 39, 10.45 W, P0, [N/A]
2398 MHz, 3003 MHz, 39, 10.48 W, P0, [N/A]
2398 MHz, 3003 MHz, 39, 10.51 W, P0, [N/A]
2398 MHz, 3003 MHz, 39, 10.45 W, P0, [N/A]
2398 MHz, 3003 MHz, 39, 10.48 W, P0, [N/A]
2398 MHz, 3003 MHz, 39, 10.47 W, P0, [N/A]
2398 MHz, 3003 MHz, 39, 10.46 W, P0, [N/A]
2398 MHz, 3003 MHz, 39, 10.44 W, P0, [N/A]
2398 MHz, 3003 MHz, 39, 10.49 W, P0, [N/A]
2398 MHz, 3003 MHz, 39, 10.56 W, P0, [N/A]
2398 MHz, 3003 MHz, 39, 10.54 W, P0, [N/A]
2398 MHz, 3003 MHz, 39, 10.57 W, P0, [N/A]
2398 MHz, 3003 MHz, 39, 10.57 W, P0, [N/A]
2398 MHz, 3003 MHz, 39, 10.59 W, P0, [N/A]
2398 MHz, 3003 MHz, 39, 10.58 W, P0, [N/A]
2398 MHz, 3003 MHz, 39, 10.57 W, P0, [N/A]
2398 MHz, 3003 MHz, 39, 10.56 W, P0, [N/A]
2398 MHz, 3003 MHz, 39, 10.58 W, P0, [N/A]
2398 MHz, 3003 MHz, 40, 10.58 W, P0, [N/A]
2398 MHz, 3003 MHz, 40, 10.65 W, P0, [N/A]
2398 MHz, 3003 MHz, 40, 10.65 W, P0, [N/A]
2398 MHz, 3003 MHz, 40, 10.55 W, P0, [N/A]
2398 MHz, 3003 MHz, 40, 10.58 W, P0, [N/A]
2398 MHz, 3003 MHz, 40, 10.57 W, P0, [N/A]
2398 MHz, 3003 MHz, 40, 10.58 W, P0, [N/A]
2398 MHz, 3003 MHz, 40, 10.58 W, P0, [N/A]
2398 MHz, 3003 MHz, 40, 10.60 W, P0, [N/A]
2398 MHz, 3003 MHz, 40, 10.61 W, P0, [N/A]
2398 MHz, 3003 MHz, 40, 10.58 W, P0, [N/A]
2398 MHz, 3003 MHz, 40, 10.58 W, P0, [N/A]
2398 MHz, 3003 MHz, 40, 10.62 W, P0, [N/A]
2398 MHz, 3003 MHz, 40, 10.61 W, P0, [N/A]
2398 MHz, 3003 MHz, 40, 10.65 W, P0, [N/A]
2398 MHz, 3003 MHz, 40, 10.64 W, P0, [N/A]
2398 MHz, 3003 MHz, 40, 10.71 W, P0, [N/A]
2398 MHz, 3003 MHz, 40, 11.03 W, P0, [N/A]
2398 MHz, 3003 MHz, 40, 10.69 W, P0, [N/A]
2398 MHz, 3003 MHz, 40, 10.66 W, P0, [N/A]
2398 MHz, 3003 MHz, 40, 10.69 W, P0, [N/A]
2398 MHz, 3003 MHz, 40, 10.67 W, P0, [N/A]
2398 MHz, 3003 MHz, 40, 10.63 W, P0, [N/A]
2398 MHz, 3003 MHz, 40, 10.63 W, P0, [N/A]
2398 MHz, 3003 MHz, 40, 10.96 W, P0, [N/A]
2398 MHz, 3003 MHz, 40, 10.64 W, P0, [N/A]
2398 MHz, 3003 MHz, 40, 10.69 W, P0, [N/A]
2398 MHz, 3003 MHz, 40, 10.63 W, P0, [N/A]
2398 MHz, 3003 MHz, 40, 10.66 W, P0, [N/A]
2398 MHz, 3003 MHz, 40, 10.64 W, P0, [N/A]
2398 MHz, 3003 MHz, 40, 10.62 W, P0, [N/A]
2398 MHz, 3003 MHz, 41, 10.82 W, P0, [N/A]
2398 MHz, 3003 MHz, 41, 11.03 W, P0, [N/A]
2398 MHz, 3003 MHz, 41, 10.64 W, P0, [N/A]
2398 MHz, 3003 MHz, 41, 11.01 W, P0, [N/A]
2398 MHz, 3003 MHz, 41, 11.06 W, P0, [N/A]
2398 MHz, 3003 MHz, 41, 10.97 W, P0, [N/A]
2398 MHz, 3003 MHz, 41, 11.65 W, P0, [N/A]
2398 MHz, 3003 MHz, 41, 12.22 W, P0, [N/A]
2398 MHz, 3003 MHz, 41, 10.67 W, P0, [N/A]
2398 MHz, 3003 MHz, 41, 10.94 W, P0, [N/A]
2398 MHz, 3003 MHz, 41, 11.06 W, P0, [N/A]
2398 MHz, 3003 MHz, 41, 11.10 W, P0, [N/A]
2398 MHz, 3003 MHz, 41, 11.43 W, P0, [N/A]
2398 MHz, 3003 MHz, 41, 12.36 W, P0, [N/A]
2398 MHz, 3003 MHz, 41, 12.06 W, P0, [N/A]
2398 MHz, 3003 MHz, 43, 19.80 W, P0, [N/A]
2398 MHz, 3003 MHz, 42, 19.85 W, P0, [N/A]
2398 MHz, 3003 MHz, 42, 19.82 W, P0, [N/A]
2398 MHz, 3003 MHz, 41, 12.99 W, P0, [N/A]
2398 MHz, 3003 MHz, 42, 11.15 W, P0, [N/A]
2398 MHz, 3003 MHz, 41, 10.87 W, P0, [N/A]
2398 MHz, 3003 MHz, 42, 12.43 W, P0, [N/A]
2398 MHz, 3003 MHz, 42, 12.05 W, P0, [N/A]
2398 MHz, 3003 MHz, 42, 12.81 W, P0, [N/A]
2398 MHz, 3003 MHz, 42, 10.74 W, P0, [N/A]
2398 MHz, 3003 MHz, 42, 11.69 W, P0, [N/A]
2398 MHz, 3003 MHz, 41, 10.76 W, P0, [N/A]
2398 MHz, 3003 MHz, 41, 10.70 W, P0, [N/A]
2398 MHz, 3003 MHz, 41, 10.67 W, P0, [N/A]
2398 MHz, 3003 MHz, 41, 10.73 W, P0, [N/A]
2398 MHz, 3003 MHz, 41, 36.19 W, P0, [N/A]
2398 MHz, 3003 MHz, 56, 91.75 W, P0, [N/A]
2398 MHz, 3003 MHz, 56, 92.16 W, P0, [N/A]
2392 MHz, 3003 MHz, 55, 93.13 W, P0, [N/A]
2392 MHz, 3003 MHz, 59, 93.74 W, P0, [N/A]
2392 MHz, 3003 MHz, 60, 93.91 W, P0, [N/A]
2392 MHz, 3003 MHz, 60, 93.36 W, P0, [N/A]
2392 MHz, 3003 MHz, 61, 94.54 W, P0, [N/A]
2392 MHz, 3003 MHz, 61, 94.50 W, P0, [N/A]
2398 MHz, 3003 MHz, 49, 31.62 W, P0, [N/A]
2405 MHz, 3003 MHz, 53, 36.74 W, P0, [N/A]
2398 MHz, 3003 MHz, 47, 14.99 W, P0, [N/A]
2398 MHz, 3003 MHz, 47, 11.87 W, P0, [N/A]
2398 MHz, 3003 MHz, 47, 11.52 W, P0, [N/A]
2398 MHz, 3003 MHz, 46, 11.31 W, P0, [N/A]
2398 MHz, 3003 MHz, 46, 11.72 W, P0, [N/A]
2398 MHz, 3003 MHz, 46, 11.40 W, P0, [N/A]
2398 MHz, 3003 MHz, 46, 11.31 W, P0, [N/A]
2398 MHz, 3003 MHz, 46, 11.25 W, P0, [N/A]
2398 MHz, 3003 MHz, 45, 11.22 W, P0, [N/A]
2398 MHz, 3003 MHz, 46, 12.02 W, P0, [N/A]
2398 MHz, 3003 MHz, 45, 11.19 W, P0, [N/A]
2398 MHz, 3003 MHz, 45, 11.17 W, P0, [N/A]
2398 MHz, 3003 MHz, 45, 12.81 W, P0, [N/A]
2398 MHz, 3003 MHz, 45, 12.83 W, P0, [N/A]
2398 MHz, 3003 MHz, 45, 11.69 W, P0, [N/A]
2398 MHz, 3003 MHz, 45, 11.77 W, P0, [N/A]
2398 MHz, 3003 MHz, 45, 11.75 W, P0, [N/A]
2398 MHz, 3003 MHz, 47, 20.01 W, P0, [N/A]
2392 MHz, 3003 MHz, 48, 40.00 W, P0, [N/A]
2398 MHz, 3003 MHz, 45, 12.02 W, P0, [N/A]
2398 MHz, 3003 MHz, 45, 11.17 W, P0, [N/A]
2398 MHz, 3003 MHz, 45, 11.39 W, P0, [N/A]
2398 MHz, 3003 MHz, 44, 11.15 W, P0, [N/A]
2398 MHz, 3003 MHz, 44, 11.11 W, P0, [N/A]
2398 MHz, 3003 MHz, 44, 11.13 W, P0, [N/A]
2398 MHz, 3003 MHz, 44, 11.10 W, P0, [N/A]
2398 MHz, 3003 MHz, 44, 11.10 W, P0, [N/A]
2398 MHz, 3003 MHz, 45, 12.39 W, P0, [N/A]
2398 MHz, 3003 MHz, 44, 12.37 W, P0, [N/A]
2398 MHz, 3003 MHz, 44, 11.13 W, P0, [N/A]
2398 MHz, 3003 MHz, 44, 11.15 W, P0, [N/A]
2398 MHz, 3003 MHz, 44, 11.07 W, P0, [N/A]
2398 MHz, 3003 MHz, 44, 11.07 W, P0, [N/A]
2398 MHz, 3003 MHz, 44, 11.07 W, P0, [N/A]
2398 MHz, 3003 MHz, 43, 11.04 W, P0, [N/A]
2398 MHz, 3003 MHz, 43, 11.04 W, P0, [N/A]
2398 MHz, 3003 MHz, 43, 11.01 W, P0, [N/A]
2398 MHz, 3003 MHz, 43, 11.02 W, P0, [N/A]
2398 MHz, 3003 MHz, 43, 11.03 W, P0, [N/A]
2398 MHz, 3003 MHz, 43, 10.99 W, P0, [N/A]
2398 MHz, 3003 MHz, 43, 11.02 W, P0, [N/A]
2398 MHz, 3003 MHz, 43, 11.01 W, P0, [N/A]
2398 MHz, 3003 MHz, 43, 10.93 W, P0, [N/A]
2398 MHz, 3003 MHz, 43, 10.95 W, P0, [N/A]
2398 MHz, 3003 MHz, 43, 10.93 W, P0, [N/A]
2398 MHz, 3003 MHz, 43, 10.91 W, P0, [N/A]
2398 MHz, 3003 MHz, 43, 10.93 W, P0, [N/A]
2398 MHz, 3003 MHz, 43, 10.87 W, P0, [N/A]
2398 MHz, 3003 MHz, 43, 10.89 W, P0, [N/A]
2398 MHz, 3003 MHz, 43, 10.92 W, P0, [N/A]
2398 MHz, 3003 MHz, 43, 10.94 W, P0, [N/A]
2398 MHz, 3003 MHz, 43, 10.89 W, P0, [N/A]
2398 MHz, 3003 MHz, 43, 11.14 W, P0, [N/A]
2398 MHz, 3003 MHz, 43, 11.24 W, P0, [N/A]
2398 MHz, 3003 MHz, 43, 11.51 W, P0, [N/A]
2398 MHz, 3003 MHz, 43, 11.39 W, P0, [N/A]
2398 MHz, 3003 MHz, 43, 11.02 W, P0, [N/A]
2398 MHz, 3003 MHz, 43, 11.04 W, P0, [N/A]
2398 MHz, 3003 MHz, 43, 10.90 W, P0, [N/A]
2398 MHz, 3003 MHz, 43, 10.93 W, P0, [N/A]
2398 MHz, 3003 MHz, 43, 10.89 W, P0, [N/A]
2398 MHz, 3003 MHz, 43, 10.88 W, P0, [N/A]
2398 MHz, 3003 MHz, 42, 10.89 W, P0, [N/A]
2398 MHz, 3003 MHz, 42, 10.85 W, P0, [N/A]
