2398 MHz, 3003 MHz, 53, 12.28 W, P0, [N/A]
2398 MHz, 3003 MHz, 52, 12.20 W, P0, [N/A]
2398 MHz, 3003 MHz, 52, 12.19 W, P0, [N/A]
2398 MHz, 3003 MHz, 52, 12.18 W, P0, [N/A]
2398 MHz, 3003 MHz, 52, 12.16 W, P0, [N/A]
2398 MHz, 3003 MHz, 52, 12.15 W, P0, [N/A]
2398 MHz, 3003 MHz, 52, 12.12 W, P0, [N/A]
2398 MHz, 3003 MHz, 51, 11.92 W, P0, [N/A]
2398 MHz, 3003 MHz, 51, 11.89 W, P0, [N/A]
2398 MHz, 3003 MHz, 51, 11.88 W, P0, [N/A]
2398 MHz, 3003 MHz, 51, 11.89 W, P0, [N/A]
2398 MHz, 3003 MHz, 51, 11.92 W, P0, [N/A]
2398 MHz, 3003 MHz, 51, 11.89 W, P0, [N/A]
2398 MHz, 3003 MHz, 51, 11.87 W, P0, [N/A]
2398 MHz, 3003 MHz, 51, 11.87 W, P0, [N/A]
2398 MHz, 3003 MHz, 51, 11.87 W, P0, [N/A]
2398 MHz, 3003 MHz, 51, 11.91 W, P0, [N/A]
2398 MHz, 3003 MHz, 50, 11.88 W, P0, [N/A]
2398 MHz, 3003 MHz, 50, 11.86 W, P0, [N/A]
2398 MHz, 3003 MHz, 50, 11.81 W, P0, [N/A]
2398 MHz, 3003 MHz, 50, 11.79 W, P0, [N/A]
2398 MHz, 3003 MHz, 50, 11.76 W, P0, [N/A]
2398 MHz, 3003 MHz, 50, 11.88 W, P0, [N/A]
2398 MHz, 3003 MHz, 50, 11.82 W, P0, [N/A]
2398 MHz, 3003 MHz, 50, 11.76 W, P0, [N/A]
2398 MHz, 3003 MHz, 50, 11.76 W, P0, [N/A]
2398 MHz, 3003 MHz, 50, 11.74 W, P0, [N/A]
2398 MHz, 3003 MHz, 50, 11.73 W, P0, [N/A]
2398 MHz, 3003 MHz, 50, 11.76 W, P0, [N/A]
2398 MHz, 3003 MHz, 49, 11.72 W, P0, [N/A]
2398 MHz, 3003 MHz, 49, 11.72 W, P0, [N/A]
2398 MHz, 3003 MHz, 49, 11.69 W, P0, [N/A]
2398 MHz, 3003 MHz, 49, 11.71 W, P0, [N/A]
2398 MHz, 3003 MHz, 49, 11.69 W, P0, [N/A]
2398 MHz, 3003 MHz, 49, 11.68 W, P0, [N/A]
2398 MHz, 3003 MHz, 49, 11.70 W, P0, [N/A]
2398 MHz, 3003 MHz, 49, 11.68 W, P0, [N/A]
2398 MHz, 3003 MHz, 49, 11.76 W, P0, [N/A]
2398 MHz, 3003 MHz, 49, 11.98 W, P0, [N/A]
2398 MHz, 3003 MHz, 49, 11.69 W, P0, [N/A]
2398 MHz, 3003 MHz, 49, 11.70 W, P0, [N/A]
2398 MHz, 3003 MHz, 49, 11.70 W, P0, [N/A]
2398 MHz, 3003 MHz, 49, 11.66 W, P0, [N/A]
2398 MHz, 3003 MHz, 49, 11.68 W, P0, [N/A]
2398 MHz, 3003 MHz, 49, 11.65 W, P0, [N/A]
2398 MHz, 3003 MHz, 49, 12.08 W, P0, [N/A]
2398 MHz, 3003 MHz, 48, 11.67 W, P0, [N/A]
2398 MHz, 3003 MHz, 48, 11.77 W, P0, [N/A]
2398 MHz, 3003 MHz, 48, 11.66 W, P0, [N/A]
2398 MHz, 3003 MHz, 48, 11.64 W, P0, [N/A]
2398 MHz, 3003 MHz, 48, 11.65 W, P0, [N/A]
2398 MHz, 3003 MHz, 48, 11.66 W, P0, [N/A]
2398 MHz, 3003 MHz, 48, 11.66 W, P0, [N/A]
2398 MHz, 3003 MHz, 48, 11.64 W, P0, [N/A]
2398 MHz, 3003 MHz, 48, 11.62 W, P0, [N/A]
2398 MHz, 3003 MHz, 48, 11.80 W, P0, [N/A]
2398 MHz, 3003 MHz, 48, 12.12 W, P0, [N/A]
2398 MHz, 3003 MHz, 48, 11.68 W, P0, [N/A]
2398 MHz, 3003 MHz, 48, 12.34 W, P0, [N/A]
2398 MHz, 3003 MHz, 48, 11.86 W, P0, [N/A]
2398 MHz, 3003 MHz, 48, 12.43 W, P0, [N/A]
2398 MHz, 3003 MHz, 48, 12.58 W, P0, [N/A]
2398 MHz, 3003 MHz, 48, 12.92 W, P0, [N/A]
2398 MHz, 3003 MHz, 48, 11.66 W, P0, [N/A]
2398 MHz, 3003 MHz, 48, 12.07 W, P0, [N/A]
2398 MHz, 3003 MHz, 48, 12.08 W, P0, [N/A]
2398 MHz, 3003 MHz, 48, 12.14 W, P0, [N/A]
2398 MHz, 3003 MHz, 48, 12.66 W, P0, [N/A]
2398 MHz, 3003 MHz, 48, 13.11 W, P0, [N/A]
2398 MHz, 3003 MHz, 48, 13.79 W, P0, [N/A]
2398 MHz, 3003 MHz, 50, 20.72 W, P0, [N/A]
2398 MHz, 3003 MHz, 49, 20.83 W, P0, [N/A]
2398 MHz, 3003 MHz, 49, 20.84 W, P0, [N/A]
2398 MHz, 3003 MHz, 48, 13.05 W, P0, [N/A]
2398 MHz, 3003 MHz, 48, 12.06 W, P0, [N/A]
2398 MHz, 3003 MHz, 48, 11.74 W, P0, [N/A]
2398 MHz, 3003 MHz, 48, 13.66 W, P0, [N/A]
2398 MHz, 3003 MHz, 48, 13.21 W, P0, [N/A]
2398 MHz, 3003 MHz, 48, 13.50 W, P0, [N/A]
2398 MHz, 3003 MHz, 48, 11.70 W, P0, [N/A]
2398 MHz, 3003 MHz, 48, 12.40 W, P0, [N/A]
2398 MHz, 3003 MHz, 48, 14.33 W, P0, [N/A]
2398 MHz, 3003 MHz, 48, 12.02 W, P0, [N/A]
2398 MHz, 3003 MHz, 48, 11.59 W, P0, [N/A]
2398 MHz, 3003 MHz, 48, 11.58 W, P0, [N/A]
2398 MHz, 3003 MHz, 48, 11.58 W, P0, [N/A]
2398 MHz, 3003 MHz, 48, 11.56 W, P0, [N/A]
2398 MHz, 3003 MHz, 61, 96.45 W, P0, [N/A]
2398 MHz, 3003 MHz, 62, 92.32 W, P0, [N/A]
2398 MHz, 3003 MHz, 60, 91.72 W, P0, [N/A]
2372 MHz, 3003 MHz, 62, 91.78 W, P0, [N/A]
2366 MHz, 3003 MHz, 61, 95.89 W, P0, [N/A]
2372 MHz, 3003 MHz, 66, 94.73 W, P0, [N/A]
2372 MHz, 3003 MHz, 66, 92.16 W, P0, [N/A]
2372 MHz, 3003 MHz, 67, 92.30 W, P0, [N/A]
2372 MHz, 3003 MHz, 61, 92.07 W, P0, [N/A]
2372 MHz, 3003 MHz, 68, 97.79 W, P0, [N/A]
2372 MHz, 3003 MHz, 67, 92.55 W, P0, [N/A]
2372 MHz, 3003 MHz, 69, 92.77 W, P0, [N/A]
2372 MHz, 3003 MHz, 68, 91.97 W, P0, [N/A]
2372 MHz, 3003 MHz, 69, 92.35 W, P0, [N/A]
2372 MHz, 3003 MHz, 70, 99.18 W, P0, [N/A]
2372 MHz, 3003 MHz, 69, 90.67 W, P0, [N/A]
2372 MHz, 3003 MHz, 70, 92.29 W, P0, [N/A]
2340 MHz, 3003 MHz, 71, 93.03 W, P0, [N/A]
2327 MHz, 3003 MHz, 71, 96.34 W, P0, [N/A]
2327 MHz, 3003 MHz, 72, 95.44 W, P0, [N/A]
2327 MHz, 3003 MHz, 72, 92.42 W, P0, [N/A]
2327 MHz, 3003 MHz, 72, 91.17 W, P0, [N/A]
2327 MHz, 3003 MHz, 72, 91.14 W, P0, [N/A]
