2398 MHz, 3003 MHz, 49, 11.60 W, P0, [N/A]
2398 MHz, 3003 MHz, 49, 11.55 W, P0, [N/A]
2398 MHz, 3003 MHz, 48, 11.55 W, P0, [N/A]
2398 MHz, 3003 MHz, 48, 11.52 W, P0, [N/A]
2398 MHz, 3003 MHz, 48, 11.51 W, P0, [N/A]
2398 MHz, 3003 MHz, 48, 11.53 W, P0, [N/A]
2398 MHz, 3003 MHz, 48, 11.52 W, P0, [N/A]
2398 MHz, 3003 MHz, 48, 11.48 W, P0, [N/A]
2398 MHz, 3003 MHz, 48, 11.46 W, P0, [N/A]
2398 MHz, 3003 MHz, 48, 11.46 W, P0, [N/A]
2398 MHz, 3003 MHz, 47, 11.45 W, P0, [N/A]
2398 MHz, 3003 MHz, 47, 11.50 W, P0, [N/A]
2398 MHz, 3003 MHz, 47, 11.47 W, P0, [N/A]
2398 MHz, 3003 MHz, 47, 11.52 W, P0, [N/A]
2398 MHz, 3003 MHz, 47, 11.51 W, P0, [N/A]
2398 MHz, 3003 MHz, 47, 11.50 W, P0, [N/A]
2398 MHz, 3003 MHz, 47, 11.52 W, P0, [N/A]
2398 MHz, 3003 MHz, 47, 11.46 W, P0, [N/A]
2398 MHz, 3003 MHz, 47, 11.47 W, P0, [N/A]
2398 MHz, 3003 MHz, 47, 11.46 W, P0, [N/A]
2398 MHz, 3003 MHz, 47, 11.41 W, P0, [N/A]
2398 MHz, 3003 MHz, 47, 11.46 W, P0, [N/A]
2398 MHz, 3003 MHz, 47, 11.50 W, P0, [N/A]
2398 MHz, 3003 MHz, 47, 11.45 W, P0, [N/A]
2398 MHz, 3003 MHz, 47, 11.41 W, P0, [N/A]
2398 MHz, 3003 MHz, 47, 11.40 W, P0, [N/A]
2398 MHz, 3003 MHz, 47, 11.41 W, P0, [N/A]
2398 MHz, 3003 MHz, 47, 11.41 W, P0, [N/A]
2398 MHz, 3003 MHz, 47, 11.41 W, P0, [N/A]
2398 MHz, 3003 MHz, 47, 11.39 W, P0, [N/A]
2398 MHz, 3003 MHz, 46, 11.34 W, P0, [N/A]
2398 MHz, 3003 MHz, 46, 11.35 W, P0, [N/A]
2398 MHz, 3003 MHz, 46, 11.36 W, P0, [N/A]
2398 MHz, 3003 MHz, 46, 11.35 W, P0, [N/A]
2398 MHz, 3003 MHz, 46, 11.31 W, P0, [N/A]
2398 MHz, 3003 MHz, 46, 11.32 W, P0, [N/A]
2398 MHz, 3003 MHz, 46, 11.38 W, P0, [N/A]
2398 MHz, 3003 MHz, 46, 11.67 W, P0, [N/A]
2398 MHz, 3003 MHz, 46, 11.35 W, P0, [N/A]
2398 MHz, 3003 MHz, 46, 11.33 W, P0, [N/A]
2398 MHz, 3003 MHz, 46, 11.34 W, P0, [N/A]
2398 MHz, 3003 MHz, 46, 11.32 W, P0, [N/A]
2398 MHz, 3003 MHz, 46, 11.33 W, P0, [N/A]
2398 MHz, 3003 MHz, 46, 11.32 W, P0, [N/A]
2398 MHz, 3003 MHz, 46, 11.64 W, P0, [N/A]
2398 MHz, 3003 MHz, 46, 11.34 W, P0, [N/A]
2398 MHz, 3003 MHz, 46, 11.41 W, P0, [N/A]
2398 MHz, 3003 MHz, 46, 11.28 W, P0, [N/A]
2398 MHz, 3003 MHz, 46, 11.29 W, P0, [N/A]
2398 MHz, 3003 MHz, 46, 11.24 W, P0, [N/A]
2398 MHz, 3003 MHz, 46, 11.25 W, P0, [N/A]
2398 MHz, 3003 MHz, 46, 11.22 W, P0, [N/A]
2398 MHz, 3003 MHz, 46, 11.44 W, P0, [N/A]
2398 MHz, 3003 MHz, 46, 11.70 W, P0, [N/A]
2398 MHz, 3003 MHz, 46, 11.48 W, P0, [N/A]
2398 MHz, 3003 MHz, 46, 12.02 W, P0, [N/A]
2398 MHz, 3003 MHz, 46, 11.52 W, P0, [N/A]
2398 MHz, 3003 MHz, 46, 12.18 W, P0, [N/A]
2398 MHz, 3003 MHz, 46, 12.62 W, P0, [N/A]
2398 MHz, 3003 MHz, 46, 11.86 W, P0, [N/A]
2398 MHz, 3003 MHz, 46, 11.30 W, P0, [N/A]
2398 MHz, 3003 MHz, 46, 11.81 W, P0, [N/A]
2398 MHz, 3003 MHz, 46, 11.72 W, P0, [N/A]
2398 MHz, 3003 MHz, 46, 11.86 W, P0, [N/A]
2398 MHz, 3003 MHz, 46, 12.54 W, P0, [N/A]
2398 MHz, 3003 MHz, 45, 12.50 W, P0, [N/A]
2398 MHz, 3003 MHz, 46, 14.76 W, P0, [N/A]
2398 MHz, 3003 MHz, 46, 20.37 W, P0, [N/A]
2398 MHz, 3003 MHz, 47, 20.43 W, P0, [N/A]
2398 MHz, 3003 MHz, 47, 20.46 W, P0, [N/A]
2398 MHz, 3003 MHz, 46, 12.05 W, P0, [N/A]
2398 MHz, 3003 MHz, 46, 11.72 W, P0, [N/A]
2398 MHz, 3003 MHz, 46, 11.66 W, P0, [N/A]
2398 MHz, 3003 MHz, 46, 13.08 W, P0, [N/A]
2398 MHz, 3003 MHz, 46, 12.42 W, P0, [N/A]
2398 MHz, 3003 MHz, 46, 13.52 W, P0, [N/A]
2398 MHz, 3003 MHz, 46, 11.32 W, P0, [N/A]
2398 MHz, 3003 MHz, 46, 11.35 W, P0, [N/A]
2398 MHz, 3003 MHz, 46, 15.14 W, P0, [N/A]
2398 MHz, 3003 MHz, 46, 11.31 W, P0, [N/A]
