2398 MHz, 3003 MHz, 41, 10.72 W, P0, [N/A]
2398 MHz, 3003 MHz, 41, 10.67 W, P0, [N/A]
2398 MHz, 3003 MHz, 41, 10.66 W, P0, [N/A]
2398 MHz, 3003 MHz, 41, 10.70 W, P0, [N/A]
2398 MHz, 3003 MHz, 41, 10.65 W, P0, [N/A]
2398 MHz, 3003 MHz, 41, 10.68 W, P0, [N/A]
2398 MHz, 3003 MHz, 41, 10.68 W, P0, [N/A]
2398 MHz, 3003 MHz, 41, 10.68 W, P0, [N/A]
2398 MHz, 3003 MHz, 41, 10.70 W, P0, [N/A]
2398 MHz, 3003 MHz, 41, 10.68 W, P0, [N/A]
2398 MHz, 3003 MHz, 41, 10.77 W, P0, [N/A]
2398 MHz, 3003 MHz, 41, 10.77 W, P0, [N/A]
2398 MHz, 3003 MHz, 41, 10.77 W, P0, [N/A]
2398 MHz, 3003 MHz, 41, 10.72 W, P0, [N/A]
2398 MHz, 3003 MHz, 41, 10.73 W, P0, [N/A]
2398 MHz, 3003 MHz, 41, 10.74 W, P0, [N/A]
2398 MHz, 3003 MHz, 41, 10.72 W, P0, [N/A]
2398 MHz, 3003 MHz, 42, 10.69 W, P0, [N/A]
2398 MHz, 3003 MHz, 42, 10.81 W, P0, [N/A]
2398 MHz, 3003 MHz, 42, 10.81 W, P0, [N/A]
2398 MHz, 3003 MHz, 42, 10.76 W, P0, [N/A]
2398 MHz, 3003 MHz, 42, 10.73 W, P0, [N/A]
2398 MHz, 3003 MHz, 42, 10.71 W, P0, [N/A]
2398 MHz, 3003 MHz, 42, 10.73 W, P0, [N/A]
2398 MHz, 3003 MHz, 42, 10.74 W, P0, [N/A]
2398 MHz, 3003 MHz, 42, 10.72 W, P0, [N/A]
2398 MHz, 3003 MHz, 42, 10.73 W, P0, [N/A]
2398 MHz, 3003 MHz, 42, 10.75 W, P0, [N/A]
2398 MHz, 3003 MHz, 42, 10.76 W, P0, [N/A]
2398 MHz, 3003 MHz, 42, 10.79 W, P0, [N/A]
2398 MHz, 3003 MHz, 42, 10.81 W, P0, [N/A]
